Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Fort Hays St,Mid America IAA,11-1,0.917,1,5.26,3,33.80,12,41.60,2,19.35,2.54,10,22.38
NW Missouri,Mid America IAA,9-3,0.750,2,5.14,1,37.55,26,39.02,1,25.68,2.57,6,22.51
TX A&M Commerce,Lone Star,14-1,0.933,3,5.04,5,32.31,4,43.87,8,15.58,2.68,23,14.96
Ferris St,Great Lakes IAC,11-2,0.846,4,4.95,4,32.58,16,41.08,3,18.64,2.38,15,19.12
Grand Valley St,Great Lakes IAC,8-3,0.727,5,4.82,2,35.40,2,45.42,4,17.12,2.66,22,15.52
Ashland,Great Lakes IAC,11-2,0.846,6,4.81,6,30.88,6,42.66,9,15.37,2.55,13,19.46
MN Mankato,Northern Sun,13-1,0.929,7,4.80,7,30.70,7,42.60,10,15.25,2.55,42,11.67
C Missouri,Mid America IAA,9-3,0.750,8,4.75,8,30.14,1,47.10,26,10.19,2.55,8,22.50
Pittsburg St,Mid America IAA,8-4,0.667,9,4.57,9,30.01,5,43.31,14,13.84,2.45,12,21.97
C Washington,Great Northwest,11-1,0.917,10,4.46,14,25.85,17,40.69,17,12.30,2.60,40,12.04
C Oklahoma,Mid America IAA,8-4,0.667,11,4.37,12,26.65,3,43.90,28,9.90,2.55,11,21.97
Winona St,Northern Sun,10-2,0.833,12,4.36,10,26.93,30,38.23,7,15.84,2.55,33,13.70
Washburn,Mid America IAA,7-5,0.583,13,4.30,11,26.83,15,41.35,16,12.62,2.45,9,22.44
Harding,Great American,11-4,0.733,14,4.23,13,26.15,31,38.20,11,15.10,2.40,29,14.22
Indiana PA,Penn St AC,13-1,0.929,15,4.15,20,23.19,38,37.26,15,13.08,2.59,80,7.13
Emporia St,Mid America IAA,6-5,0.545,16,4.13,16,24.90,19,40.44,18,11.60,2.53,7,22.50
Findlay,Great Midwest,10-3,0.769,17,4.13,15,25.37,11,42.05,24,10.47,2.62,85,6.56
Midwest TX St,Lone Star,10-1,0.909,18,4.06,30,20.78,10,42.30,62,5.63,2.60,49,10.75
West Alabama,Gulf South,10-3,0.769,19,3.99,24,22.44,20,39.84,30,9.75,2.47,30,14.17
Assumption,Northeast-10,11-2,0.846,20,3.99,17,24.68,14,41.38,25,10.44,2.74,104,4.06
Sioux Falls,Northern Sun,9-3,0.750,21,3.90,21,22.94,59,33.13,5,16.95,2.44,50,10.59
West Florida,Gulf South,11-4,0.733,22,3.89,32,20.49,43,36.16,19,11.47,2.42,24,14.95
Indianapolis,Great Lakes Val,11-1,0.917,23,3.88,36,19.72,33,37.72,33,9.14,2.64,78,7.29
Azusa Pacific,Great Northwest,7-4,0.636,24,3.81,18,24.35,18,40.50,21,11.00,2.60,52,10.56
MO Western,Mid America IAA,4-7,0.364,25,3.81,19,23.28,24,39.11,20,11.31,2.45,5,22.67
OH Dominican,Great Midwest,7-3,0.700,26,3.78,26,21.84,23,39.39,31,9.59,2.68,83,6.62
MN Duluth,Northern Sun,9-3,0.750,27,3.74,33,20.31,28,38.36,34,9.09,2.49,51,10.58
Humboldt St,Great Northwest,8-2,0.800,28,3.73,38,19.05,9,42.46,79,3.73,2.57,71,8.92
West Georgia,Gulf South,9-4,0.692,29,3.72,22,22.92,46,35.31,13,14.76,2.54,70,9.07
CO Mesa,Rocky Mtn AC,9-2,0.818,30,3.71,31,20.55,8,42.51,66,5.18,2.53,93,5.78
North Alabama,Gulf South,5-5,0.500,31,3.70,25,21.89,58,33.18,6,15.85,2.44,18,16.42
CSU-Pueblo,Rocky Mtn AC,9-3,0.750,32,3.69,23,22.57,48,34.94,12,14.77,2.66,90,6.19
Shepherd,Mountain East,10-1,0.909,33,3.66,34,20.23,13,41.59,60,5.78,2.56,118,2.55
Lindenwood,Mid America IAA,4-7,0.364,34,3.66,29,20.92,36,37.43,22,10.63,2.50,4,22.87
Ouachita,Great American,9-3,0.750,35,3.58,37,19.28,21,39.82,50,6.61,2.50,57,10.08
Bemidji St,Northern Sun,8-3,0.727,36,3.55,27,21.02,29,38.26,27,9.90,2.44,88,6.30
Arkansas Tech,Great American,8-4,0.667,37,3.53,28,20.98,22,39.71,37,8.42,2.63,62,9.65
Valdosta St,Gulf South,5-4,0.556,38,3.51,35,20.13,35,37.47,29,9.81,2.53,37,12.65
Delta St,Gulf South,9-4,0.692,39,3.50,40,17.26,42,36.46,40,7.94,2.54,39,12.38
Tiffin,Great Lakes IAC,6-5,0.545,40,3.32,42,16.79,57,33.33,23,10.61,2.50,21,15.61
Northwood MI,Great Lakes IAC,7-4,0.636,41,3.26,47,14.20,56,33.48,42,7.86,2.45,20,15.86
Angelo St,Lone Star,6-5,0.545,42,3.26,39,18.52,32,37.96,43,7.70,2.69,45,10.98
California PA,Penn St AC,9-3,0.750,43,3.24,45,14.66,41,36.53,65,5.28,2.36,95,5.65
Hillsdale,Great Midwest,7-4,0.636,44,3.17,41,16.90,44,36.00,39,8.05,2.54,108,3.68
Colorado Mines,Rocky Mtn AC,7-4,0.636,45,3.17,43,16.49,37,37.34,56,6.30,2.61,91,6.12
E New Mexico,Lone Star,8-2,0.800,46,3.16,55,12.02,45,35.99,86,3.17,2.49,59,10.03
S Arkansas,Great American,7-4,0.636,47,3.14,44,15.90,34,37.67,64,5.37,2.70,72,8.48
Saginaw Val,Great Lakes IAC,5-6,0.455,48,3.00,46,14.41,72,32.09,32,9.46,2.50,28,14.31
Wayne St MI,Great Lakes IAC,5-6,0.455,49,2.98,50,13.19,52,34.07,57,6.27,2.45,19,16.36
Shippensburg,Penn St AC,10-2,0.833,50,2.98,49,13.28,73,31.61,35,8.81,2.46,145,-1.14
Florida Tech,Gulf South,5-6,0.455,51,2.97,51,12.89,61,33.08,48,6.95,2.52,43,11.66
NE Kearney,Mid America IAA,3-8,0.273,52,2.97,56,12.00,77,31.24,41,7.91,2.44,3,24.16
Slippery Rock,Penn St AC,8-3,0.727,53,2.94,57,11.84,25,39.06,111,-0.08,2.48,92,5.81
Tarleton St,Lone Star,6-6,0.500,54,2.94,48,13.46,47,35.01,63,5.60,2.50,46,10.98
West Chester,Penn St AC,9-4,0.692,55,2.88,58,11.35,67,32.56,58,5.94,2.51,97,5.56
Kutztown,Penn St AC,8-3,0.727,56,2.86,53,12.30,54,33.68,61,5.77,2.58,128,1.54
LIU Post,Northeast-10,8-2,0.800,57,2.77,54,12.08,39,37.14,94,2.09,2.59,143,-0.99
Michigan Tech,Great Lakes IAC,4-7,0.364,58,2.77,60,11.10,90,29.90,38,8.34,2.40,16,17.16
Upper Iowa,Northern Sun,6-5,0.545,59,2.75,65,10.10,81,30.88,54,6.36,2.44,56,10.14
