Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Sam Houston St,Southland,10-0,1.000,+1,1,7.58,5,46.78,11,49.93,4,24.49,2.28,17,37.17
S Dakota St,Missouri Valley,8-2,0.800,-1,2,7.33,2,51.19,9,50.24,2,28.58,2.24,10,39.37
N Dakota St,Missouri Valley,7-3,0.700,+1,3,7.21,1,52.33,7,50.97,1,28.99,2.15,9,39.55
Montana,Big Sky,2-0,1.000,-1,4,7.11,3,50.45,2,54.02,7,24.06,2.33,64,25.24
James Madison,Coastal,7-1,0.875,,5,7.10,4,47.72,6,51.31,8,24.03,2.20,45,30.19
North Dakota,Missouri Valley,5-2,0.714,,6,6.93,8,43.34,13,48.42,10,22.55,2.27,8,41.01
Weber St,Big Sky,5-1,0.833,+2,7,6.81,9,41.80,18,45.22,6,24.20,2.19,26,33.87
E Washington,Big Sky,5-2,0.714,-1,8,6.80,7,44.04,1,54.14,27,17.53,2.31,16,37.68
S Illinois,Missouri Valley,6-4,0.600,-1,9,6.74,11,39.55,8,50.26,34,16.92,2.25,5,41.84
Delaware,Coastal,7-1,0.875,+1,10,6.74,16,36.27,45,40.94,9,22.96,2.16,42,30.46
Northern Iowa,Missouri Valley,3-4,0.429,-1,11,6.62,6,44.15,24,44.21,3,27.56,2.21,13,38.59
Jacksonville St,OH Valley,10-3,0.769,+3,12,6.53,14,37.41,29,43.41,12,21.62,2.24,51,28.69
UC Davis,Big Sky,3-2,0.600,-1,13,6.52,10,40.26,14,47.95,14,19.93,2.20,22,35.43
Monmouth NJ,Big South,3-1,0.750,,14,6.46,13,38.27,15,47.59,23,18.30,2.22,37,31.50
Missouri St,Missouri Valley,5-5,0.500,-2,15,6.38,33,30.79,54,39.90,20,18.52,2.22,4,42.78
Cent Arkansas,FCS Indep,5-4,0.556,,16,6.38,15,37.37,12,48.47,36,16.53,2.12,21,35.94
Illinois St,Missouri Valley,1-3,0.250,+2,17,6.30,12,38.84,36,42.14,5,24.33,2.17,6,41.47
Northern Arizona,Big Sky,3-2,0.600,-1,18,6.29,26,32.69,19,45.18,38,15.14,2.34,20,36.16
Richmond,Coastal,3-1,0.750,-1,19,6.28,25,32.76,53,40.14,13,20.25,2.24,49,28.96
SE Louisiana,Southland,4-3,0.571,,20,6.24,21,35.32,3,51.58,68,11.37,2.12,31,33.14
VMI,Southern,6-2,0.750,+2,21,6.19,39,29.62,31,42.70,42,14.54,2.21,46,29.22
Kennesaw,Big South,4-1,0.800,+18,22,6.18,23,33.68,30,43.18,24,18.12,2.08,77,19.25
Nicholls St,Southland,4-3,0.571,+1,23,6.15,19,35.57,4,51.42,67,11.77,2.29,48,29.01
Chattanooga,Southern,3-2,0.600,+11,24,6.13,34,30.78,47,40.80,26,17.61,2.19,35,32.04
Villanova,Coastal,2-2,0.500,+2,25,6.09,20,35.53,16,45.90,29,17.26,2.10,44,30.25
Idaho,Big Sky,2-4,0.333,-4,26,6.08,24,33.40,39,42.03,16,18.99,2.32,19,36.85
South Dakota,Missouri Valley,1-3,0.250,-6,27,6.06,18,35.81,23,44.47,17,18.96,2.33,14,38.51
Samford,Southern,4-3,0.571,+3,28,6.06,22,34.91,5,51.35,69,11.19,2.21,54,28.21
Murray St,OH Valley,5-2,0.714,+7,29,6.05,49,27.66,41,41.34,49,13.94,2.17,61,26.37
SF Austin,Southland,6-4,0.600,+2,30,6.05,41,29.35,52,40.15,35,16.83,2.23,47,29.13
Rhode Island,Coastal,2-1,0.667,-6,31,6.02,50,27.54,35,42.22,56,12.95,2.24,28,33.83
Youngstown St,Missouri Valley,1-6,0.143,-4,32,6.02,17,35.87,43,41.22,11,22.28,2.22,7,41.28
Idaho St,Big Sky,2-4,0.333,-7,33,6.02,27,32.10,17,45.24,43,14.49,2.32,15,38.11
Holy Cross,Patriot League,3-1,0.750,+4,34,6.01,45,28.30,58,38.43,28,17.50,2.21,65,25.12
ETSU,Southern,4-2,0.667,+8,35,6.00,54,26.09,76,35.24,21,18.48,2.20,59,27.18
Austin Peay,OH Valley,4-5,0.444,-6,36,6.00,37,30.23,22,44.59,54,13.26,2.19,27,33.87
McNeese St,Southland,3-4,0.429,+8,37,5.97,29,31.68,44,40.98,22,18.33,2.26,40,30.91
SE Missouri St,OH Valley,4-4,0.500,+3,38,5.96,30,31.62,38,42.04,31,17.21,2.21,55,28.03
Maine,Coastal,2-2,0.500,-6,39,5.88,46,28.29,28,43.46,61,12.46,2.22,36,31.90
Alabama A&M,Southwestern AC,4-0,1.000,+15,40,5.83,68,21.42,32,42.60,88,6.45,2.11,79,16.51
Furman,Southern,3-4,0.429,+9,41,5.83,36,30.29,57,38.98,18,18.94,2.21,60,27.08
Mercer,Southern,5-6,0.455,+10,42,5.82,55,26.07,40,41.44,62,12.26,2.24,41,30.68
