Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,10-3,0.769,1,5.42,1,37.13,1,46.64,1,17.34,3.03,4,14.35
MO Western,Mid America IAA,12-2,0.857,2,5.23,2,29.65,3,44.38,4,12.12,2.77,5,14.25
Valdosta St,Gulf South,12-2,0.857,3,4.85,3,27.51,5,42.98,6,11.38,2.91,29,9.26
MN Mankato,Northern Sun,13-1,0.929,4,4.84,9,22.71,23,36.55,3,13.00,2.89,18,10.91
Ashland,Great Lakes IAC,11-1,0.917,5,4.73,5,24.46,11,39.68,5,11.63,2.94,63,6.19
W Texas A&M,Lone Star,12-3,0.800,6,4.59,4,24.85,7,42.25,14,9.45,2.90,20,10.41
MN Duluth,Northern Sun,10-2,0.833,7,4.53,6,23.99,4,43.66,30,7.17,2.92,61,6.46
W Salem St,Central IAA,14-1,0.933,8,4.44,13,20.28,22,36.73,11,10.40,3.11,105,1.24
Grand Valley St,Great Lakes IAC,8-3,0.727,9,4.42,8,22.73,2,44.53,46,5.04,2.80,10,12.13
Henderson St,Great American,10-1,0.909,10,4.40,12,20.72,6,42.64,49,4.94,2.96,92,2.58
Michigan Tech,Great Lakes IAC,7-3,0.700,11,4.39,7,23.77,9,39.85,8,10.76,2.89,11,12.07
Pittsburg St,Mid America IAA,7-3,0.700,12,4.37,10,22.27,12,38.37,9,10.75,2.68,14,11.47
Midwest TX St,Lone Star,9-2,0.818,13,4.31,15,19.18,10,39.83,37,6.19,2.82,25,10.00
C Missouri,Mid America IAA,6-4,0.600,14,4.22,11,21.22,17,37.51,10,10.56,2.91,6,14.24
Saginaw Val,Great Lakes IAC,8-3,0.727,15,4.19,16,18.51,18,37.41,25,7.95,2.92,9,12.73
Winona St,Northern Sun,10-2,0.833,16,4.16,18,18.18,13,38.22,31,6.80,2.89,46,7.89
Emporia St,Mid America IAA,10-2,0.833,17,4.16,21,16.93,15,37.97,40,5.81,2.82,17,10.94
Hillsdale,Great Lakes IAC,7-4,0.636,18,4.09,14,19.25,28,35.04,7,11.06,2.89,12,11.60
Indiana PA,Penn St AC,12-2,0.857,19,4.08,17,18.24,59,31.62,2,13.46,3.05,99,1.59
Shippensburg,Penn St AC,11-2,0.846,20,4.07,20,17.69,8,40.95,63,3.59,3.09,90,2.84
West Alabama,Gulf South,8-4,0.667,21,4.02,19,17.69,27,35.67,16,8.87,2.94,35,8.81
CSU-Pueblo,Rocky Mtn AC,12-1,0.923,22,4.00,29,15.01,44,33.09,17,8.77,2.95,95,2.05
Harding,Great American,9-2,0.818,23,3.99,22,16.67,42,33.38,12,10.14,2.88,60,6.46
Ferris St,Great Lakes IAC,7-4,0.636,24,3.93,24,16.02,16,37.92,48,4.94,2.75,8,12.77
OH Dominican,Great Lakes IAC,8-3,0.727,25,3.88,23,16.63,20,37.13,35,6.35,2.91,80,3.63
Indianapolis,Great Lakes Val,10-3,0.769,26,3.79,27,15.39,33,33.95,22,8.29,3.11,114,-0.02
Sioux Falls,Northern Sun,9-2,0.818,27,3.76,37,12.65,55,31.82,27,7.67,2.92,56,7.00
Washburn,Mid America IAA,7-4,0.636,28,3.74,26,15.64,24,36.53,38,5.96,2.68,19,10.49
Wayne St MI,Great Lakes IAC,5-5,0.500,29,3.68,32,14.23,56,31.82,15,9.26,2.72,7,13.36
Abilene Chr,Lone Star,7-4,0.636,30,3.66,28,15.11,31,34.15,26,7.81,2.96,42,8.45
C Washington,Great Northwest,7-4,0.636,31,3.62,25,15.96,29,34.23,20,8.57,3.05,51,7.63
St Cloud,Northern Sun,7-4,0.636,32,3.58,30,14.93,25,36.48,44,5.30,2.81,64,6.09
Findlay,Great Lakes IAC,7-3,0.700,33,3.53,45,11.77,30,34.22,52,4.40,2.80,59,6.53
Lenoir-Rhyne,South Atlantic,9-3,0.750,34,3.52,31,14.62,39,33.45,23,8.02,3.00,100,1.56
Lindenwood,Mid America IAA,8-4,0.667,35,3.48,52,10.40,37,33.54,61,3.71,2.92,26,10.00
California PA,Penn St AC,8-3,0.727,36,3.47,42,12.12,34,33.94,47,5.03,2.85,88,3.31
