Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Central IL,Ill & Wisc,15-0,1.000,,1,6.12,1,30.21,1,43.74,1,13.68,2.13,4,1.36
Mt Union,Ohio AC,14-1,0.933,,2,5.50,2,23.71,2,39.10,2,11.83,2.07,11,-0.54
Trinity CT,NESCAC,9-0,1.000,,3,5.24,4,16.90,7,33.21,3,10.91,2.24,23,-4.73
M Hardin-Baylor,American SW,12-2,0.857,,4,5.19,3,19.02,3,38.59,7,7.65,2.11,3,1.60
Wartburg,American Rivers,13-1,0.929,,5,5.11,5,14.32,16,31.01,4,10.52,2.24,21,-3.87
WI LaCrosse,Wisconsin IAC,9-2,0.818,,6,4.81,7,12.42,6,33.23,10,6.41,2.14,5,0.72
WI Whitewater,Wisconsin IAC,8-3,0.727,+1,7,4.71,8,12.34,22,29.58,5,9.98,2.22,2,2.36
St John's MN,Minnesota IAC,10-2,0.833,+2,8,4.67,10,10.98,14,32.09,13,6.10,2.11,22,-4.33
Johns Hopkins,Centennial,10-1,0.909,,9,4.67,11,10.95,5,35.17,23,3.00,2.21,33,-9.77
Trinity TX,SAA,11-1,0.917,-3,10,4.67,15,7.16,37,26.07,6,8.30,2.11,31,-8.78
John Carroll,Ohio AC,8-2,0.800,+1,11,4.60,9,11.00,15,31.06,8,7.16,2.19,24,-4.89
Bethel MN,Minnesota IAC,10-3,0.769,-1,12,4.55,17,6.37,19,30.01,19,3.58,2.25,19,-2.57
Wheaton IL,Ill & Wisc,8-3,0.727,,13,4.52,6,12.51,4,36.76,24,2.97,2.27,20,-3.44
Hardin-Simmons,American SW,9-2,0.818,,14,4.48,12,10.11,10,32.80,17,4.52,2.14,29,-7.83
Ithaca,Liberty League,12-1,0.923,,15,4.47,20,4.54,24,29.36,27,2.40,2.17,38,-11.25
Delaware Val,Mid Atlantic,12-1,0.923,,16,4.38,24,3.11,41,24.70,14,5.62,2.06,73,-16.83
Linfield,Northwest,10-1,0.909,+6,17,4.37,16,6.96,11,32.77,31,1.41,2.24,56,-14.23
Carnegie Mellon,Presidents' AC,11-1,0.917,-1,18,4.36,31,0.96,55,21.89,11,6.28,2.21,37,-10.81
Randolph-Macon,Old Dominion AC,11-1,0.917,+2,19,4.34,21,3.90,13,32.24,51,-1.13,2.17,49,-13.37
Tufts,NESCAC,6-3,0.667,-2,20,4.33,14,7.77,8,32.95,28,2.03,2.20,12,-1.08
Middlebury,NESCAC,7-2,0.778,-2,21,4.30,28,1.73,26,28.43,36,0.52,2.23,14,-1.41
WI Oshkosh,Wisconsin IAC,6-4,0.600,-2,22,4.30,13,8.77,21,29.77,12,6.21,2.31,18,-2.32
Wesleyan CT,NESCAC,6-3,0.667,-1,23,4.28,18,5.48,31,27.46,15,5.23,2.27,17,-1.97
WI River Falls,Wisconsin IAC,7-4,0.636,,24,4.25,19,5.47,9,32.90,41,-0.22,2.15,16,-1.80
Wash & Jeff,Presidents' AC,9-2,0.818,,25,4.23,23,3.75,29,27.78,22,3.19,2.22,40,-11.72
Susquehanna,Centennial,10-1,0.909,+1,26,4.21,27,2.39,30,27.78,29,1.82,2.12,53,-13.76
WI Platteville,Wisconsin IAC,5-5,0.500,-1,27,4.11,35,-0.82,57,21.67,16,4.73,2.26,1,3.59
Cortland St,Empire 8,9-2,0.818,+3,28,4.11,22,3.77,12,32.36,53,-1.37,2.18,51,-13.48
Heidelberg,Ohio AC,7-3,0.700,,29,4.08,26,2.54,32,27.35,26,2.41,2.18,28,-7.65
Washington StL,Ill & Wisc,8-3,0.727,-2,30,4.08,25,3.02,20,29.80,37,0.44,2.19,32,-9.73
Baldwin-Wallace,Ohio AC,7-3,0.700,+1,31,4.02,33,-0.43,39,25.02,30,1.77,2.28,26,-7.14
Aurora,Northern Athletic,11-2,0.846,-2,32,3.97,38,-2.53,17,30.37,81,-5.69,2.07,70,-16.50
WI Stout,Wisconsin IAC,5-5,0.500,,33,3.96,32,0.58,27,28.22,43,-0.43,2.19,13,-1.20
Albion,Michigan IAA,9-1,0.900,,34,3.94,39,-3.26,42,24.08,40,-0.13,2.19,87,-17.98
Muhlenberg,Centennial,7-4,0.636,,35,3.90,30,1.29,23,29.41,47,-0.90,2.17,34,-10.07
Ursinus,Centennial,9-2,0.818,+1,36,3.85,40,-3.76,34,26.54,64,-3.09,2.18,62,-15.47
Westminster PA,Presidents' AC,7-3,0.700,-1,37,3.83,42,-3.92,73,19.76,20,3.54,2.16,46,-13.04
Berry,SAA,7-3,0.700,+1,38,3.81,37,-2.18,40,24.81,38,0.22,2.23,47,-13.15
Gust Adolphus,Minnesota IAC,7-3,0.700,-1,39,3.80,36,-1.33,28,28.08,57,-2.19,2.21,44,-12.39
Colby,NESCAC,4-5,0.444,+1,40,3.77,46,-4.78,80,18.98,21,3.45,2.22,9,-0.08
Salisbury,New Jersey A.C.,9-2,0.818,+3,41,3.76,41,-3.83,36,26.08,59,-2.70,2.18,80,-17.33
Central IA,American Rivers,7-3,0.700,-2,42,3.76,34,-0.50,18,30.14,66,-3.43,2.22,58,-14.60
Williams,NESCAC,3-6,0.333,-1,43,3.72,29,1.31,38,25.87,25,2.66,2.30,15,-1.68
Marietta,Ohio AC,6-4,0.600,-1,44,3.72,47,-4.92,47,23.29,50,-0.99,2.20,27,-7.58
Utica,Empire 8,10-2,0.833,,45,3.68,66,-10.88,54,22.17,82,-5.83,2.24,59,-14.83
Grove City,Presidents' AC,8-3,0.727,,46,3.67,43,-4.03,35,26.15,63,-2.96,2.20,75,-16.95
Alma,Michigan IAA,11-1,0.917,+3,47,3.61,74,-12.33,52,22.33,93,-7.45,2.18,107,-19.75
Birmingham So,SAA,7-3,0.700,,48,3.61,45,-4.27,53,22.27,33,0.67,2.14,83,-17.60
Case Western,Presidents' AC,6-4,0.600,-2,49,3.58,50,-6.33,61,21.35,44,-0.47,2.22,41,-11.74
Rensselaer,Liberty League,8-3,0.727,+1,50,3.57,54,-8.24,121,14.64,18,4.33,2.23,99,-19.18
Huntingdon,USA South,9-2,0.818,+6,51,3.56,62,-10.31,43,23.93,89,-7.03,2.23,76,-17.00
Howard Payne,American SW,7-3,0.700,+2,52,3.55,52,-7.22,25,28.54,101,-8.54,2.14,45,-12.68
Bowdoin,NESCAC,3-6,0.333,-4,53,3.55,53,-7.56,78,19.09,35,0.56,2.28,6,0.63
Amherst,NESCAC,2-7,0.222,-2,54,3.52,44,-4.23,106,16.51,9,6.47,2.24,10,-0.19
Shenandoah,Old Dominion AC,8-2,0.800,+1,55,3.52,63,-10.37,85,18.36,54,-1.52,2.21,105,-19.63
Dubuque,American Rivers,6-4,0.600,-3,56,3.51,55,-8.74,81,18.96,45,-0.49,2.15,42,-11.89
Coe,American Rivers,7-3,0.700,-2,57,3.49,57,-9.00,79,19.02,46,-0.80,2.15,77,-17.19
Hobart & Smith,Liberty League,7-4,0.636,,58,3.48,49,-6.28,65,20.78,39,0.15,2.25,84,-17.60
Stevenson,Mid Atlantic,8-3,0.727,,59,3.47,59,-9.81,87,18.31,48,-0.91,2.20,85,-17.85
Union NY,Liberty League,6-4,0.600,,60,3.47,48,-4.94,46,23.59,52,-1.32,2.23,71,-16.54
Bridgewater VA,Old Dominion AC,9-2,0.818,+1,61,3.45,64,-10.37,69,20.64,69,-3.79,2.18,124,-22.12
George Fox,Northwest,8-2,0.800,+2,62,3.44,76,-12.65,91,18.02,67,-3.45,2.14,98,-19.16
Springfield,NE W&M,9-3,0.750,-2,63,3.43,56,-8.77,56,21.82,65,-3.38,2.16,122,-22.06
Hope,Michigan IAA,6-4,0.600,-1,64,3.42,51,-6.79,48,23.21,60,-2.79,2.16,61,-15.15
DePauw,North Coast AC,9-2,0.818,+2,65,3.38,72,-12.12,77,19.30,72,-4.20,2.29,132,-23.18
Bates,NESCAC,3-6,0.333,-1,66,3.37,71,-11.93,58,21.65,85,-6.36,2.20,8,0.17
Frank & Marsh,Centennial,6-4,0.600,-1,67,3.35,58,-9.34,66,20.71,61,-2.84,2.26,64,-15.92
Trine,Michigan IAA,7-3,0.700,,68,3.34,73,-12.19,72,19.78,76,-4.76,2.17,93,-18.35
Brockport St,Empire 8,7-3,0.700,,69,3.32,65,-10.47,113,16.07,32,0.67,2.30,127,-22.46
Endicott,Commonwealth Coast,10-1,0.909,+3,70,3.28,78,-12.79,111,16.18,55,-1.76,2.17,184,-32.31
Centre,SAA,6-4,0.600,-1,71,3.27,68,-11.16,50,22.46,86,-6.41,2.21,63,-15.47
Belhaven MS,USA South,8-2,0.800,-1,72,3.26,61,-10.13,63,21.00,71,-3.92,2.14,167,-27.65
Claremont M.S.,Southern Cal IAC,7-2,0.778,+1,73,3.24,79,-13.64,124,14.49,49,-0.92,2.22,148,-25.42
Whitworth,Northwest,6-4,0.600,+2,74,3.20,69,-11.49,70,20.20,74,-4.47,2.21,86,-17.91
Hamilton,NESCAC,2-7,0.222,-3,75,3.20,75,-12.41,74,19.72,78,-4.91,2.19,7,0.42
E Texas Bap,American SW,5-5,0.500,-1,76,3.18,77,-12.66,102,16.88,58,-2.33,2.17,50,-13.39
Muskingum,Ohio AC,5-5,0.500,,77,3.18,81,-14.46,68,20.67,96,-7.91,2.20,35,-10.28
Mt St Joseph,Heartland CAC,10-1,0.909,+4,78,3.18,102,-18.65,49,22.58,149,-14.02,2.24,145,-24.77
Morrisville St,Empire 8,7-4,0.636,-1,79,3.17,87,-16.62,152,10.96,42,-0.36,2.28,95,-18.64
Ohio Northern,Ohio AC,3-7,0.300,+1,80,3.12,67,-11.05,90,18.03,56,-1.87,2.25,30,-8.02
Concordia Mhd,Minnesota IAC,5-5,0.500,-1,81,3.12,70,-11.81,88,18.28,62,-2.87,2.25,67,-16.27
Monmouth IL,Midwest,9-2,0.818,-3,82,3.09,84,-15.09,59,21.47,112,-9.35,2.24,177,-29.59
Denison,North Coast AC,8-2,0.800,,83,3.08,85,-16.28,82,18.82,95,-7.88,2.28,168,-27.73
Washington & Lee,Old Dominion AC,5-5,0.500,,84,3.07,60,-9.86,105,16.68,34,0.67,2.21,113,-21.01
Adrian,Michigan IAA,6-4,0.600,,85,3.05,86,-16.58,99,17.28,87,-6.64,2.27,97,-18.87
Carleton MN,Minnesota IAC,7-3,0.700,,86,3.03,88,-16.63,92,17.82,91,-7.24,2.27,134,-23.64
