Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
LSU,Southeastern,15-0,1.000,1,9.53,4,85.08,1,75.19,13,37.98,2.20,1,70.28
Ohio St,Big 10,13-1,0.929,2,9.25,1,87.33,2,74.50,3,40.91,2.18,2,67.63
Clemson,Atlantic Coast,14-1,0.933,3,9.16,2,85.20,5,70.30,1,42.99,2.05,10,63.20
Alabama,Southeastern,11-2,0.846,4,8.99,3,85.17,3,74.10,6,39.16,2.11,5,65.41
Georgia,Southeastern,12-2,0.857,5,8.66,5,76.51,21,61.96,2,42.63,2.18,14,62.04
Penn St,Big 10,11-2,0.846,6,8.59,7,75.13,8,64.89,11,38.33,2.26,13,62.19
Oklahoma,Big 12,12-2,0.857,7,8.55,10,74.12,4,70.53,37,31.68,2.27,6,64.55
Oregon,Pac 12,12-2,0.857,8,8.55,13,72.75,12,63.86,15,36.98,2.26,15,61.89
Notre Dame,FBS Indep,11-2,0.846,9,8.51,9,74.29,13,63.63,8,38.75,2.25,23,60.82
Florida,Southeastern,11-2,0.846,10,8.51,12,73.44,15,63.52,12,38.00,2.23,20,61.40
Auburn,Southeastern,9-4,0.692,11,8.40,8,74.86,17,63.26,5,39.68,2.26,3,66.02
Wisconsin,Big 10,10-4,0.714,12,8.38,6,75.15,9,64.36,7,38.87,2.26,7,64.30
Michigan,Big 10,9-4,0.692,13,8.37,11,73.95,14,63.52,9,38.51,2.33,4,65.44
Iowa,Big 10,10-3,0.769,14,8.31,15,70.46,44,57.80,4,40.75,2.23,26,60.37
Minnesota,Big 10,11-2,0.846,15,8.27,19,67.18,20,62.44,29,32.83,2.21,29,60.11
Utah,Pac 12,11-3,0.786,16,8.12,16,68.82,32,59.27,14,37.64,2.23,41,58.41
Baylor,Big 12,11-3,0.786,17,8.11,21,66.15,29,59.81,23,34.42,2.24,30,60.11
Texas A&M,Southeastern,8-5,0.615,18,8.08,18,67.68,24,60.78,19,34.98,2.22,9,63.66
Texas,Big 12,8-5,0.615,19,8.04,17,68.66,11,64.22,31,32.53,2.19,11,63.05
Memphis,American Athletic,12-2,0.857,20,8.00,25,63.98,7,65.14,64,26.93,2.30,61,55.82
Washington,Pac 12,8-5,0.615,21,7.97,14,71.42,23,61.01,10,38.49,2.21,37,58.75
Navy,American Athletic,11-2,0.846,22,7.93,34,61.94,30,59.79,45,30.24,2.28,67,54.12
Appalachian St,Sun Belt,13-1,0.929,23,7.90,38,61.07,36,58.88,44,30.28,2.10,98,47.01
