Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alabama,Southeastern,13-1,0.929,1,9.41,1,77.76,6,63.58,1,41.32,2.59,19,56.15
Ohio St,Big 10,12-2,0.857,2,9.07,2,75.84,4,65.51,4,37.47,2.58,12,56.83
Clemson,Atlantic Coast,12-2,0.857,3,9.06,3,75.60,8,63.03,2,39.71,2.51,10,56.88
Georgia,Southeastern,13-2,0.867,4,8.98,6,72.83,7,63.04,5,36.93,2.50,3,58.51
Oklahoma,Big 12,12-2,0.857,5,8.97,5,73.13,1,70.94,32,29.33,2.52,7,57.29
Penn St,Big 10,11-2,0.846,6,8.90,4,73.51,3,66.18,12,34.47,2.64,33,55.10
Wisconsin,Big 10,13-1,0.929,7,8.80,7,70.83,16,59.94,3,38.03,2.56,34,55.08
Auburn,Southeastern,10-4,0.714,8,8.42,11,67.62,24,58.99,8,35.78,2.66,5,57.57
Notre Dame,FBS Indep,10-3,0.769,9,8.39,10,67.72,13,61.17,16,33.70,2.63,2,58.69
Oklahoma St,Big 12,10-3,0.769,10,8.37,9,68.28,2,67.42,39,28.01,2.52,22,56.01
Washington,Pac 12,10-3,0.769,11,8.30,8,69.28,12,61.52,9,34.90,2.68,57,52.79
UCF,American Athletic,13-0,1.000,12,8.23,25,62.04,5,63.85,57,25.34,2.60,78,47.02
TCU,Big 12,11-3,0.786,13,8.21,14,63.70,29,58.14,18,32.70,2.57,38,54.52
USC,Pac 12,11-3,0.786,14,8.11,16,63.62,21,59.48,25,31.28,2.48,11,56.86
Michigan St,Big 10,10-3,0.769,15,8.04,23,62.19,50,54.87,13,34.46,2.46,9,57.01
LSU,Southeastern,9-4,0.692,16,8.03,12,64.92,41,55.83,6,36.23,2.49,35,55.04
Miami FL,Atlantic Coast,10-3,0.769,17,8.00,27,61.51,32,56.93,23,31.72,2.57,24,55.81
Mississippi St,Southeastern,9-4,0.692,18,7.97,18,63.28,28,58.27,22,32.16,2.60,32,55.14
NC State,Atlantic Coast,9-4,0.692,19,7.91,21,62.42,18,59.69,30,29.87,2.52,15,56.59
Virginia Tech,Atlantic Coast,9-4,0.692,20,7.91,17,63.38,53,54.65,7,35.87,2.60,46,53.81
Stanford,Pac 12,9-5,0.643,21,7.90,13,64.05,25,58.93,20,32.26,2.67,26,55.72
