Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
E Washington,Big Sky,13-2,0.867,1,7.29,6,37.51,3,47.73,16,16.79,2.56,8,31.25
Delaware,Coastal,12-3,0.800,2,7.11,2,40.00,21,42.14,1,24.87,2.56,24,27.90
Villanova,Coastal,9-5,0.643,3,7.08,1,42.45,1,49.13,7,20.33,2.60,1,33.36
Appalachian St,Southern,10-3,0.769,4,6.91,5,37.52,2,47.74,15,16.79,2.52,15,29.09
William & Mary,Coastal,8-4,0.667,5,6.87,3,38.20,16,42.77,3,22.43,2.67,4,32.48
New Hampshire,Coastal,8-5,0.615,6,6.81,4,37.53,15,42.95,5,21.59,2.55,6,31.39
Ga Southern,Southern,10-5,0.667,7,6.80,10,34.19,17,42.34,11,18.86,2.59,17,28.94
James Madison,Coastal,6-5,0.545,8,6.71,8,35.30,35,38.35,2,23.96,2.64,3,32.53
Wofford,Southern,10-3,0.769,9,6.68,17,31.89,32,40.04,12,18.86,2.58,39,25.77
Richmond,Coastal,6-5,0.545,10,6.68,14,33.15,34,38.43,4,21.73,2.56,2,33.24
N Dakota St,Missouri Valley,9-5,0.643,11,6.66,9,34.39,18,42.19,9,19.21,2.62,25,27.82
Montana,Big Sky,7-4,0.636,12,6.58,7,35.33,6,44.08,13,18.26,2.65,38,25.79
Massachusetts,Coastal,6-5,0.545,13,6.51,16,32.76,12,43.51,19,16.25,2.69,10,30.65
Northern Arizona,Big Sky,6-5,0.545,14,6.49,13,33.52,24,41.44,10,19.09,2.60,19,28.80
S Dakota St,Missouri Valley,5-6,0.455,15,6.48,12,33.65,29,40.56,8,20.09,2.67,5,32.10
Montana St,Big Sky,9-3,0.750,16,6.48,23,29.09,10,43.54,41,12.55,2.63,34,26.10
Northern Iowa,Missouri Valley,7-5,0.583,17,6.47,11,33.89,30,40.48,6,20.43,2.66,16,28.95
W Illinois,Missouri Valley,8-5,0.615,18,6.47,22,29.64,31,40.12,17,16.52,2.59,21,28.15
Weber St,Big Sky,6-5,0.545,19,6.40,25,28.69,23,41.48,27,14.22,2.66,7,31.28
CS Sacramento,Big Sky,6-5,0.545,20,6.40,18,31.27,4,44.50,31,13.78,2.66,14,29.57
SF Austin,Southland,9-3,0.750,21,6.39,24,28.82,8,43.93,45,11.90,2.68,43,23.63
Elon,Southern,6-5,0.545,22,6.36,19,31.12,5,44.38,33,13.75,2.53,26,27.53
Penn,Ivy League,9-1,0.900,23,6.35,32,26.26,54,35.93,14,17.34,2.61,76,13.61
S Illinois,Missouri Valley,5-6,0.455,24,6.32,15,33.06,9,43.67,18,16.39,2.62,22,28.05
Jacksonville St,OH Valley,9-3,0.750,25,6.29,26,28.01,27,40.83,28,14.18,2.58,47,21.61
Southern Utah,Great West,6-5,0.545,26,6.29,20,30.44,22,41.92,22,15.52,2.68,36,25.92
Cal Poly,Great West,7-4,0.636,27,6.27,27,27.57,25,41.17,35,13.41,2.68,40,24.53
Lehigh,Patriot League,10-3,0.769,28,6.26,44,22.47,58,35.23,26,14.25,2.53,54,20.49
Chattanooga,Southern,6-5,0.545,29,6.24,29,27.11,14,43.38,53,10.74,2.60,20,28.79
UC Davis,Great West,6-5,0.545,30,6.20,34,25.68,46,37.12,21,15.57,2.63,27,27.24
Furman,Southern,5-6,0.455,31,6.18,21,30.26,11,43.52,32,13.75,2.62,32,26.77
Maine,Coastal,4-7,0.364,32,6.12,30,26.79,38,38.05,20,15.76,2.69,9,30.88
Missouri St,Missouri Valley,5-6,0.455,33,6.10,33,25.98,19,42.17,51,10.82,2.74,18,28.93
SE Missouri St,OH Valley,9-3,0.750,34,6.10,47,20.99,59,35.15,39,12.85,2.65,49,21.05
Liberty,Big South,8-3,0.727,35,6.10,31,26.50,20,42.14,46,11.37,2.64,64,16.50
Illinois St,Missouri Valley,6-5,0.545,36,6.10,41,23.17,13,43.44,84,6.73,2.68,23,27.96
Rhode Island,Coastal,5-6,0.455,37,6.06,43,22.75,48,36.98,40,12.78,2.63,12,29.64
Cent Arkansas,Southland,7-4,0.636,38,6.05,35,25.20,47,37.03,24,15.18,2.62,58,19.40
McNeese St,Southland,6-5,0.545,39,6.04,38,24.49,40,37.95,34,13.55,2.55,41,24.27
S Carolina St,Mid-Eastern AC,9-3,0.750,40,5.97,39,24.29,44,37.29,29,14.00,2.62,83,12.03
E Kentucky,OH Valley,6-5,0.545,41,5.93,40,23.63,52,36.85,30,13.79,2.66,50,20.97
Harvard,Ivy League,7-3,0.700,42,5.91,42,22.85,53,36.68,38,13.17,2.57,69,15.13
South Dakota,Great West,4-7,0.364,43,5.90,37,24.65,36,38.26,36,13.40,2.78,30,26.89
Sam Houston St,Southland,6-5,0.545,44,5.86,45,22.13,41,37.87,48,11.27,2.68,53,20.66
Youngstown St,Missouri Valley,3-8,0.273,45,5.85,28,27.25,7,43.97,57,10.29,2.68,28,27.13
Samford,Southern,4-7,0.364,46,5.79,50,20.71,76,32.21,23,15.51,2.55,33,26.56
Indiana St,Missouri Valley,6-5,0.545,47,5.78,59,17.27,51,36.88,77,7.41,2.68,44,23.58
North Dakota,Great West,3-8,0.273,48,5.77,36,24.74,45,37.26,25,14.48,2.77,37,25.81
Murray St,OH Valley,6-5,0.545,49,5.74,53,19.64,26,40.84,89,5.81,2.72,52,20.68
Colgate,Patriot League,7-4,0.636,50,5.74,52,20.20,49,36.97,58,10.24,2.56,66,15.54
Coastal Car,Big South,6-6,0.500,51,5.74,46,21.22,43,37.65,54,10.58,2.67,51,20.78
Brown,Ivy League,6-4,0.600,52,5.72,54,19.28,63,34.38,44,11.91,2.61,65,16.25
TN Martin,OH Valley,6-5,0.545,53,5.71,55,19.00,66,33.80,42,12.20,2.72,59,18.56
Stony Brook,Big South,6-5,0.545,54,5.71,51,20.62,39,38.00,61,9.63,2.65,61,17.95
N Colorado,Big Sky,3-8,0.273,55,5.66,48,20.88,50,36.96,50,10.93,2.67,31,26.81
Grambling,Southwestern AC,9-2,0.818,56,5.65,63,16.69,62,34.47,63,9.23,2.66,104,7.01
Jacksonville,Pioneer,10-1,0.909,57,5.63,68,14.66,37,38.10,106,3.57,2.67,116,4.23
Yale,Ivy League,7-3,0.700,58,5.63,64,15.79,81,31.45,47,11.35,2.55,79,12.38
Old Dominion,FCS Indep,8-3,0.727,59,5.62,60,17.26,42,37.71,85,6.56,2.62,87,11.12
Bethune-Cookman,Mid-Eastern AC,10-2,0.833,60,5.59,69,14.49,55,35.71,90,5.79,2.58,101,7.40
Holy Cross,Patriot League,6-5,0.545,61,5.58,57,18.46,60,35.07,56,10.40,2.57,71,14.86
Portland St,Big Sky,2-9,0.182,62,5.58,49,20.83,28,40.65,79,7.19,2.78,11,30.62
Tennessee Tech,OH Valley,5-6,0.455,63,5.56,61,17.11,56,35.70,71,8.42,2.66,56,20.19
Northwestern LA,Southland,5-6,0.455,64,5.55,76,13.56,88,30.62,60,9.95,2.73,45,22.08
Robert Morris,Northeast,8-3,0.727,65,5.54,74,14.04,78,32.04,67,9.01,2.58,84,11.41
Florida A&M,Mid-Eastern AC,8-3,0.727,66,5.53,75,14.01,89,30.28,52,10.74,2.55,94,9.66
Texas St,Southland,4-7,0.364,67,5.52,56,18.60,33,38.57,82,7.04,2.70,48,21.27
Citadel,Southern,3-8,0.273,68,5.51,58,17.80,80,31.54,37,13.27,2.65,42,24.23
Central Conn,Northeast,8-3,0.727,69,5.48,78,12.65,57,35.65,102,4.01,2.64,88,11.11
Dartmouth,Ivy League,6-4,0.600,70,5.44,73,14.27,69,33.20,75,8.08,2.61,77,13.06
Jackson St,Southwestern AC,8-3,0.727,71,5.42,77,12.87,64,34.18,91,5.70,2.52,98,8.19
Dayton,Pioneer,10-1,0.909,72,5.37,90,9.88,71,33.10,104,3.79,2.61,122,-0.62
SUNY Albany,Northeast,6-5,0.545,73,5.36,72,14.31,86,30.82,55,10.50,2.61,80,12.24
TX Southern,Southwestern AC,9-3,0.750,74,5.35,89,10.09,101,28.48,69,8.62,2.62,102,7.24
Nicholls St,Southland,4-7,0.364,75,5.31,79,12.43,68,33.49,88,5.95,2.64,55,20.30
W Carolina,Southern,2-9,0.182,76,5.27,71,14.32,77,32.18,64,9.15,2.71,35,25.99
Hampton,Mid-Eastern AC,6-5,0.545,77,5.26,83,11.16,106,26.11,43,12.07,2.62,89,11.09
E Illinois,OH Valley,2-9,0.182,78,5.24,62,16.91,73,32.92,49,11.00,2.66,46,21.77
Prairie View,Southwestern AC,7-4,0.636,79,5.23,84,11.15,94,29.03,65,9.13,2.55,105,7.01
Towson,Coastal,1-10,0.091,80,5.21,66,15.21,61,35.00,78,7.22,2.64,13,29.64
Columbia,Ivy League,4-6,0.400,81,5.17,81,11.97,90,30.21,68,8.77,2.61,74,14.47
Duquesne,Northeast,7-4,0.636,82,5.16,92,7.59,93,29.76,96,4.84,2.62,95,9.28
Fordham,Patriot League,5-6,0.455,83,5.14,85,11.10,83,31.03,81,7.08,2.55,81,12.15
Idaho St,Big Sky,1-10,0.091,84,5.14,67,14.69,75,32.41,62,9.29,2.77,29,26.92
SE Louisiana,Southland,2-9,0.182,85,5.13,65,15.49,65,34.17,73,8.33,2.71,57,20.00
Norfolk St,Mid-Eastern AC,6-5,0.545,86,5.13,86,10.99,95,28.94,66,9.06,2.66,99,7.74
Gardner Webb,Big South,4-7,0.364,87,5.10,88,10.29,98,28.85,70,8.45,2.60,73,14.66
Bryant,Northeast,7-4,0.636,88,5.03,94,7.35,92,29.82,97,4.54,2.68,113,5.01
VMI,Big South,3-8,0.273,89,5.02,91,9.30,102,28.16,74,8.15,2.65,60,18.08
Tennessee St,OH Valley,3-8,0.273,90,5.02,80,12.05,97,28.85,59,10.20,2.60,75,14.18
Georgia St,FCS Indep,6-5,0.545,91,4.99,87,10.64,70,33.11,98,4.53,2.64,106,6.93
Drake,Pioneer,7-4,0.636,92,4.97,93,7.38,96,28.88,93,5.51,2.66,117,3.03
Lafayette,Patriot League,2-9,0.182,93,4.96,70,14.35,72,33.00,72,8.36,2.53,70,15.06
Alabama St,Southwestern AC,7-5,0.583,94,4.95,103,4.85,115,23.95,76,7.91,2.67,112,5.06
Monmouth NJ,Northeast,3-8,0.273,95,4.88,82,11.64,79,31.55,80,7.10,2.47,86,11.20
Lamar,Southland,5-6,0.455,96,4.86,107,4.03,111,24.63,87,6.41,2.63,92,10.70
Alcorn St,Southwestern AC,5-6,0.455,97,4.80,95,6.89,74,32.76,112,1.14,2.63,103,7.21
Charleston So,Big South,3-8,0.273,98,4.80,97,6.77,67,33.58,115,0.20,2.61,67,15.52
San Diego,Pioneer,5-6,0.455,99,4.78,96,6.82,104,27.00,83,6.83,2.63,114,4.88
Morgan St,Mid-Eastern AC,4-7,0.364,100,4.77,104,4.67,103,27.44,101,4.23,2.57,90,11.09
Ark Pine Bluff,Southwestern AC,5-6,0.455,101,4.76,102,5.07,87,30.66,111,1.42,2.56,108,6.66
Austin Peay,OH Valley,2-9,0.182,102,4.74,99,6.28,84,30.95,107,2.35,2.59,62,17.94
Wagner,Northeast,5-6,0.455,103,4.74,106,4.13,105,26.82,99,4.32,2.59,109,6.10
Cornell,Ivy League,2-8,0.200,104,4.69,105,4.50,109,25.01,86,6.51,2.75,68,15.35
Georgetown,Patriot League,4-7,0.364,105,4.68,111,2.06,117,23.46,92,5.61,2.64,93,9.82
Presbyterian,Big South,2-9,0.182,106,4.64,98,6.30,82,31.22,109,2.10,2.68,72,14.77
Sacred Heart,Northeast,4-7,0.364,107,4.64,108,3.61,100,28.69,110,1.93,2.63,100,7.50
Delaware St,Mid-Eastern AC,3-8,0.273,108,4.60,100,6.08,85,30.89,108,2.21,2.71,97,8.40
Princeton,Ivy League,1-9,0.100,109,4.59,101,5.70,99,28.71,103,4.00,2.60,63,17.17
Alabama A&M,Southwestern AC,3-8,0.273,110,4.47,109,3.56,107,25.62,95,4.95,2.63,111,5.30
Bucknell,Patriot League,1-10,0.091,111,4.33,112,1.82,112,24.58,100,4.25,2.64,78,12.91
NC Central,FCS Indep,3-8,0.273,112,4.29,113,0.54,116,23.92,105,3.63,2.66,118,2.52
Southern Univ,Southwestern AC,2-9,0.182,113,4.27,110,2.32,91,29.94,118,-0.61,2.61,110,6.08
Morehead St,Pioneer,5-6,0.455,114,4.26,118,-5.02,113,24.52,120,-2.53,2.64,120,1.13
Butler,Pioneer,4-7,0.364,115,4.24,114,-1.12,120,20.88,94,5.00,2.58,123,-1.16
Davidson,Pioneer,3-8,0.273,116,4.12,120,-6.64,121,20.58,116,-0.21,2.62,115,4.54
Marist,Pioneer,3-8,0.273,117,4.11,115,-1.73,114,24.26,114,1.02,2.61,121,-0.03
St Francis PA,Northeast,1-10,0.091,118,4.06,117,-3.34,118,22.60,113,1.07,2.73,91,11.03
NC A&T,Mid-Eastern AC,1-10,0.091,119,4.04,116,-2.47,110,24.97,117,-0.43,2.56,96,9.16
Campbell,Pioneer,3-8,0.273,120,3.88,121,-7.19,119,21.87,119,-2.05,2.59,124,-1.23
Howard,Mid-Eastern AC,1-10,0.091,121,3.85,119,-5.52,108,25.15,122,-3.66,2.68,107,6.79
Savannah St,FCS Indep,1-10,0.091,122,3.64,123,-14.38,122,19.02,123,-6.39,2.73,82,12.08
MS Valley St,Southwestern AC,0-10,0.000,123,3.53,122,-11.07,123,18.71,121,-2.77,2.66,85,11.28
Valparaiso,Pioneer,0-11,0.000,124,2.70,124,-24.48,124,14.30,124,-11.78,2.68,119,1.34
