Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,15-0,1.000,1,7.92,1,56.36,2,52.99,1,30.92,3.07,9,32.74
E Illinois,OH Valley,12-2,0.857,2,6.61,2,45.91,1,56.62,17,16.84,3.11,14,30.38
Towson,Coastal,13-3,0.813,3,6.21,3,40.88,5,50.69,11,17.74,2.87,17,30.06
E Washington,Big Sky,12-3,0.800,4,6.11,5,39.44,3,51.04,28,15.95,3.03,12,31.32
S Dakota St,Missouri Valley,9-5,0.643,5,5.88,7,38.45,20,44.90,4,21.10,2.92,5,33.65
Northern Iowa,Missouri Valley,7-5,0.583,6,5.87,4,39.79,22,44.40,3,22.95,2.86,8,33.15
SE Louisiana,Southland,11-3,0.786,7,5.76,11,36.06,12,46.12,14,17.50,3.05,29,27.76
S Illinois,Missouri Valley,7-5,0.583,8,5.69,10,36.21,21,44.62,7,19.15,2.82,7,33.30
New Hampshire,Coastal,10-5,0.667,9,5.63,9,36.43,11,46.36,12,17.62,3.12,19,29.57
Sam Houston St,Southland,9-5,0.643,10,5.61,8,37.79,6,50.51,37,14.83,3.11,59,23.02
Youngstown St,Missouri Valley,8-4,0.667,11,5.60,15,35.10,9,46.92,29,15.73,2.93,22,29.09
Missouri St,Missouri Valley,5-7,0.417,12,5.55,6,38.81,15,45.72,5,20.65,2.98,4,34.38
Jacksonville St,OH Valley,11-4,0.733,13,5.48,13,35.37,16,45.34,13,17.58,3.05,51,25.03
McNeese St,Southland,10-3,0.769,14,5.44,19,32.69,10,46.63,42,13.62,2.84,42,25.79
Villanova,Coastal,6-5,0.545,15,5.43,12,35.73,19,44.91,9,18.38,2.96,15,30.30
Maine,Coastal,10-3,0.769,16,5.43,21,32.16,31,43.11,22,16.60,2.92,37,26.87
Montana,Big Sky,10-3,0.769,17,5.42,17,33.26,13,45.97,36,14.84,2.90,55,23.79
Coastal Car,Big South,12-3,0.800,18,5.36,22,32.05,7,49.89,62,9.71,3.13,52,24.58
Illinois St,Missouri Valley,5-6,0.455,19,5.36,18,33.25,25,43.58,16,17.23,3.04,1,36.05
Cal Poly,Big Sky,6-6,0.500,20,5.28,14,35.12,28,43.40,6,19.27,2.90,25,28.49
William & Mary,Coastal,7-5,0.583,21,5.25,20,32.42,64,36.63,2,23.35,2.93,27,28.35
Old Dominion,FCS Indep,8-4,0.667,22,5.23,24,31.45,4,50.89,81,8.11,3.11,40,26.17
Ga Southern,Southern,7-4,0.636,23,5.19,16,33.75,18,44.95,25,16.36,2.94,54,23.81
Northern Arizona,Big Sky,9-3,0.750,24,5.18,31,28.53,50,38.59,15,17.49,2.90,23,28.98
Chattanooga,Southern,8-4,0.667,25,5.15,23,31.87,39,40.34,8,19.09,2.92,31,27.63
Cent Arkansas,Southland,7-5,0.583,26,5.07,25,31.16,26,43.50,32,15.21,2.97,49,25.25
TN Martin,OH Valley,7-5,0.583,27,5.03,34,28.43,38,40.43,31,15.56,2.82,13,31.14
Harvard,Ivy League,9-1,0.900,28,4.95,30,28.55,30,43.31,47,12.79,2.92,79,17.03
Montana St,Big Sky,7-5,0.583,29,4.92,26,30.99,29,43.39,34,15.15,2.92,56,23.61
James Madison,Coastal,6-6,0.500,30,4.92,28,30.17,35,41.04,19,16.69,2.95,50,25.18
Furman,Southern,8-6,0.571,31,4.90,32,28.52,45,39.57,23,16.50,2.92,20,29.43
Tennessee St,OH Valley,10-4,0.714,32,4.89,37,27.31,62,36.66,10,18.21,2.96,62,21.66
Samford,Southern,8-5,0.615,33,4.88,41,26.57,34,41.64,48,12.49,2.99,28,27.93
Richmond,Coastal,6-6,0.500,34,4.88,27,30.18,32,42.57,33,15.17,2.93,47,25.46
Murray St,OH Valley,6-6,0.500,35,4.81,38,27.10,24,44.19,56,10.47,3.02,21,29.43
Delaware,Coastal,7-5,0.583,36,4.81,36,27.72,23,44.24,50,11.03,2.88,53,24.38
Princeton,Ivy League,8-2,0.800,37,4.80,35,27.91,17,45.15,58,10.31,3.05,82,16.46
Portland St,Big Sky,6-6,0.500,38,4.78,29,29.31,14,45.95,52,10.91,2.92,60,22.75
Southern Utah,Big Sky,8-5,0.615,39,4.77,47,25.34,67,36.27,20,16.62,2.87,36,26.96
Fordham,Patriot League,12-2,0.857,40,4.75,49,24.44,27,43.41,77,8.58,2.95,72,18.89
E Kentucky,OH Valley,6-6,0.500,41,4.74,33,28.45,41,39.80,27,16.21,3.05,46,25.48
South Dakota,Missouri Valley,4-8,0.333,42,4.72,43,25.99,59,37.05,24,16.49,2.92,2,34.91
Stony Brook,Coastal,5-6,0.455,43,4.63,42,26.10,60,37.03,21,16.62,2.85,32,27.57
Liberty,Big South,8-4,0.667,44,4.63,39,26.88,40,39.89,38,14.54,2.99,94,13.60
W Illinois,Missouri Valley,4-8,0.333,45,4.59,46,25.69,53,37.58,30,15.67,2.91,18,29.63
Bethune-Cookman,Mid-Eastern AC,10-3,0.769,46,4.53,51,23.93,57,37.24,39,14.24,2.94,77,17.68
Wofford,Southern,5-6,0.455,47,4.49,45,25.79,63,36.63,18,16.72,2.89,38,26.85
UC Davis,Big Sky,5-7,0.417,48,4.48,48,24.87,68,36.20,26,16.22,2.73,35,26.97
Citadel,Southern,5-7,0.417,49,4.46,44,25.79,43,39.64,41,13.70,2.82,34,27.13
Appalachian St,Southern,4-8,0.333,50,4.43,40,26.61,37,40.92,44,13.24,2.83,30,27.68
CS Sacramento,Big Sky,5-7,0.417,51,4.38,50,23.99,36,41.01,54,10.53,2.83,24,28.70
Northwestern LA,Southland,6-6,0.500,52,4.30,58,21.27,49,38.69,59,10.14,3.05,45,25.58
S Carolina St,Mid-Eastern AC,9-4,0.692,53,4.25,53,22.77,77,35.35,35,14.97,2.92,90,15.22
Lehigh,Patriot League,8-3,0.727,54,4.25,59,20.72,44,39.58,73,8.69,2.92,80,16.84
Tennessee Tech,OH Valley,5-7,0.417,55,4.22,55,22.27,46,39.30,55,10.53,2.90,48,25.25
Dartmouth,Ivy League,6-4,0.600,56,4.14,56,22.27,70,35.92,40,13.90,2.98,83,16.01
Brown,Ivy League,6-4,0.600,57,4.11,54,22.45,61,36.70,43,13.31,2.94,85,15.66
Indiana St,Missouri Valley,1-11,0.083,58,4.05,52,23.20,52,37.82,45,12.94,2.85,10,32.40
Lamar,Southland,5-7,0.417,59,4.01,60,20.22,47,39.11,75,8.66,3.07,65,20.73
Abilene Chr,FCS Indep,6-5,0.545,60,3.96,57,21.81,33,41.72,83,7.65,3.05,111,8.00
Yale,Ivy League,5-5,0.500,61,3.91,67,17.54,76,35.39,63,9.70,2.93,66,20.49
Charleston So,Big South,10-3,0.769,62,3.87,80,14.96,94,31.75,53,10.77,2.90,89,15.29
SF Austin,Southland,3-9,0.250,63,3.86,61,20.19,8,47.45,115,0.30,2.90,44,25.59
Penn,Ivy League,4-6,0.400,64,3.85,62,18.77,71,35.89,57,10.43,2.91,63,21.55
Sacred Heart,Northeast,10-3,0.769,65,3.82,74,15.96,79,34.98,78,8.54,2.90,104,9.22
Lafayette,Patriot League,5-7,0.417,66,3.82,65,17.70,72,35.86,68,9.39,2.89,61,21.99
SE Missouri St,OH Valley,3-9,0.250,67,3.81,64,17.98,51,38.51,86,7.02,2.79,16,30.23
North Dakota,Big Sky,3-8,0.273,68,3.76,66,17.65,65,36.54,74,8.67,2.80,58,23.42
San Diego,Pioneer,8-3,0.727,69,3.69,68,17.50,54,37.54,85,7.52,2.91,115,5.98
Elon,Southern,2-10,0.167,70,3.68,63,18.37,66,36.34,65,9.59,2.80,41,26.07
Weber St,Big Sky,2-10,0.167,71,3.67,69,16.60,69,36.03,80,8.13,2.92,6,33.36
Nicholls St,Southland,4-8,0.333,72,3.67,78,15.22,42,39.78,110,2.99,2.91,26,28.45
Bucknell,Patriot League,6-5,0.545,73,3.65,71,16.26,100,31.03,46,12.79,2.95,87,15.36
W Carolina,Southern,2-10,0.167,74,3.58,70,16.27,55,37.53,91,6.30,2.88,11,31.75
NC A&T,Mid-Eastern AC,7-4,0.636,75,3.57,73,15.97,93,31.83,49,11.69,3.00,108,8.66
Monmouth NJ,FCS Indep,6-6,0.500,76,3.57,72,16.03,85,33.81,61,9.78,2.96,84,15.78
Gardner Webb,Big South,7-5,0.583,77,3.54,84,12.56,102,30.83,69,9.29,3.04,91,14.93
Idaho St,Big Sky,3-9,0.250,78,3.46,76,15.55,58,37.11,94,6.00,3.00,39,26.44
Duquesne,Northeast,7-4,0.636,79,3.46,83,12.90,101,30.92,66,9.54,2.96,97,12.44
Rhode Island,Coastal,3-9,0.250,80,3.44,87,11.90,103,30.39,70,9.06,2.88,33,27.33
Colgate,Patriot League,4-8,0.333,81,3.44,81,14.62,73,35.81,90,6.36,2.63,68,19.96
Holy Cross,Patriot League,3-9,0.250,82,3.34,77,15.48,75,35.43,84,7.60,2.69,70,19.09
St Francis PA,Northeast,5-6,0.455,83,3.33,82,13.57,99,31.30,60,9.83,2.94,96,12.85
N Colorado,Big Sky,1-11,0.083,84,3.29,75,15.75,81,34.33,72,8.97,2.82,57,23.47
Alabama St,Southwestern AC,8-4,0.667,85,3.24,86,12.48,74,35.44,101,4.60,2.93,110,8.22
SUNY Albany,Coastal,1-11,0.083,86,3.22,79,15.05,83,34.01,76,8.59,2.88,43,25.65
Bryant,Northeast,5-7,0.417,87,3.20,85,12.50,89,32.16,82,7.89,2.87,93,14.30
Cornell,Ivy League,3-7,0.300,88,3.18,90,11.13,78,35.33,109,3.35,2.96,73,18.43
Jackson St,Southwestern AC,7-4,0.636,89,3.17,92,10.77,86,33.19,99,5.14,2.92,102,10.47
Marist,Pioneer,8-3,0.727,90,3.17,93,10.59,97,31.44,87,6.71,2.93,122,2.63
Hampton,Mid-Eastern AC,4-8,0.333,91,3.14,91,11.07,87,33.15,96,5.47,3.02,71,18.92
Delaware St,Mid-Eastern AC,5-6,0.455,92,3.13,97,9.61,111,28.76,79,8.41,2.89,67,20.09
Robert Morris,Northeast,5-6,0.455,93,3.13,88,11.46,105,30.05,71,8.97,2.92,95,12.89
Morgan St,Mid-Eastern AC,5-7,0.417,94,3.11,99,9.33,95,31.63,98,5.25,2.95,75,18.29
Howard,Mid-Eastern AC,6-6,0.500,95,3.07,94,10.29,92,31.84,93,6.01,2.94,101,10.53
Alcorn St,Southwestern AC,9-3,0.750,96,3.07,101,9.07,84,33.87,111,2.75,3.00,121,3.31
Southern Univ,Southwestern AC,9-4,0.692,97,3.03,104,8.59,88,32.68,108,3.46,2.95,112,7.70
Butler,Pioneer,9-4,0.692,98,3.03,106,8.31,90,32.05,105,3.81,3.00,113,6.23
Drake,Pioneer,6-5,0.545,99,3.00,89,11.26,110,29.14,64,9.67,3.05,114,5.99
Prairie View,Southwestern AC,6-6,0.500,100,2.98,96,10.13,48,38.84,116,-1.15,2.97,103,9.40
Dayton,Pioneer,7-4,0.636,101,2.98,102,8.82,98,31.38,100,5.00,2.92,118,5.58
NC Central,Mid-Eastern AC,5-7,0.417,102,2.92,108,7.97,109,29.39,92,6.14,2.79,81,16.51
Florida A&M,Mid-Eastern AC,3-9,0.250,103,2.85,95,10.22,113,28.33,67,9.45,2.82,76,17.71
Charlotte,FCS Indep,5-6,0.455,104,2.84,98,9.49,80,34.91,112,2.13,2.83,107,8.88
Norfolk St,Mid-Eastern AC,3-9,0.250,105,2.83,100,9.23,118,25.78,51,11.01,2.82,78,17.22
Central Conn,Northeast,4-8,0.333,106,2.81,109,7.42,82,34.11,114,0.87,2.77,98,12.41
Incarnate Word,FCS Indep,6-5,0.545,107,2.79,113,6.38,114,28.03,95,5.90,3.04,106,9.06
Austin Peay,OH Valley,0-12,0.000,108,2.74,103,8.74,107,29.63,88,6.66,2.79,3,34.69
Presbyterian,Big South,3-8,0.273,109,2.72,105,8.50,91,31.90,104,4.16,2.80,86,15.47
Wagner,Northeast,3-8,0.273,110,2.63,111,6.91,115,27.87,89,6.59,2.76,88,15.33
Jacksonville,Pioneer,5-6,0.455,111,2.62,107,8.24,56,37.37,117,-1.57,3.01,123,2.45
Georgetown,Patriot League,2-9,0.182,112,2.56,112,6.39,108,29.59,103,4.35,2.79,92,14.53
VMI,Big South,2-10,0.167,113,2.53,110,7.09,104,30.29,102,4.36,2.88,74,18.29
Mercer,Pioneer,10-2,0.833,114,2.28,116,-0.04,106,29.67,119,-2.16,3.13,127,-8.86
Alabama A&M,Southwestern AC,4-8,0.333,115,2.25,114,2.54,120,24.73,97,5.36,2.80,99,11.13
Ark Pine Bluff,Southwestern AC,2-9,0.182,116,1.98,115,2.04,96,31.52,118,-1.93,2.84,100,10.98
Columbia,Ivy League,0-10,0.000,117,1.88,117,-0.18,121,23.57,106,3.80,2.80,64,21.07
MS Valley St,Southwestern AC,2-9,0.182,118,1.74,118,-1.48,124,22.45,107,3.63,2.84,116,5.95
TX Southern,Southwestern AC,2-9,0.182,119,1.70,120,-3.57,123,22.52,113,1.46,2.76,105,9.09
Savannah St,Mid-Eastern AC,1-11,0.083,120,1.65,119,-3.00,116,27.32,120,-2.76,2.88,69,19.48
Grambling,Southwestern AC,1-10,0.091,121,1.26,121,-5.82,119,24.99,122,-3.25,2.92,109,8.26
Morehead St,Pioneer,3-9,0.250,122,1.18,123,-8.33,112,28.70,126,-9.47,2.70,117,5.73
Campbell,Pioneer,3-9,0.250,123,1.18,122,-6.83,117,26.83,123,-6.10,2.88,124,1.08
Houston Chr,FCS Indep,3-4,0.429,124,0.79,125,-12.23,125,22.22,125,-6.89,2.86,126,-5.15
Stetson,Pioneer,2-9,0.182,125,0.74,124,-10.77,126,19.64,121,-2.85,2.80,125,-1.78
Valparaiso,Pioneer,1-10,0.091,126,0.46,126,-14.45,122,23.46,127,-10.35,2.79,119,3.65
Davidson,Pioneer,0-11,0.000,127,0.27,127,-14.78,127,19.24,124,-6.46,2.83,120,3.42
