Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Ferris St,Great Lakes IAC,14-0,1.000,,1,7.43,1,49.47,1,56.69,4,20.26,2.01,1,28.32
NW Missouri,Mid America IAA,11-2,0.846,,2,6.90,2,47.03,4,47.88,1,26.62,2.24,2,27.94
Valdosta St,Gulf South,12-2,0.857,,3,6.57,4,39.16,2,52.13,16,14.51,2.14,3,26.49
Harding,Great American,11-2,0.846,+2,4,6.41,3,39.60,8,44.88,2,22.19,2.02,18,19.38
Grand Valley St,Great Lakes IAC,10-2,0.833,,5,6.30,6,36.23,6,45.94,8,17.76,2.17,10,22.05
West Florida,Gulf South,9-2,0.818,-2,6,6.28,5,37.01,3,52.12,26,12.37,1.99,4,26.22
Colorado Mines,Rocky Mtn AC,12-2,0.857,,7,6.24,7,35.35,9,44.75,6,18.08,2.14,26,17.84
Angelo St,Lone Star,11-3,0.786,+1,8,6.08,8,32.79,14,42.25,7,18.02,2.17,17,19.43
NE Kearney,Mid America IAA,10-3,0.769,-1,9,6.05,13,29.27,12,42.47,19,14.27,2.14,6,24.27
West Georgia,Gulf South,9-3,0.750,,10,6.03,9,32.34,10,44.64,13,15.17,2.04,13,21.75
Washburn,Mid America IAA,9-3,0.750,+1,11,6.01,12,29.30,15,41.74,15,15.03,2.09,5,24.38
Pittsburg St,Mid America IAA,8-3,0.727,-1,12,5.99,10,30.54,20,40.79,9,17.23,2.07,7,22.77
Ouachita,Great American,9-2,0.818,+4,13,5.78,16,27.48,18,40.96,20,14.00,2.09,37,14.99
C Washington,Great Northwest,8-3,0.727,-1,14,5.73,15,28.30,5,46.11,43,9.66,2.17,23,18.39
TX A&M Commerce,Lone Star,7-4,0.636,-1,15,5.70,14,28.92,40,36.66,5,19.74,2.17,28,17.55
Henderson St,Great American,9-2,0.818,+2,16,5.68,21,24.09,11,43.63,53,7.94,2.10,31,16.20
Shepherd,Penn St AC,13-2,0.867,+17,17,5.65,32,21.51,7,44.89,82,4.09,2.11,57,12.06
Midwest TX St,Lone Star,7-3,0.700,-3,18,5.63,20,24.13,29,38.41,22,13.19,2.20,20,18.94
Lindenwood,Great Lakes Val,9-3,0.750,+1,19,5.59,29,22.19,32,38.20,31,11.46,2.14,27,17.69
CO Mesa,Rocky Mtn AC,8-2,0.800,+4,20,5.58,26,22.81,47,35.84,17,14.44,2.10,53,12.34
