Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
WI Whitewater,Wisconsin IAC,15-0,1.000,1,6.63,1,26.83,1,39.06,1,14.77,2.45,2,4.12
Mt Union,Ohio AC,14-1,0.933,2,6.03,2,24.26,3,38.07,2,13.20,2.41,16,-0.89
Williams,NESCAC,8-0,1.000,3,5.72,6,15.53,7,33.76,7,8.78,2.66,21,-1.71
M Hardin-Baylor,American SW,12-1,0.923,4,5.67,3,18.82,2,38.25,9,7.58,2.67,9,-0.02
N Central IL,Ill & Wisc,12-1,0.923,5,5.66,4,17.25,8,33.42,4,10.84,2.55,25,-3.34
Wesley DE,Atlantic Central,12-1,0.923,6,5.52,8,13.37,9,32.17,8,8.21,2.60,37,-5.16
Bethel MN,Minnesota IAC,12-2,0.857,7,5.50,12,10.35,31,26.20,3,11.16,2.53,10,-0.10
St Thomas MN,Minnesota IAC,12-1,0.923,8,5.49,7,13.83,13,31.25,6,9.59,2.54,24,-3.00
Linfield,Northwest,9-2,0.818,9,5.40,5,16.29,4,36.38,11,6.92,2.66,19,-1.17
Trinity CT,NESCAC,7-1,0.875,10,5.33,10,11.56,21,28.61,5,9.97,2.68,22,-1.72
Hardin-Simmons,American SW,8-2,0.800,11,5.21,9,12.71,6,35.05,17,4.68,2.59,20,-1.36
Ohio Northern,Ohio AC,10-2,0.833,12,5.13,14,9.03,20,29.09,10,6.96,2.63,28,-3.93
Amherst,NESCAC,6-2,0.750,13,5.10,11,10.53,12,31.71,12,5.82,2.65,6,0.12
Wheaton IL,Ill & Wisc,10-2,0.833,14,5.00,17,6.97,22,28.32,13,5.66,2.53,38,-5.26
WI Stevens Pt,Wisconsin IAC,7-3,0.700,15,4.96,16,8.14,17,29.71,15,5.43,2.55,8,0.01
Willamette,Northwest,7-3,0.700,16,4.96,15,8.66,11,32.05,21,3.62,2.56,18,-1.01
St John's MN,Minnesota IAC,7-3,0.700,17,4.92,13,9.18,16,30.64,14,5.55,2.64,26,-3.53
Cal Lutheran,Southern Cal IAC,8-2,0.800,18,4.88,18,5.20,18,29.29,23,2.91,2.58,32,-4.39
Wartburg,American Rivers,10-1,0.909,19,4.74,28,0.87,36,25.39,24,2.49,2.54,65,-10.67
Central IA,American Rivers,8-2,0.800,20,4.70,19,3.86,19,29.20,26,1.67,2.59,61,-9.49
Trine,Michigan IAA,11-1,0.917,21,4.68,30,0.78,14,31.15,72,-3.36,2.50,80,-13.39
Delaware Val,Mid Atlantic,9-3,0.750,22,4.68,21,2.77,48,24.46,16,5.32,2.56,59,-9.44
Pac Lutheran,Northwest,8-1,0.889,23,4.68,37,-2.33,37,25.39,43,-0.71,2.64,45,-7.24
Redlands,Southern Cal IAC,8-1,0.889,24,4.67,27,0.91,49,24.10,20,3.82,2.60,75,-12.34
St John Fisher,Empire 8,9-2,0.818,25,4.56,20,2.93,10,32.13,58,-2.19,2.56,74,-12.32
WI Stout,Wisconsin IAC,6-4,0.600,26,4.54,24,1.74,42,24.86,19,3.88,2.61,27,-3.77
