Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Georgia,Southeastern,14-1,0.933,,1,9.38,2,84.65,4,67.16,1,44.96,2.03,3,65.57
Alabama,Southeastern,13-2,0.867,,2,9.24,1,84.69,2,71.81,4,40.36,2.06,1,67.86
Ohio St,Big 10,11-2,0.846,,3,9.06,3,82.34,1,75.59,20,34.22,2.19,2,67.71
Michigan,Big 10,12-2,0.857,,4,8.91,4,78.19,6,66.61,6,39.06,2.24,4,65.52
Oklahoma,Big 12,11-2,0.846,+1,5,8.81,5,76.06,3,70.25,27,33.28,2.19,5,65.18
Oklahoma St,Big 12,12-2,0.857,-1,6,8.77,7,73.77,12,63.17,10,38.07,2.09,6,64.94
Baylor,Big 12,12-2,0.857,+1,7,8.70,14,70.28,34,59.48,7,38.28,2.10,14,63.14
Cincinnati,American Athletic,13-1,0.929,-1,8,8.60,13,70.30,21,61.18,14,36.59,2.10,63,57.02
Notre Dame,FBS Indep,11-2,0.846,,9,8.59,8,73.32,8,64.51,15,36.29,2.09,25,61.51
Clemson,Atlantic Coast,10-3,0.769,+1,10,8.57,6,74.11,29,60.52,2,41.06,1.99,33,60.02
Michigan St,Big 10,11-2,0.846,-1,11,8.50,21,66.91,27,60.73,25,33.66,2.12,15,62.97
Wisconsin,Big 10,9-4,0.692,,12,8.41,10,72.19,41,59.04,3,40.63,2.12,23,61.70
Utah,Pac 12,10-4,0.714,+2,13,8.34,11,71.61,10,64.36,17,34.72,2.17,26,61.42
Iowa,Big 10,10-4,0.714,+6,14,8.31,18,68.31,55,57.56,9,38.22,2.15,16,62.90
Mississippi,Southeastern,10-3,0.769,-2,15,8.26,24,65.76,17,61.93,40,31.30,2.17,21,61.99
Purdue,Big 10,9-4,0.692,-2,16,8.25,23,65.87,19,61.46,31,31.88,2.12,11,63.46
Kentucky,Southeastern,10-3,0.769,+4,17,8.24,25,65.66,45,58.87,19,34.27,2.12,47,58.50
Minnesota,Big 10,9-4,0.692,+1,18,8.24,17,68.64,47,58.65,11,37.46,2.04,35,59.78
Iowa St,Big 12,7-6,0.538,-3,19,8.24,9,72.24,13,62.93,12,36.78,2.16,7,64.67
Pittsburgh,Atlantic Coast,11-3,0.786,+2,20,8.23,22,66.84,14,62.61,32,31.71,2.10,55,57.86
Texas A&M,Southeastern,8-4,0.667,-3,21,8.19,15,69.74,42,58.95,8,38.26,2.13,46,58.69
Kansas St,Big 12,8-5,0.615,+7,22,8.19,20,67.29,51,58.15,13,36.61,2.15,17,62.75
Arkansas,Southeastern,9-4,0.692,-6,23,8.18,34,63.85,31,59.87,37,31.46,2.14,18,62.55
Penn St,Big 10,7-6,0.538,-1,24,8.14,12,70.67,43,58.92,5,39.23,2.18,19,62.41
Wake Forest,Atlantic Coast,11-3,0.786,,25,8.12,32,64.27,5,66.72,89,25.03,2.09,50,58.40
NC State,Atlantic Coast,9-3,0.750,,26,8.10,31,64.51,39,59.12,28,32.86,2.23,60,57.57
Louisiana,Sun Belt,13-1,0.929,+8,27,8.10,52,59.55,69,55.09,30,31.93,2.10,97,49.70
BYU,FBS Indep,10-3,0.769,+5,28,8.10,29,64.71,25,61.03,41,31.15,2.10,52,57.96
Oregon,Pac 12,10-4,0.714,-2,29,8.09,33,64.06,24,61.06,45,30.48,2.24,29,60.74
Houston,American Athletic,12-2,0.857,+4,30,8.05,44,61.30,35,59.36,54,29.41,2.23,79,52.84
