Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
M Hardin-Baylor,American SW,15-0,1.000,,1,6.22,1,29.63,1,43.08,1,14.02,2.01,2,2.90
N Central IL,Ill & Wisc,13-1,0.929,,2,5.58,2,22.43,2,42.64,8,7.26,2.07,4,1.44
Mt Union,Ohio AC,13-1,0.929,+1,3,5.49,3,21.98,3,40.44,5,9.01,2.06,10,-0.64
WI Whitewater,Wisconsin IAC,13-1,0.929,+1,4,5.46,4,20.33,8,34.74,2,13.06,2.08,8,-0.09
Williams,NESCAC,9-0,1.000,-2,5,5.28,7,15.69,14,33.17,3,9.99,2.18,19,-4.49
Linfield,Northwest,11-1,0.917,+5,6,5.08,9,14.51,6,38.83,18,3.15,2.18,18,-3.95
Hardin-Simmons,American SW,9-1,0.900,+3,7,5.05,6,15.92,7,34.84,6,8.55,2.09,24,-6.99
Johns Hopkins,Centennial,10-2,0.833,-1,8,5.03,5,17.29,4,39.61,13,5.15,2.11,14,-2.04
Trinity CT,NESCAC,8-1,0.889,-3,9,5.00,8,14.94,15,33.03,4,9.38,2.18,17,-3.73
Muhlenberg,Centennial,11-2,0.846,-1,10,4.86,11,11.95,16,31.34,7,8.08,2.10,23,-6.86
WI LaCrosse,Wisconsin IAC,9-3,0.750,-3,11,4.84,13,11.24,12,33.67,15,5.04,2.09,1,3.03
St John's MN,Minnesota IAC,11-1,0.917,+3,12,4.81,12,11.71,13,33.32,11,5.86,2.02,34,-10.27
Central IA,American Rivers,12-1,0.923,+1,13,4.78,14,8.39,5,39.41,57,-3.55,2.14,25,-6.99
Wheaton IL,Ill & Wisc,10-2,0.833,-2,14,4.67,10,12.23,9,34.67,16,5.04,2.12,33,-10.20
Trinity TX,SAA,9-1,0.900,+6,15,4.52,17,5.31,28,27.69,14,5.09,2.04,41,-11.66
WI Oshkosh,Wisconsin IAC,6-3,0.667,+1,16,4.48,15,6.06,17,31.08,21,2.46,2.29,3,1.61
WI River Falls,Wisconsin IAC,9-2,0.818,+2,17,4.40,19,3.10,10,34.58,63,-4.01,2.14,20,-5.12
Susquehanna,Centennial,9-2,0.818,,18,4.38,16,5.48,11,34.31,40,-1.36,2.12,30,-9.18
Delaware Val,Mid Atlantic,11-1,0.917,+7,19,4.36,18,4.63,32,25.70,9,6.41,1.94,122,-22.35
Wesleyan CT,NESCAC,6-3,0.667,-7,20,4.29,20,2.85,37,24.70,12,5.62,2.18,16,-2.98
Randolph-Macon,Old Dominion AC,9-1,0.900,+4,21,4.19,22,1.35,22,29.00,32,-0.18,2.11,71,-17.60
Bethel MN,Minnesota IAC,8-3,0.727,+1,22,4.18,21,2.41,24,28.32,24,1.56,2.20,32,-9.55
Birmingham So,SAA,10-2,0.833,+6,23,4.16,31,-1.46,39,24.24,23,1.77,2.04,48,-13.34
Baldwin-Wallace,Ohio AC,8-2,0.800,+4,24,4.13,30,-1.37,41,23.71,22,2.40,2.21,40,-11.65
Amherst,NESCAC,5-4,0.556,-9,25,4.11,24,0.23,55,21.42,10,6.28,2.19,13,-1.93
Heidelberg,Ohio AC,7-2,0.778,+4,26,4.07,33,-2.76,23,28.74,64,-4.02,2.11,28,-9.11
Cortland St,Empire 8,11-1,0.917,+14,27,4.06,27,-0.26,25,28.30,38,-1.08,2.11,106,-20.91
John Carroll,Ohio AC,7-3,0.700,+4,28,4.05,26,-0.14,40,24.06,17,3.27,2.13,37,-10.90
Salisbury,New Jersey A.C.,8-2,0.800,+7,29,4.02,29,-0.86,29,27.33,36,-0.72,2.08,56,-15.06
Ithaca,Liberty League,8-2,0.800,+12,30,3.95,32,-1.68,44,23.18,20,2.62,2.13,73,-17.80
Tufts,NESCAC,4-5,0.444,-11,31,3.91,25,0.03,18,30.57,55,-3.07,2.14,12,-1.04
Rensselaer,Liberty League,11-2,0.846,+17,32,3.90,60,-10.63,112,15.78,26,1.07,2.17,58,-15.21
Redlands,Southern Cal IAC,8-2,0.800,+12,33,3.87,36,-5.02,35,25.08,47,-2.63,2.16,54,-14.20
Wartburg,American Rivers,7-3,0.700,+5,34,3.84,23,0.27,27,27.70,30,0.05,2.15,64,-16.13
Belhaven MS,American SW,7-3,0.700,+2,35,3.84,37,-5.43,46,22.97,37,-0.92,2.11,36,-10.86
WI Platteville,Wisconsin IAC,4-6,0.400,-3,36,3.81,28,-0.35,19,30.11,53,-2.99,2.17,15,-2.61
Colby,NESCAC,4-5,0.444,-15,37,3.79,44,-8.12,102,16.35,19,3.01,2.17,7,0.40
Gust Adolphus,Minnesota IAC,8-2,0.800,,38,3.79,40,-6.85,31,25.87,71,-5.25,2.16,57,-15.10
WI Stout,Wisconsin IAC,5-5,0.500,-5,39,3.74,34,-3.28,21,29.05,68,-4.86,2.15,22,-5.96
Hobart & Smith,Liberty League,9-2,0.818,+12,40,3.72,39,-6.85,63,20.42,29,0.21,2.21,117,-22.03
Centre,SAA,8-2,0.800,+5,41,3.71,43,-7.98,34,25.26,74,-5.76,2.11,69,-17.11
Middlebury,NESCAC,3-6,0.333,-18,42,3.68,35,-4.29,52,22.01,25,1.17,2.14,11,-0.83
Howard Payne,American SW,7-3,0.700,,43,3.68,47,-8.78,26,27.74,104,-9.04,2.09,35,-10.44
Union NY,Liberty League,8-2,0.800,+15,44,3.66,42,-7.81,53,21.75,43,-2.08,2.15,97,-20.47
Washington & Lee,Old Dominion AC,8-3,0.727,+6,45,3.57,58,-10.58,73,19.52,46,-2.63,2.20,67,-16.37
Merchant Marine,NE W&M,9-1,0.900,+25,46,3.57,56,-10.33,20,29.48,134,-12.34,2.09,130,-23.44
Washington StL,Ill & Wisc,7-4,0.636,-7,47,3.55,45,-8.13,50,22.20,51,-2.86,2.13,55,-14.81
