Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
MN Mankato,Northern Sun,14-1,0.933,1,5.54,1,36.83,5,44.09,1,20.44,2.89,24,13.87
Pittsburg St,Mid America IAA,11-2,0.846,2,5.36,3,34.75,3,44.95,4,17.50,2.52,3,18.49
NW Missouri,Mid America IAA,10-2,0.833,3,5.27,2,36.15,4,44.18,2,19.66,2.58,11,16.71
CSU-Pueblo,Rocky Mtn AC,14-1,0.933,4,5.10,4,29.81,25,38.42,3,19.08,2.75,30,12.53
Ferris St,Great Lakes IAC,11-1,0.917,5,4.87,5,28.67,2,46.75,23,9.62,2.55,32,12.47
MN Duluth,Northern Sun,13-1,0.929,6,4.82,8,26.67,7,43.47,16,10.90,2.64,42,11.12
OH Dominican,Great Lakes IAC,11-2,0.846,7,4.79,6,28.18,12,42.20,7,13.68,2.59,18,14.88
Sioux Falls,Northern Sun,11-1,0.917,8,4.75,7,27.17,13,42.17,9,12.70,2.68,41,11.48
TX A&M Commerce,Lone Star,9-3,0.750,9,4.38,9,25.54,1,47.11,48,6.13,2.81,47,10.77
North Alabama,Gulf South,9-2,0.818,10,4.33,12,24.40,16,40.52,12,11.58,2.60,59,8.82
Harding,Great American,9-2,0.818,11,4.30,10,25.02,8,42.76,21,9.96,2.71,90,3.87
Ashland,Great Lakes IAC,8-2,0.800,12,4.30,14,23.56,21,38.84,10,12.42,2.73,36,12.00
West Georgia,Gulf South,12-3,0.800,13,4.28,17,22.39,41,36.16,6,13.93,2.62,50,10.26
C Missouri,Mid America IAA,8-4,0.667,14,4.28,11,24.84,9,42.55,20,9.98,2.56,15,15.54
Valdosta St,Gulf South,10-3,0.769,15,4.26,15,22.65,22,38.80,13,11.54,2.52,27,13.10
Delta St,Gulf South,9-2,0.818,16,4.25,16,22.59,10,42.43,34,7.86,2.53,75,5.28
MO Western,Mid America IAA,7-4,0.636,17,4.24,13,24.13,50,35.38,5,16.46,2.59,10,17.12
Angelo St,Lone Star,9-3,0.750,18,4.11,26,18.79,11,42.21,66,4.28,2.66,14,15.84
Lenoir-Rhyne,South Atlantic,11-1,0.917,19,4.11,21,21.50,35,36.81,11,12.39,2.54,80,4.61
Michigan Tech,Great Lakes IAC,9-2,0.818,20,4.10,23,20.47,36,36.73,14,11.43,2.66,31,12.52
Midwest TX St,Lone Star,6-4,0.600,21,3.98,19,22.08,14,41.50,29,8.28,2.57,34,12.28
Tarleton St,Lone Star,5-5,0.500,22,3.95,20,22.07,6,43.74,49,6.02,2.63,16,15.50
Grand Valley St,Great Lakes IAC,6-5,0.545,23,3.86,22,21.02,31,37.30,15,11.42,2.62,13,15.90
C Oklahoma,Mid America IAA,8-4,0.667,24,3.86,31,16.66,40,36.40,31,7.96,2.55,5,18.16
Augustana SD,Northern Sun,6-5,0.545,25,3.85,18,22.32,38,36.48,8,13.54,2.70,28,12.86
Ouachita,Great American,10-1,0.909,26,3.85,32,16.61,27,38.04,47,6.27,2.58,93,3.53
W Texas A&M,Lone Star,6-5,0.545,27,3.82,24,20.38,15,40.94,40,7.14,2.66,44,10.97
Fort Hays St,Mid America IAA,7-4,0.636,28,3.79,30,16.98,57,33.89,17,10.79,2.48,7,17.80
Henderson St,Great American,9-2,0.818,29,3.76,25,20.01,17,40.21,38,7.50,2.63,108,1.61
Concord,Mountain East,13-1,0.929,30,3.73,36,15.64,26,38.30,58,5.04,2.76,106,1.76
West Chester,Penn St AC,11-2,0.846,31,3.68,27,17.80,24,38.67,45,6.83,2.86,110,1.47
Bloomsburg,Penn St AC,11-2,0.846,32,3.58,35,16.12,56,34.15,22,9.67,2.74,99,2.40
E New Mexico,Lone Star,7-4,0.636,33,3.57,33,16.48,20,38.97,57,5.20,2.70,52,10.15
Colorado Mines,Rocky Mtn AC,10-2,0.833,34,3.51,39,14.86,37,36.68,51,5.88,2.63,88,3.88
Wayne St MI,Great Lakes IAC,7-4,0.636,35,3.50,28,17.76,51,35.37,19,10.09,2.59,57,9.42
MO Southern,Mid America IAA,4-7,0.364,36,3.41,34,16.42,33,37.25,44,6.87,2.59,9,17.34
