Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,12-2,0.857,1,6.53,1,42.37,4,48.40,2,22.06,2.30,2,26.91
Ferris St,Great Lakes IAC,12-1,0.923,2,6.52,2,40.62,7,46.42,1,22.29,2.09,11,22.24
MN Mankato,Northern Sun,14-1,0.933,3,6.41,3,39.17,2,50.82,7,16.44,2.12,13,19.02
C Missouri,Mid America IAA,11-2,0.846,4,6.22,7,33.77,1,50.82,30,11.04,2.34,1,27.43
West Florida,Gulf South,13-2,0.867,5,6.19,11,30.99,12,44.52,12,14.55,2.15,12,22.13
Tarleton St,Lone Star,11-1,0.917,6,6.10,6,34.68,5,47.35,11,15.41,2.22,17,18.37
Fort Hays St,Mid America IAA,8-3,0.727,7,6.07,4,35.97,10,45.95,6,18.11,2.20,3,25.19
Valdosta St,Gulf South,10-1,0.909,8,6.06,5,34.82,3,48.45,14,14.46,2.21,16,18.77
TX A&M Commerce,Lone Star,10-3,0.769,9,6.06,8,33.22,16,42.59,4,18.72,2.24,8,23.36
MO Western,Mid America IAA,9-3,0.750,10,5.94,9,31.56,8,46.28,20,13.36,2.24,5,24.41
Colorado Mines,Rocky Mtn AC,12-1,0.923,11,5.79,16,27.37,15,42.82,22,12.64,2.22,41,12.80
CSU-Pueblo,Rocky Mtn AC,11-2,0.846,12,5.73,15,28.16,37,37.44,3,18.80,2.26,42,12.66
Harding,Great American,10-2,0.833,13,5.71,12,29.91,26,39.66,5,18.34,2.16,49,11.63
Pittsburg St,Mid America IAA,6-5,0.545,14,5.66,10,31.55,9,46.06,18,13.58,2.17,4,24.84
Indianapolis,Great Lakes Val,9-2,0.818,15,5.63,13,29.14,13,43.77,19,13.46,2.22,37,13.45
Slippery Rock,Penn St AC,13-1,0.929,16,5.61,27,22.26,6,46.62,85,3.72,2.21,39,12.92
Lenoir-Rhyne,South Atlantic,13-1,0.929,17,5.60,22,24.73,18,42.43,36,10.38,2.22,73,8.43
Grand Valley St,Great Lakes IAC,8-3,0.727,18,5.54,14,28.98,22,40.67,8,16.40,2.24,33,14.42
NE Kearney,Mid America IAA,7-5,0.583,19,5.51,20,25.76,17,42.53,28,11.32,2.22,10,23.17
Washburn,Mid America IAA,6-5,0.545,20,5.49,17,27.03,11,44.87,38,10.25,2.19,6,24.05
Ouachita,Great American,11-1,0.917,21,5.48,24,23.05,42,37.02,15,14.12,2.18,74,8.39
Angelo St,Lone Star,8-3,0.727,22,5.43,21,25.06,38,37.42,10,15.74,2.29,34,14.25
C Oklahoma,Mid America IAA,5-6,0.455,23,5.38,18,26.24,19,42.42,26,11.91,2.23,7,23.88
Ashland,Great Lakes IAC,7-4,0.636,24,5.34,25,22.94,34,37.87,21,13.16,2.32,18,18.32
Wayne St MI,Great Lakes IAC,8-3,0.727,25,5.32,36,19.63,35,37.76,40,9.95,2.24,21,17.69
Truman St,Great Lakes Val,10-2,0.833,26,5.31,39,18.71,49,36.05,32,10.74,2.12,58,10.03
Sioux Falls,Northern Sun,8-4,0.667,27,5.29,19,26.02,24,40.06,16,14.05,2.13,43,12.34
Augustana SD,Northern Sun,9-3,0.750,28,5.25,35,19.64,62,33.93,17,13.80,2.24,45,12.26
Emporia St,Mid America IAA,4-7,0.364,29,5.21,23,23.88,48,36.08,9,15.89,2.31,9,23.31
Lindenwood,Great Lakes Val,9-4,0.692,30,5.19,43,17.49,25,39.85,67,5.73,2.29,29,16.33
Tiffin,Great Midwest,9-2,0.818,31,5.19,34,19.70,20,41.13,58,6.67,2.28,60,9.56
W Texas A&M,Lone Star,8-3,0.727,32,5.17,46,17.06,46,36.22,48,8.93,2.28,30,14.94
Kutztown,Penn St AC,11-2,0.846,33,5.17,47,17.03,52,35.26,42,9.86,2.25,86,7.47
MN Duluth,Northern Sun,8-3,0.727,34,5.17,26,22.57,32,38.17,24,12.48,2.19,79,8.16
E New Mexico,Lone Star,8-4,0.667,35,5.17,45,17.20,41,37.13,54,8.16,2.24,27,16.70
Indiana PA,Penn St AC,10-2,0.833,36,5.16,30,21.74,23,40.11,43,9.72,2.12,104,5.04
