Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Mt Union,Ohio AC,15-0,1.000,1,4.21,1,24.37,1,40.18,2,9.47,2.95,32,-7.85
WI Whitewater,Wisconsin IAC,13-2,0.867,2,3.51,2,20.22,2,35.40,1,10.09,2.84,2,1.23
Trinity CT,NESCAC,8-0,1.000,3,2.82,4,8.97,9,28.52,4,5.72,2.89,11,-0.31
M Hardin-Baylor,American SW,12-2,0.857,4,2.66,3,12.43,3,33.35,8,4.36,3.07,39,-9.82
Williams,NESCAC,6-2,0.750,5,2.22,5,6.79,12,27.43,7,4.64,2.97,15,-0.64
Willamette,Northwest,11-1,0.917,6,2.11,8,4.01,5,30.77,38,-1.49,3.04,48,-11.65
Hardin-Simmons,American SW,9-2,0.818,7,2.04,9,3.88,4,32.06,50,-2.90,2.94,34,-8.32
Middlebury,NESCAC,5-3,0.625,8,2.02,6,5.91,6,30.77,26,0.42,3.00,9,-0.12
Amherst,NESCAC,5-3,0.625,9,1.91,10,3.74,23,23.86,6,5.16,2.99,4,0.83
WI Eau Claire,Wisconsin IAC,6-4,0.600,10,1.84,11,3.54,37,22.25,3,6.57,2.88,10,-0.16
Wheaton IL,Ill & Wisc,11-3,0.786,11,1.75,12,3.53,7,29.40,31,-0.59,2.82,42,-10.46
WI Stevens Pt,Wisconsin IAC,9-2,0.818,12,1.74,20,-0.86,33,22.91,19,1.51,2.81,18,-4.47
Otterbein,Ohio AC,9-2,0.818,13,1.68,15,1.10,8,28.87,47,-2.50,2.90,40,-10.09
Wesley DE,Atlantic Central,9-2,0.818,14,1.68,14,1.43,14,26.14,25,0.57,2.98,58,-13.64
Tufts,NESCAC,4-4,0.500,15,1.65,13,2.04,22,23.96,12,3.35,2.93,6,0.17
St John's MN,Minnesota IAC,8-3,0.727,16,1.59,16,0.81,51,20.80,5,5.29,2.92,19,-4.73
WI LaCrosse,Wisconsin IAC,3-7,0.300,17,1.57,7,4.29,15,25.94,11,3.63,2.95,1,4.37
Wartburg,American Rivers,10-3,0.769,18,1.54,18,0.08,28,23.37,17,1.98,2.91,30,-7.62
Linfield,Northwest,6-3,0.667,19,1.51,17,0.43,26,23.64,16,2.07,2.83,35,-8.84
Bowdoin,NESCAC,4-4,0.500,20,1.36,21,-1.83,24,23.80,29,-0.36,2.92,14,-0.62
WI Stout,Wisconsin IAC,5-5,0.500,21,1.36,19,-0.02,44,21.46,10,3.79,2.85,16,-1.96
N Central IL,Ill & Wisc,11-1,0.917,22,1.29,32,-3.99,16,25.88,65,-4.59,2.84,89,-16.16
Salisbury,Atlantic Central,9-2,0.818,23,1.21,25,-2.43,11,27.69,69,-4.85,2.94,92,-16.33
Concordia Mhd,Minnesota IAC,6-4,0.600,24,1.20,24,-2.20,27,23.45,30,-0.37,2.87,20,-5.60
Cortland St,New Jersey A.C.,11-2,0.846,25,1.20,30,-3.53,29,23.22,37,-1.48,2.91,61,-13.77
Millsaps,Southern CAC,11-1,0.917,26,1.15,27,-2.98,13,26.46,60,-4.16,2.93,125,-20.86
Franklin,Heartland CAC,11-2,0.846,27,1.14,40,-5.64,10,28.52,108,-8.89,2.91,91,-16.28
Augustana IL,Ill & Wisc,7-3,0.700,28,1.11,26,-2.65,47,21.35,22,1.28,2.95,69,-14.46
WI Platteville,Wisconsin IAC,4-6,0.400,29,1.08,31,-3.73,55,20.05,21,1.49,2.81,13,-0.35
St Thomas MN,Minnesota IAC,7-3,0.700,30,1.08,35,-5.04,39,21.95,40,-1.71,2.84,47,-11.48
St Olaf,Minnesota IAC,6-4,0.600,31,1.06,29,-3.46,30,23.21,36,-1.39,2.85,27,-7.36
Bethel MN,Minnesota IAC,5-5,0.500,32,1.05,23,-2.17,69,18.81,9,4.30,2.88,33,-8.06
Capital,Ohio AC,5-5,0.500,33,1.01,22,-2.16,36,22.54,24,0.57,2.93,29,-7.59
WI Oshkosh,Wisconsin IAC,4-5,0.444,34,1.01,47,-6.86,83,17.49,23,0.93,2.65,5,0.67
Hamilton,NESCAC,2-6,0.250,35,0.97,28,-3.31,65,19.26,13,2.71,2.96,7,0.13
Gust Adolphus,Minnesota IAC,6-4,0.600,36,0.92,46,-6.74,40,21.93,54,-3.39,2.82,23,-6.31
Colby,NESCAC,3-5,0.375,37,0.90,44,-6.40,98,16.23,14,2.65,2.93,12,-0.32
Ohio Northern,Ohio AC,5-5,0.500,38,0.89,33,-4.73,75,18.26,15,2.28,2.82,22,-6.25
Rowan,New Jersey A.C.,8-2,0.800,39,0.87,39,-5.36,41,21.92,45,-2.01,2.92,95,-17.31
Muhlenberg,Centennial,9-2,0.818,40,0.86,41,-5.65,50,20.84,33,-1.22,2.94,96,-17.49
Carleton MN,Minnesota IAC,7-3,0.700,41,0.83,58,-8.77,42,21.83,77,-5.33,2.82,43,-11.02
Baldwin-Wallace,Ohio AC,5-5,0.500,42,0.83,37,-5.16,45,21.37,34,-1.26,2.83,24,-6.35
Monmouth IL,Midwest,11-1,0.917,43,0.81,50,-7.42,19,24.88,95,-7.02,3.05,188,-29.62
