Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
MN Duluth,Northern Sun,15-0,1.000,1,7.10,2,33.46,8,41.45,1,19.01,2.50,24,14.36
NW Missouri,Mid America IAA,12-2,0.857,2,6.87,1,35.48,3,44.64,2,17.85,2.66,2,23.10
C Missouri,Mid America IAA,11-3,0.786,3,6.55,3,30.25,1,47.16,21,10.10,2.65,1,23.62
Grand Valley St,Great Lakes IAC,11-2,0.846,4,6.31,4,29.73,7,41.61,5,15.13,2.53,27,14.28
Abilene Chr,Lone Star,11-1,0.917,5,6.27,8,25.77,4,43.39,26,9.39,2.53,23,14.38
Washburn,Mid America IAA,8-4,0.667,6,6.22,6,29.02,2,44.71,16,11.32,2.65,3,21.34
Delta St,Gulf South,11-4,0.733,7,6.21,9,25.43,11,40.41,14,12.03,2.61,6,17.98
Augustana SD,Northern Sun,11-2,0.846,8,6.20,11,23.93,35,35.03,4,15.92,2.60,34,12.61
North Alabama,Gulf South,9-4,0.692,9,6.17,5,29.63,12,40.27,3,16.37,2.61,13,16.20
MO Western,Mid America IAA,8-4,0.667,10,6.09,7,25.78,13,40.23,9,12.56,2.64,5,19.12
St Cloud,Northern Sun,10-3,0.769,11,6.07,14,23.57,17,38.51,13,12.07,2.64,21,14.60
Michigan Tech,Great Lakes IAC,8-2,0.800,12,5.98,18,20.99,32,35.45,10,12.55,2.65,28,14.27
C Washington,Great Northwest,8-3,0.727,13,5.94,13,23.70,30,35.62,7,15.08,2.64,37,12.05
Valdosta St,Gulf South,8-3,0.727,14,5.91,17,21.25,45,33.44,8,14.82,2.63,14,15.96
Hillsdale,Great Lakes IAC,9-3,0.750,15,5.87,19,20.71,19,37.61,20,10.11,2.67,26,14.28
Ashland,Great Lakes IAC,8-3,0.727,16,5.86,12,23.70,14,39.60,17,11.10,2.63,38,12.01
TX A&M K'ville,Lone Star,10-2,0.833,17,5.86,25,18.07,41,34.08,18,11.00,2.63,40,11.86
Henderson St,Gulf South,7-4,0.636,18,5.84,15,22.50,10,40.44,29,9.07,2.69,10,16.84
