Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
James Madison,Atlantic 10,13-2,0.867,1,6.24,5,38.15,18,41.73,1,21.32,3.32,6,30.44
Montana,Big Sky,12-3,0.800,2,6.00,1,40.32,4,47.46,9,17.77,3.60,16,27.79
Harvard,Ivy League,10-0,1.000,3,6.00,9,36.29,12,43.16,7,18.02,3.45,51,21.68
New Hampshire,Atlantic 10,10-3,0.769,4,5.95,10,35.32,7,45.22,20,15.00,3.26,1,34.25
Ga Southern,Southern,9-3,0.750,5,5.94,2,40.19,1,49.00,16,16.09,3.50,41,23.01
Delaware,Atlantic 10,9-4,0.692,6,5.88,8,37.60,14,43.11,3,19.39,3.20,4,31.96
S Illinois,Gateway,10-2,0.833,7,5.84,6,38.10,5,45.58,11,17.43,3.43,60,19.38
William & Mary,Atlantic 10,11-3,0.786,8,5.82,11,35.32,3,48.31,42,11.91,3.25,11,29.81
Furman,Southern,10-3,0.769,9,5.79,4,38.39,13,43.12,2,20.17,3.45,40,23.04
E Washington,Big Sky,9-4,0.692,10,5.78,7,38.06,2,48.52,23,14.44,3.37,12,28.61
Villanova,Atlantic 10,6-5,0.545,11,5.66,3,39.08,8,45.14,4,18.84,3.31,9,30.04
Cal Poly,Great West,9-2,0.818,12,5.56,15,34.19,20,41.10,8,17.99,3.34,27,24.62
Massachusetts,Atlantic 10,6-5,0.545,13,5.42,16,33.88,19,41.65,13,17.13,3.22,5,31.63
Maine,Atlantic 10,5-6,0.455,14,5.41,13,34.58,10,44.22,18,15.26,3.28,2,33.66
Sam Houston St,Southland,11-3,0.786,15,5.40,18,32.58,9,44.29,35,13.19,3.59,35,23.55
Northeastern,Atlantic 10,5-6,0.455,16,5.38,14,34.48,11,44.15,19,15.23,3.33,15,28.12
Northern Iowa,Gateway,7-4,0.636,17,5.34,12,35.09,16,42.32,10,17.66,3.33,29,24.33
Hofstra,Atlantic 10,5-6,0.455,18,5.24,17,33.09,6,45.25,38,12.74,3.38,17,27.74
Portland St,Big Sky,7-4,0.636,19,5.23,19,32.17,21,40.55,15,16.52,3.35,23,26.19
WKU,Gateway,9-3,0.750,20,5.21,21,29.98,26,39.23,17,15.65,3.39,38,23.21
FL Atlantic,FCS Indep,9-3,0.750,21,5.18,26,28.38,46,36.03,12,17.25,3.21,26,25.47
Penn,Ivy League,8-2,0.800,22,5.13,22,29.64,43,36.39,5,18.15,3.26,44,22.53
N Dakota St,Great West,8-3,0.727,23,5.09,20,31.59,29,38.41,6,18.08,3.37,65,18.17
Montana St,Big Sky,6-5,0.545,24,4.93,24,28.87,25,39.24,21,14.52,3.23,18,27.45
Lehigh,Patriot League,9-3,0.750,25,4.93,23,29.05,34,37.11,14,16.85,3.32,66,17.36
UC Davis,Great West,6-4,0.600,26,4.85,25,28.55,23,40.10,33,13.35,3.33,32,23.80
Lafayette,Patriot League,8-4,0.667,27,4.74,29,26.02,39,36.79,24,14.12,3.36,55,20.15
Wofford,Southern,8-3,0.727,28,4.73,28,26.77,32,38.16,32,13.51,3.44,67,16.54
Appalachian St,Southern,6-5,0.545,29,4.72,27,27.38,15,42.51,52,9.77,3.53,25,25.94
Northwestern LA,Southland,8-4,0.667,30,4.72,33,25.45,22,40.11,51,10.24,3.56,58,19.44
Jacksonville St,OH Valley,9-2,0.818,31,4.61,32,25.45,27,39.14,48,11.22,3.44,73,14.96
SF Austin,Southland,6-5,0.545,32,4.56,30,25.98,35,37.03,26,13.85,3.23,46,22.50
Colgate,Patriot League,7-4,0.636,33,4.54,34,24.78,48,35.88,28,13.81,3.34,52,20.61
Richmond,Atlantic 10,3-8,0.273,34,4.53,31,25.57,47,35.94,22,14.52,3.31,3,32.81
S Dakota St,Great West,6-5,0.545,35,4.48,38,23.66,55,34.84,30,13.72,3.43,39,23.15
Southern Utah,Great West,6-5,0.545,36,4.46,37,23.84,45,36.17,41,12.58,3.36,43,22.60
Rhode Island,Atlantic 10,4-7,0.364,37,4.44,36,24.06,30,38.32,50,10.65,3.20,19,27.35
Northern Arizona,Big Sky,4-7,0.364,38,4.43,35,24.62,37,36.82,39,12.70,3.16,20,27.02
Texas St,Southland,5-6,0.455,39,4.38,41,23.34,38,36.81,46,11.42,3.35,28,24.34
Brown,Ivy League,6-4,0.600,40,4.36,42,22.63,57,34.56,36,12.97,3.33,54,20.60
Hampton,Mid-Eastern AC,10-2,0.833,41,4.31,39,23.42,17,41.75,68,6.57,3.43,84,7.61
Nicholls St,Southland,5-5,0.500,42,4.31,45,22.13,49,35.61,47,11.42,3.50,48,22.42
Idaho St,Big Sky,3-8,0.273,43,4.27,40,23.37,24,39.59,58,8.68,3.21,8,30.07
Princeton,Ivy League,5-5,0.500,44,4.25,44,22.52,61,33.76,31,13.66,3.34,49,22.19
Bucknell,Patriot League,7-4,0.636,45,4.24,48,21.65,52,35.05,45,11.50,3.43,59,19.41
Yale,Ivy League,5-5,0.500,46,4.19,49,21.44,63,33.73,40,12.61,3.31,45,22.52
