Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
S Dakota St,Missouri Valley,15-0,1.000,1,8.17,1,62.79,2,55.68,1,34.53,2.12,21,36.63
N Dakota St,Missouri Valley,11-4,0.733,2,7.33,2,55.85,1,57.47,5,25.79,2.16,2,40.99
Montana,Big Sky,13-2,0.867,3,7.31,4,49.96,8,50.04,3,27.34,2.30,20,37.59
Montana St,Big Sky,8-4,0.667,4,7.02,3,51.03,3,55.24,7,23.21,2.26,3,40.88
South Dakota,Missouri Valley,10-3,0.769,5,6.94,9,42.42,44,43.66,4,26.17,2.17,7,39.33
Villanova,Coastal,10-3,0.769,6,6.88,6,45.20,14,49.06,6,23.56,2.12,25,35.48
Idaho,Big Sky,9-4,0.692,7,6.77,7,44.01,11,49.61,14,21.82,2.23,13,38.14
S Illinois,Missouri Valley,8-5,0.615,8,6.76,5,45.69,33,45.38,2,27.73,2.19,14,38.10
SUNY Albany,Coastal,11-4,0.733,9,6.67,17,39.65,31,45.61,15,21.46,2.28,26,35.31
Northern Iowa,Missouri Valley,6-5,0.545,10,6.64,8,42.99,15,48.06,10,22.35,2.19,1,41.68
CS Sacramento,Big Sky,8-5,0.615,11,6.61,10,42.02,4,51.40,29,18.04,2.15,18,37.75
Furman,Southern,10-3,0.769,12,6.57,20,39.25,36,44.75,13,21.92,2.20,49,30.78
Youngstown St,Missouri Valley,8-5,0.615,13,6.57,13,41.27,5,50.55,28,18.14,2.23,15,38.04
UC Davis,Big Sky,7-4,0.636,14,6.54,15,40.49,35,45.26,9,22.65,2.18,23,36.40
North Dakota,Missouri Valley,7-5,0.583,15,6.53,12,41.38,9,50.03,26,18.77,2.33,12,38.41
Austin Peay,United AC,9-3,0.750,16,6.52,19,39.53,17,47.79,23,19.16,2.18,31,33.61
Weber St,Big Sky,6-5,0.545,17,6.46,11,41.57,26,46.32,8,22.67,2.13,22,36.51
Delaware,Coastal,9-4,0.692,18,6.40,21,38.40,21,46.61,21,19.21,2.18,43,31.76
Harvard,Ivy League,8-2,0.800,19,6.40,22,37.82,28,46.07,22,19.17,2.16,75,26.98
Cent Arkansas,United AC,7-4,0.636,20,6.39,24,37.35,38,44.55,18,20.22,2.13,29,34.75
Holy Cross,Patriot League,7-4,0.636,21,6.38,14,40.66,7,50.37,34,17.71,2.13,40,32.09
TN Martin,OH Valley,8-3,0.727,22,6.31,26,36.74,25,46.34,33,17.82,2.21,61,29.45
Illinois St,Missouri Valley,6-5,0.545,23,6.29,16,40.27,23,46.42,16,21.27,2.18,41,31.84
Missouri St,Missouri Valley,4-7,0.364,24,6.26,18,39.65,12,49.20,31,17.86,2.18,4,40.84
Chattanooga,Southern,8-5,0.615,25,6.24,29,35.77,43,43.69,20,19.50,2.16,46,31.39
Incarnate Word,Southland,8-2,0.800,26,6.24,28,35.95,16,47.82,46,15.55,2.21,87,23.81
Tarleton St,United AC,8-3,0.727,27,6.24,40,33.54,34,45.26,44,15.70,2.14,54,29.93
Mercer,Southern,9-4,0.692,28,6.22,39,33.58,51,41.93,24,19.07,2.17,59,29.61
Northern Arizona,Big Sky,5-6,0.455,29,6.21,32,35.07,30,45.72,37,16.77,2.27,5,39.95
Yale,Ivy League,7-3,0.700,30,6.19,23,37.56,29,45.94,25,19.04,2.19,82,25.77
Southern Utah,United AC,6-5,0.545,31,6.19,30,35.70,27,46.19,36,16.93,2.18,30,34.13
Richmond,Coastal,9-4,0.692,32,6.18,33,34.98,39,44.53,30,17.87,2.17,74,27.16
New Hampshire,Coastal,6-5,0.545,33,6.13,27,36.27,10,49.63,55,14.06,2.24,35,32.41
Elon,Coastal,6-5,0.545,34,6.13,35,34.41,52,41.89,19,19.93,2.24,34,32.75
