Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Mt Union,Ohio AC,14-1,0.933,1,4.49,1,27.89,1,47.67,7,7.91,2.94,32,-10.79
WI Whitewater,Wisconsin IAC,15-0,1.000,2,4.20,2,19.62,3,36.64,2,10.69,2.62,18,-4.79
Linfield,Northwest,11-2,0.846,3,3.50,3,17.40,4,36.63,5,8.47,2.69,24,-8.64
John Carroll,Ohio AC,11-2,0.846,4,3.23,5,13.17,7,34.82,10,6.05,2.85,37,-12.12
Amherst,NESCAC,8-0,1.000,5,3.22,10,8.27,33,24.84,1,11.13,2.61,7,0.42
Wesley DE,NCAA III Ind,12-2,0.857,6,3.18,6,13.02,5,36.41,14,4.31,2.90,44,-13.04
M Hardin-Baylor,American SW,11-1,0.917,7,3.17,4,13.34,2,36.93,15,4.10,2.47,47,-13.26
Wartburg,American Rivers,12-1,0.923,8,3.09,7,10.56,9,33.87,13,4.39,2.73,19,-6.56
Wesleyan CT,NESCAC,7-1,0.875,9,3.01,9,9.57,12,29.13,6,8.14,2.60,10,-0.41
Middlebury,NESCAC,6-2,0.750,10,2.82,8,10.00,13,29.08,4,8.62,2.62,9,-0.34
WI Oshkosh,Wisconsin IAC,6-4,0.600,11,2.67,11,8.16,14,28.63,8,7.23,2.61,1,4.27
Trinity CT,NESCAC,5-3,0.625,12,2.52,12,7.82,27,26.45,3,9.07,2.56,12,-0.59
WI Platteville,Wisconsin IAC,7-3,0.700,13,2.51,14,6.67,15,28.40,11,5.97,2.54,16,-1.74
St Thomas MN,Minnesota IAC,8-3,0.727,14,2.40,13,6.80,8,34.57,29,-0.07,2.55,21,-7.86
N Central IL,Ill & Wisc,8-2,0.800,15,2.30,15,5.50,6,34.95,34,-1.75,2.66,43,-13.03
St John's MN,Minnesota IAC,10-2,0.833,16,2.26,17,1.90,57,22.54,9,7.06,2.67,25,-9.00
Bethel MN,Minnesota IAC,7-3,0.700,17,2.13,16,2.56,11,29.68,28,0.58,2.67,23,-8.48
Concordia Mhd,Minnesota IAC,8-2,0.800,18,2.12,18,1.18,16,27.68,24,1.20,2.65,34,-11.08
WI Stevens Pt,Wisconsin IAC,7-3,0.700,19,2.10,20,0.29,29,25.84,19,2.14,2.62,17,-1.95
Wheaton IL,Ill & Wisc,11-1,0.917,20,1.94,22,-1.96,53,23.14,18,2.61,2.66,58,-14.94
St John Fisher,Empire 8,9-2,0.818,21,1.68,19,0.50,24,26.73,21,1.47,2.46,82,-18.48
Bates,NESCAC,4-4,0.500,22,1.68,26,-3.02,61,21.82,17,2.85,2.64,13,-0.60
Heidelberg,Ohio AC,8-2,0.800,23,1.66,25,-2.92,10,31.97,69,-7.19,2.72,65,-15.68
Central IA,American Rivers,8-2,0.800,24,1.63,24,-2.69,45,23.73,22,1.27,2.55,87,-19.00
Johns Hopkins,Centennial,11-1,0.917,25,1.63,27,-3.57,30,25.52,32,-1.40,2.64,94,-19.81
WI LaCrosse,Wisconsin IAC,3-7,0.300,26,1.55,23,-2.66,64,21.19,16,3.85,2.60,3,2.33
Williams,NESCAC,2-6,0.250,27,1.53,21,-1.74,65,21.04,12,4.92,2.56,4,0.92
Wabash,North Coast AC,10-2,0.833,28,1.50,28,-3.74,40,24.22,30,-0.26,2.70,128,-22.87
Pac Lutheran,Northwest,7-2,0.778,29,1.47,29,-4.00,26,26.49,37,-2.79,2.66,73,-16.31
Tufts,NESCAC,4-4,0.500,30,1.47,36,-6.32,52,23.15,35,-1.77,2.71,11,-0.46
Chapman,Southern Cal IAC,8-2,0.800,31,1.47,34,-6.23,17,27.67,58,-6.20,2.70,52,-14.45
