Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Pittsburg St,Mid America IAA,13-1,0.929,1,5.47,2,31.26,3,43.16,2,14.39,3.06,6,14.32
NW Missouri,Mid America IAA,11-3,0.786,2,5.39,1,34.48,1,48.74,4,12.04,3.08,2,15.80
Washburn,Mid America IAA,10-3,0.769,3,4.86,4,27.07,2,43.31,10,10.06,2.90,3,14.86
MO Western,Mid America IAA,9-3,0.750,4,4.67,5,25.01,9,39.09,3,12.21,3.03,15,12.52
Midwest TX St,Lone Star,10-1,0.909,5,4.65,6,24.29,5,42.27,20,8.31,3.06,33,8.88
Grand Valley St,Great Lakes IAC,8-3,0.727,6,4.48,3,27.73,4,42.89,6,11.13,3.02,25,10.15
C Missouri,Mid America IAA,8-4,0.667,7,4.47,7,23.94,7,40.19,11,10.05,2.83,7,14.28
Wayne St MI,Great Lakes IAC,12-4,0.750,8,4.39,9,22.17,10,38.84,13,9.62,2.92,9,13.83
W Texas A&M,Lone Star,8-3,0.727,9,4.34,8,23.92,8,39.50,8,10.71,2.98,26,9.91
MN Duluth,Northern Sun,11-3,0.786,10,4.21,11,20.48,18,35.68,7,11.10,2.88,30,9.29
Michigan Tech,Great Lakes IAC,7-4,0.636,11,4.17,10,22.12,29,33.70,1,14.71,2.97,4,14.85
Abilene Chr,Lone Star,8-3,0.727,12,4.14,12,20.23,6,41.51,40,5.01,2.94,21,11.18
Humboldt St,Great Northwest,9-1,0.900,13,4.13,15,18.21,14,36.17,19,8.34,3.02,45,7.31
Hillsdale,Great Lakes IAC,8-3,0.727,14,4.07,14,18.88,17,35.72,16,9.45,2.88,18,12.04
St Cloud,Northern Sun,9-3,0.750,15,4.03,13,20.12,13,36.91,15,9.50,2.99,43,7.59
Saginaw Val,Great Lakes IAC,7-4,0.636,16,4.02,16,18.07,12,37.43,30,6.93,2.91,1,16.50
CSU-Pueblo,Rocky Mtn AC,11-1,0.917,17,3.99,21,16.46,50,31.42,5,11.34,3.04,82,1.54
