Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
WI Whitewater,Wisconsin IAC,14-1,0.933,1,4.08,1,20.08,2,36.64,2,8.30,3.35,10,0.79
Trinity CT,NESCAC,8-0,1.000,2,3.93,4,18.17,6,31.12,1,11.91,3.32,18,-2.92
Mt Union,Ohio AC,14-1,0.933,3,3.81,3,19.16,3,35.92,3,8.10,3.10,27,-8.17
Linfield,Northwest,10-1,0.909,4,3.77,2,19.18,1,40.19,12,3.85,3.30,20,-4.44
St John's MN,Minnesota IAC,11-1,0.917,5,3.32,5,12.59,4,32.40,7,5.05,3.42,35,-9.92
WI LaCrosse,Wisconsin IAC,5-4,0.556,6,2.70,7,8.76,7,29.75,11,3.87,3.16,1,5.33
Amherst,NESCAC,5-3,0.625,7,2.69,6,9.05,13,26.15,4,7.75,3.17,12,-0.04
WI Eau Claire,Wisconsin IAC,6-4,0.600,8,2.63,9,6.59,19,24.75,5,6.70,3.26,2,3.43
Colby,NESCAC,7-1,0.875,9,2.60,14,4.25,24,23.94,6,5.17,3.15,17,-2.81
Williams,NESCAC,6-2,0.750,10,2.58,12,4.89,15,25.92,14,3.82,3.26,14,-0.48
Capital,Ohio AC,10-3,0.769,11,2.58,11,5.99,12,26.45,10,4.40,3.33,21,-5.75
Ohio Northern,Ohio AC,8-2,0.800,12,2.49,10,6.05,8,29.48,18,1.43,3.29,41,-11.26
M Hardin-Baylor,American SW,9-2,0.818,13,2.46,8,8.61,5,31.14,16,2.33,3.11,50,-14.02
WI Stout,Wisconsin IAC,6-4,0.600,14,2.35,13,4.79,14,26.11,15,3.54,3.22,19,-3.88
WI Oshkosh,Wisconsin IAC,7-3,0.700,15,2.21,17,1.16,18,24.90,20,1.12,3.21,15,-1.16
Concordia Mhd,Minnesota IAC,10-2,0.833,16,2.17,16,1.57,22,24.20,17,2.23,3.22,43,-11.41
Bowdoin,NESCAC,6-2,0.750,17,2.12,21,-1.35,51,19.66,13,3.85,3.14,13,-0.45
Middlebury,NESCAC,3-5,0.375,18,1.99,15,2.48,32,22.92,9,4.42,3.12,9,1.14
Augustana IL,Ill & Wisc,10-2,0.833,19,1.96,20,-0.91,16,25.61,30,-1.67,3.31,44,-11.76
