Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alabama,Southeastern,13-1,0.929,1,9.56,1,73.93,7,61.72,1,39.05,2.79,27,50.26
Oregon,Pac 12,12-1,0.923,2,9.33,2,71.73,1,68.22,13,30.35,2.85,35,48.91
Texas A&M,Southeastern,11-2,0.846,3,9.10,3,69.74,3,66.46,15,30.13,2.81,20,51.29
Georgia,Southeastern,12-2,0.857,4,8.74,5,64.93,6,61.73,16,30.05,3.00,28,49.95
Notre Dame,FBS Indep,12-1,0.923,5,8.72,12,61.48,43,53.09,2,35.24,2.81,5,52.69
Stanford,Pac 12,12-2,0.857,6,8.65,8,62.66,30,54.60,4,34.91,2.70,4,52.78
Kansas St,Big 12,11-2,0.846,7,8.62,10,62.02,13,58.43,11,30.43,3.06,15,51.69
LSU,Southeastern,10-3,0.769,8,8.60,6,63.72,26,55.61,3,34.96,2.85,21,50.91
South Carolina,Southeastern,11-2,0.846,9,8.54,11,61.53,19,56.48,9,31.90,2.96,23,50.63
Oklahoma,Big 12,10-3,0.769,10,8.52,7,62.79,10,60.53,22,29.11,2.85,16,51.64
Florida,Southeastern,11-2,0.846,11,8.47,16,59.66,54,51.72,5,34.79,2.88,14,51.74
Ohio St,Big 10,12-0,1.000,12,8.40,22,56.77,24,55.95,28,27.66,2.90,50,46.74
Oklahoma St,Big 12,8-5,0.615,13,8.38,4,66.14,2,66.48,34,26.51,2.95,43,47.52
Florida St,Atlantic Coast,12-2,0.857,14,8.33,9,62.56,23,55.97,6,33.44,3.01,78,41.83
Clemson,Atlantic Coast,11-2,0.846,15,8.23,17,59.47,11,60.45,42,25.87,2.92,53,46.40
Oregon St,Pac 12,9-4,0.692,16,8.19,19,58.72,25,55.69,18,29.88,2.96,9,51.98
Texas,Big 12,9-4,0.692,17,8.13,20,58.65,16,57.57,25,27.94,2.87,10,51.98
Baylor,Big 12,8-5,0.615,18,8.05,13,60.01,4,66.28,73,20.58,2.95,8,52.06
Arizona St,Pac 12,8-5,0.615,19,7.98,15,59.67,9,60.72,43,25.79,2.98,36,48.77
USC,Pac 12,7-6,0.538,20,7.97,18,59.35,22,56.21,17,29.99,2.95,6,52.29
Nebraska,Big 10,10-4,0.714,21,7.94,26,55.52,14,58.37,55,23.99,3.07,34,49.00
Michigan,Big 10,8-5,0.615,22,7.91,21,57.74,28,55.38,21,29.20,2.91,30,49.61
Wisconsin,Big 10,8-6,0.571,23,7.88,14,59.86,20,56.38,14,30.34,2.68,33,49.36
UCLA,Pac 12,9-5,0.643,24,7.82,27,55.36,21,56.25,39,25.95,2.98,7,52.08
Vanderbilt,Southeastern,9-4,0.692,25,7.80,25,55.56,40,53.50,23,28.91,2.89,58,45.77
Boise St,Mountain West,11-2,0.846,26,7.79,24,56.16,38,53.58,20,29.43,2.80,83,41.15
Northwestern,Big 10,10-3,0.769,27,7.79,31,54.31,29,54.74,35,26.42,2.89,46,46.93
Arizona,Pac 12,8-5,0.615,28,7.72,33,53.78,8,60.86,81,19.76,3.02,25,50.42
Utah St,Western Athletic,11-2,0.846,29,7.69,34,53.46,51,52.47,26,27.84,2.90,104,39.11
BYU,FBS Indep,8-5,0.615,30,7.68,23,56.24,60,50.54,8,32.55,2.88,64,44.65
Mississippi,Southeastern,7-6,0.538,31,7.65,28,54.83,27,55.56,38,26.12,2.86,11,51.81
TCU,Big 12,7-6,0.538,32,7.64,30,54.45,56,51.52,19,29.77,2.75,31,49.55
Louisville,Big East,11-2,0.846,33,7.58,44,51.13,44,52.93,47,25.04,2.84,66,44.35
Penn St,Big 10,8-4,0.667,34,7.54,29,54.58,58,51.04,12,30.39,2.83,55,46.31
Michigan St,Big 10,7-6,0.538,35,7.53,32,54.07,80,47.86,7,33.06,2.68,29,49.70
Washington,Pac 12,7-6,0.538,36,7.53,37,52.70,53,52.28,30,27.27,2.96,13,51.75
Tulsa,Conference USA,11-3,0.786,37,7.51,39,52.38,33,54.37,49,24.86,2.88,77,41.84
Missouri,Southeastern,5-7,0.417,38,7.50,38,52.59,45,52.91,33,26.52,2.79,1,54.29
Texas Tech,Big 12,8-5,0.615,39,7.42,46,50.69,15,58.31,83,19.22,2.90,39,47.96
Cincinnati,Big East,10-3,0.769,40,7.42,35,52.84,37,53.74,40,25.95,2.87,102,39.38
Syracuse,Big East,8-5,0.615,41,7.40,41,52.05,42,53.17,44,25.72,2.89,41,47.72
Mississippi St,Southeastern,8-5,0.615,42,7.37,45,51.04,57,51.28,32,26.60,2.99,51,46.51
West Virginia,Big 12,7-6,0.538,43,7.35,49,50.41,12,58.72,86,18.54,2.93,24,50.56
San Jose St,Western Athletic,11-2,0.846,44,7.34,55,49.03,48,52.77,60,23.11,2.83,97,39.77
UCF,Conference USA,10-4,0.714,45,7.33,42,51.98,49,52.68,37,26.15,2.86,75,41.96
Georgia Tech,Atlantic Coast,7-7,0.500,46,7.33,40,52.20,35,54.04,48,25.01,2.79,47,46.86
N Illinois,Mid-American,12-2,0.857,47,7.30,48,50.49,34,54.12,57,23.22,2.98,119,36.63
Miami FL,Atlantic Coast,7-5,0.583,48,7.29,50,50.41,31,54.56,64,22.69,2.93,40,47.95
North Carolina,Atlantic Coast,8-4,0.667,49,7.28,36,52.83,17,56.95,62,22.73,2.97,84,41.09
Iowa St,Big 12,6-7,0.462,50,7.27,52,49.65,75,48.55,24,27.94,2.87,18,51.44
Utah,Pac 12,5-7,0.417,51,7.20,47,50.61,61,50.50,31,26.95,2.97,32,49.47
Louisiana Tech,Western Athletic,9-3,0.750,52,7.18,54,49.26,5,62.28,113,13.83,2.89,94,40.06
Virginia Tech,Atlantic Coast,7-6,0.538,53,7.16,53,49.45,72,48.99,29,27.30,2.92,57,45.90
Arkansas,Southeastern,4-8,0.333,54,7.15,43,51.28,47,52.86,46,25.27,2.82,12,51.79
Rutgers,Big East,9-4,0.692,55,7.13,59,48.05,103,43.78,10,31.12,2.81,73,42.11
Tennessee,Southeastern,5-7,0.417,56,7.12,51,49.88,18,56.86,80,19.87,2.76,38,48.05
Fresno St,Mountain West,9-4,0.692,57,7.11,57,48.75,36,53.82,68,21.78,3.10,76,41.96
SMU,Conference USA,7-6,0.538,58,7.01,56,48.77,64,50.34,45,25.28,2.96,65,44.40
NC State,Atlantic Coast,7-6,0.538,59,7.00,61,47.90,55,51.63,59,23.12,2.90,63,45.23
San Diego St,Mountain West,9-4,0.692,60,6.98,63,46.99,67,50.14,56,23.70,2.89,91,40.50
Arkansas St,Sun Belt,10-3,0.769,61,6.92,65,45.94,65,50.32,65,22.47,2.85,116,37.53
Pittsburgh,Big East,6-7,0.462,62,6.92,58,48.55,70,49.46,41,25.93,2.93,68,43.95
California,Pac 12,3-9,0.250,63,6.90,60,48.00,66,50.22,51,24.63,2.79,3,53.34
Kent,Mid-American,11-3,0.786,64,6.79,71,43.92,71,49.23,69,21.54,2.90,108,38.75
Auburn,Southeastern,3-9,0.250,65,6.74,64,46.32,76,48.37,50,24.80,2.74,22,50.65
Iowa,Big 10,4-8,0.333,66,6.72,62,47.02,86,46.20,27,27.67,2.73,44,47.51
Purdue,Big 10,6-7,0.462,67,6.70,69,44.08,59,50.80,78,20.12,2.83,42,47.53
Minnesota,Big 10,6-7,0.462,68,6.64,72,43.27,90,45.90,52,24.22,2.85,49,46.76
Louisiana,Sun Belt,9-4,0.692,69,6.64,70,43.99,46,52.90,90,17.94,2.84,113,37.93
Toledo,Mid-American,9-4,0.692,70,6.56,76,41.72,63,50.43,89,18.14,2.82,98,39.64
Ball St,Mid-American,9-4,0.692,71,6.56,86,40.23,69,49.90,94,17.17,2.91,72,42.14
Rice,Conference USA,7-6,0.538,72,6.56,66,44.62,62,50.50,70,20.96,2.91,89,40.52
Nevada,Mountain West,7-6,0.538,73,6.52,67,44.23,32,54.47,101,16.61,2.74,100,39.52
Connecticut,Big East,5-7,0.417,74,6.47,73,43.11,105,43.69,36,26.26,2.83,70,43.13
Duke,Atlantic Coast,6-7,0.462,75,6.46,83,40.92,50,52.60,109,15.16,2.97,59,45.76
South Florida,Big East,3-9,0.250,76,6.43,68,44.21,82,47.05,54,24.01,2.79,45,47.15
Navy,FBS Indep,8-5,0.615,77,6.43,84,40.80,84,46.71,71,20.93,2.79,101,39.47
Washington St,Pac 12,3-9,0.250,78,6.42,75,42.87,73,48.92,72,20.80,2.79,19,51.40
Virginia,Atlantic Coast,4-8,0.333,79,6.37,78,41.56,87,46.18,66,22.22,2.78,52,46.42
Ohio,Mid-American,9-4,0.692,80,6.37,79,41.42,78,48.09,76,20.18,2.81,123,33.68
East Carolina,Conference USA,8-5,0.615,81,6.36,85,40.27,68,50.04,95,17.08,2.93,87,40.89
ULM,Sun Belt,8-5,0.615,82,6.35,90,39.68,74,48.79,92,17.73,2.91,95,39.96
Houston,Conference USA,5-7,0.417,83,6.32,74,43.06,39,53.54,103,16.37,2.78,92,40.43
Maryland,Atlantic Coast,4-8,0.333,84,6.31,82,40.96,91,45.67,67,22.13,2.73,54,46.35
Indiana,Big 10,4-8,0.333,85,6.29,80,41.22,52,52.43,107,15.63,2.78,61,45.30
Bowling Green,Mid-American,8-5,0.615,86,6.26,87,40.08,108,42.80,53,24.13,2.89,122,35.98
Temple,Big East,4-7,0.364,87,6.26,88,39.90,81,47.41,82,19.34,2.74,62,45.30
Wake Forest,Atlantic Coast,5-7,0.417,88,6.20,94,38.18,97,44.87,77,20.15,2.79,56,46.18
Kentucky,Southeastern,2-10,0.167,89,6.19,81,41.04,94,45.19,63,22.70,2.91,26,50.28
Boston College,Atlantic Coast,2-10,0.167,90,6.14,77,41.66,93,45.30,58,23.20,2.88,37,48.46
Marshall,Conference USA,5-7,0.417,91,6.11,91,38.93,41,53.47,120,12.30,2.81,90,40.51
WKU,Sun Belt,7-6,0.538,92,6.09,93,38.86,96,45.14,74,20.56,2.77,112,38.03
Kansas,Big 12,1-11,0.083,93,6.05,89,39.87,85,46.50,75,20.22,2.88,2,53.94
MTSU,Sun Belt,8-4,0.667,94,5.98,102,34.16,102,44.34,100,16.67,2.85,111,38.15
Illinois,Big 10,2-10,0.167,95,5.91,92,38.89,107,42.93,61,22.82,2.71,48,46.82
UTEP,Conference USA,3-9,0.250,96,5.91,96,37.71,100,44.55,79,20.00,2.80,60,45.53
Air Force,Mountain West,6-7,0.462,97,5.90,98,36.81,95,45.15,88,18.50,2.90,117,37.50
Troy,Sun Belt,5-7,0.417,98,5.88,97,37.11,79,48.02,104,15.93,2.82,109,38.71
W Michigan,Mid-American,4-8,0.333,99,5.80,95,37.94,77,48.19,102,16.60,2.85,118,36.77
C Michigan,Mid-American,7-6,0.538,100,5.78,101,34.21,89,45.99,110,15.07,2.73,120,36.40
Wyoming,Mountain West,4-8,0.333,101,5.78,99,36.54,88,46.14,93,17.24,2.76,85,41.05
Colorado St,Mountain West,4-8,0.333,102,5.63,105,33.71,109,42.78,91,17.78,2.92,79,41.50
North Texas,Sun Belt,4-8,0.333,103,5.60,103,33.98,117,42.23,85,18.59,2.79,110,38.59
Florida Intl,Sun Belt,3-9,0.250,104,5.60,100,36.20,101,44.53,87,18.52,2.77,105,39.08
Buffalo,Mid-American,4-8,0.333,105,5.59,104,33.79,118,41.88,84,18.76,2.85,103,39.17
