Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Appalachian St,Southern,14-1,0.933,1,6.55,1,44.63,2,47.61,8,19.45,3.20,39,26.48
N Dakota St,Great West,10-1,0.909,2,6.46,3,43.05,6,43.83,4,21.64,3.16,27,29.17
Massachusetts,Atlantic 10,13-2,0.867,3,6.41,4,43.01,11,41.53,1,23.91,3.06,17,31.74
Montana,Big Sky,12-2,0.857,4,6.14,6,40.98,13,40.82,3,22.58,3.12,12,32.25
James Madison,Atlantic 10,9-3,0.750,5,6.13,2,43.20,3,45.24,7,20.39,3.04,22,30.15
New Hampshire,Atlantic 10,9-4,0.692,6,5.96,5,41.01,1,48.36,18,15.08,2.99,10,32.68
Youngstown St,Gateway,11-3,0.786,7,5.91,8,38.43,5,44.74,15,16.12,3.18,6,33.43
Portland St,Big Sky,7-4,0.636,8,5.90,7,39.62,12,41.24,5,20.81,3.17,2,38.07
Cal Poly,Great West,7-4,0.636,9,5.55,13,36.38,21,38.26,6,20.55,3.05,30,28.33
Illinois St,Gateway,9-4,0.692,10,5.52,11,36.78,9,41.83,12,17.37,3.10,23,29.94
UC Davis,Great West,6-5,0.545,11,5.45,9,37.36,10,41.58,10,18.21,3.07,9,32.87
Northern Iowa,Gateway,7-4,0.636,12,5.45,10,37.09,7,43.25,14,16.26,3.03,28,29.04
Maine,Atlantic 10,6-5,0.545,13,5.43,12,36.68,40,36.17,2,22.94,3.14,16,31.76
S Illinois,Gateway,9-4,0.692,14,5.42,14,35.71,8,42.68,16,15.45,3.18,43,25.45
Northern Arizona,Big Sky,6-5,0.545,15,5.31,15,35.15,4,45.07,39,12.50,3.08,19,31.57
Montana St,Big Sky,8-5,0.615,16,5.24,17,32.82,26,37.96,13,17.28,2.96,8,32.91
Villanova,Atlantic 10,6-5,0.545,17,5.18,19,32.39,17,40.16,24,14.66,3.03,5,33.68
Richmond,Atlantic 10,6-5,0.545,18,5.17,16,34.45,24,38.08,9,18.79,2.93,29,28.66
Northeastern,Atlantic 10,5-6,0.455,19,5.04,23,30.40,28,37.80,19,15.02,3.10,1,38.30
S Dakota St,Great West,7-4,0.636,20,4.92,25,29.26,30,37.30,27,14.38,3.00,33,27.96
Wofford,Southern,7-4,0.636,21,4.85,21,31.69,18,39.18,20,14.94,3.08,40,26.47
Princeton,Ivy League,9-1,0.900,22,4.83,35,27.40,47,35.23,25,14.60,3.06,52,22.59
Cent Arkansas,FCS Indep,8-3,0.727,23,4.83,28,28.37,19,39.18,44,11.62,3.14,44,25.21
Delaware,Atlantic 10,5-6,0.455,24,4.81,20,31.85,15,40.34,29,13.94,2.96,31,28.31
Furman,Southern,8-4,0.667,25,4.77,27,28.97,35,37.03,28,14.37,3.06,38,26.80
E Washington,Big Sky,3-8,0.273,26,4.77,18,32.48,16,40.18,22,14.73,2.99,3,35.79
Towson,Atlantic 10,7-4,0.636,27,4.71,41,25.80,38,36.49,42,11.73,2.88,25,29.54
Yale,Ivy League,8-2,0.800,28,4.68,34,27.44,42,36.12,30,13.74,2.98,51,22.84
WKU,Gateway,6-5,0.545,29,4.66,29,28.23,29,37.53,37,13.13,3.02,32,28.08
