Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,14-1,0.933,1,6.37,1,41.17,12,42.74,1,24.72,3.08,27,26.09
Montana,Big Sky,11-3,0.786,2,5.97,2,39.24,1,46.39,5,19.15,3.20,22,27.22
Sam Houston St,Southland,14-1,0.933,3,5.96,3,36.96,7,44.05,4,19.21,3.14,53,20.88
Ga Southern,Southern,11-3,0.786,4,5.74,4,35.56,2,46.25,10,15.60,3.03,20,27.37
Northern Iowa,Missouri Valley,10-3,0.769,5,5.74,5,34.27,27,40.39,3,20.18,2.96,4,30.76
Maine,Coastal,9-4,0.692,6,5.47,6,32.61,15,42.33,9,16.57,2.86,9,29.11
New Hampshire,Coastal,8-4,0.667,7,5.34,9,31.70,6,44.29,22,13.71,3.00,7,29.18
James Madison,Coastal,8-5,0.615,8,5.34,7,32.48,41,38.11,2,20.66,2.99,8,29.12
Montana St,Big Sky,10-3,0.769,9,5.33,16,29.25,18,41.88,24,13.67,2.99,28,26.05
Wofford,Southern,8-4,0.667,10,5.21,13,30.38,14,42.39,17,14.28,2.85,37,24.05
Towson,Coastal,9-3,0.750,11,5.19,18,28.58,8,43.99,48,10.88,2.97,32,25.26
E Washington,Big Sky,6-5,0.545,12,5.18,10,31.66,3,45.43,34,12.51,2.78,6,29.24
Delaware,Coastal,7-4,0.636,13,5.18,12,31.40,36,38.85,6,18.85,2.89,41,23.68
Southern Utah,Great West,6-5,0.545,14,5.10,11,31.56,17,42.28,11,15.57,2.96,24,26.55
Appalachian St,Southern,8-4,0.667,15,5.07,20,28.47,33,39.87,13,14.89,2.92,42,23.43
Chattanooga,Southern,5-6,0.455,16,5.04,8,32.23,25,40.55,7,17.98,2.91,17,27.77
Cal Poly,Great West,6-5,0.545,17,5.04,15,29.38,9,43.52,38,12.15,2.92,16,27.80
Youngstown St,Missouri Valley,6-5,0.545,18,5.04,14,30.08,5,44.31,40,12.07,2.89,38,24.05
Lehigh,Patriot League,11-2,0.846,19,5.01,25,27.72,35,39.52,16,14.48,3.00,61,18.63
Illinois St,Missouri Valley,7-4,0.636,20,5.00,17,28.91,34,39.70,12,15.50,2.97,40,23.92
Old Dominion,Coastal,10-3,0.769,21,5.00,32,26.29,4,44.86,71,7.73,2.99,47,22.38
Indiana St,Missouri Valley,6-5,0.545,22,4.94,30,26.58,23,40.85,41,12.03,2.88,12,28.86
Weber St,Big Sky,5-6,0.455,23,4.89,21,28.06,10,43.36,47,10.99,2.91,5,29.73
Harvard,Ivy League,9-1,0.900,24,4.88,22,27.84,21,40.98,28,13.15,3.05,84,14.21
Portland St,Big Sky,7-4,0.636,25,4.84,31,26.52,16,42.30,50,10.52,2.92,36,24.12
Cent Arkansas,Southland,9-4,0.692,26,4.84,34,25.81,26,40.47,44,11.63,2.94,34,24.59
Furman,Southern,6-5,0.545,27,4.84,24,27.79,24,40.79,27,13.30,2.90,21,27.24
S Dakota St,Missouri Valley,5-6,0.455,28,4.84,33,26.04,30,40.06,37,12.27,2.81,3,31.26
Massachusetts,Coastal,5-6,0.455,29,4.83,26,27.62,22,40.87,30,13.04,2.77,14,28.23
SF Austin,Southland,6-5,0.545,30,4.76,19,28.55,13,42.41,35,12.43,2.92,50,21.55
Stony Brook,Big South,9-4,0.692,31,4.72,29,26.77,11,42.87,53,10.19,2.94,72,16.60
William & Mary,Coastal,5-6,0.455,32,4.71,27,26.83,54,35.61,8,17.51,2.85,31,25.61
Northern Arizona,Big Sky,4-7,0.364,33,4.69,23,27.80,28,40.38,21,13.72,2.92,33,25.11
Samford,Southern,6-5,0.545,34,4.69,37,25.18,42,38.10,25,13.37,2.92,43,23.01
South Dakota,Great West,6-5,0.545,35,4.66,40,24.69,40,38.13,33,12.85,2.98,39,24.00
North Dakota,Great West,8-3,0.727,36,4.64,46,23.16,51,35.76,23,13.69,2.87,66,17.31
