Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Central IL,Ill & Wisc,14-1,0.933,1,5.50,1,22.39,1,43.91,8,6.57,2.18,1,2.46
Mt Union,Ohio AC,11-1,0.917,2,5.03,2,19.90,2,42.15,11,5.83,2.13,19,-6.85
Wheaton IL,Ill & Wisc,12-1,0.923,3,5.02,3,18.86,3,37.20,2,9.75,2.15,18,-6.38
M Hardin-Baylor,American SW,12-1,0.923,4,4.91,4,18.55,4,36.50,1,10.14,2.14,40,-12.28
Middlebury,NESCAC,9-0,1.000,5,4.82,14,6.02,16,30.26,17,3.85,2.21,9,-0.73
WI Whitewater,Wisconsin IAC,13-2,0.867,6,4.81,9,9.92,14,30.82,6,7.18,2.20,10,-1.86
Muhlenberg,Centennial,13-1,0.929,7,4.81,6,11.18,13,30.95,5,8.31,2.21,24,-8.28
St John's MN,Minnesota IAC,12-2,0.857,8,4.69,8,10.64,7,35.36,18,3.36,2.11,13,-5.17
Wesleyan CT,NESCAC,8-1,0.889,9,4.67,13,6.85,21,28.36,7,6.58,2.25,8,-0.60
Williams,NESCAC,7-2,0.778,10,4.54,11,8.97,24,27.38,4,9.68,2.26,11,-1.90
Susquehanna,Centennial,10-1,0.909,11,4.38,16,4.54,15,30.37,20,2.26,2.27,32,-10.95
St Thomas MN,Minnesota IAC,8-2,0.800,12,4.34,7,10.90,5,35.78,19,3.20,2.21,36,-11.71
Delaware Val,Mid Atlantic,11-2,0.846,13,4.34,15,4.58,28,26.56,10,6.10,2.05,35,-11.67
Salisbury,New Jersey A.C.,11-1,0.917,14,4.31,18,4.36,6,35.47,51,-3.03,2.20,34,-11.42
Trinity CT,NESCAC,5-4,0.556,15,4.30,5,13.58,11,31.96,3,9.70,2.22,12,-2.47
Johns Hopkins,Centennial,8-3,0.727,16,4.30,10,9.67,9,33.89,16,3.87,2.21,21,-7.07
Hardin-Simmons,American SW,8-2,0.800,17,4.19,12,7.83,8,35.09,26,0.83,2.22,45,-13.07
Bethel MN,Minnesota IAC,8-2,0.800,18,4.16,20,3.25,26,26.73,15,4.62,2.28,37,-11.91
WI Oshkosh,Wisconsin IAC,8-3,0.727,19,4.13,19,3.47,35,25.25,9,6.31,2.34,17,-6.06
Bridgewater VA,Old Dominion AC,10-1,0.909,20,4.11,28,-0.50,31,25.95,22,1.63,2.15,43,-12.79
John Carroll,Ohio AC,9-1,0.900,21,4.08,26,-0.25,58,22.76,13,5.08,2.23,68,-16.77
WI LaCrosse,Wisconsin IAC,7-3,0.700,22,4.02,23,1.02,19,29.30,29,-0.19,2.25,15,-5.36
Amherst,NESCAC,4-5,0.444,23,3.97,17,4.45,25,27.07,12,5.47,2.26,7,-0.54
Wartburg,American Rivers,10-2,0.833,24,3.97,24,0.89,12,31.69,49,-2.71,2.27,56,-14.99
Wesley DE,New Jersey A.C.,10-2,0.833,25,3.96,27,-0.43,23,28.26,34,-0.61,2.21,51,-14.28
Tufts,NESCAC,4-5,0.444,26,3.93,21,3.07,29,26.50,14,4.66,2.26,6,-0.48
WI Platteville,Wisconsin IAC,7-3,0.700,27,3.93,25,0.71,20,28.69,28,0.11,2.23,23,-8.18
Linfield,Northwest,8-2,0.800,28,3.91,22,2.90,10,33.07,45,-2.09,2.37,50,-14.03
Washington StL,Ill & Wisc,7-3,0.700,29,3.88,29,-1.43,33,25.82,25,0.84,2.31,27,-9.00
Randolph-Macon,Old Dominion AC,9-2,0.818,30,3.86,34,-3.88,42,24.55,31,-0.34,2.20,48,-13.66
Redlands,Southern Cal IAC,9-2,0.818,31,3.80,31,-3.13,32,25.84,36,-0.88,2.27,63,-16.00
IL Wesleyan,Ill & Wisc,6-4,0.600,32,3.78,30,-2.59,52,23.32,21,2.18,2.17,22,-7.47
Hamilton,NESCAC,4-5,0.444,33,3.72,33,-3.73,38,24.81,32,-0.45,2.23,4,0.36
Chapman,Southern Cal IAC,10-1,0.909,34,3.70,52,-9.55,27,26.59,88,-8.05,2.32,70,-16.93
Union NY,Liberty League,11-1,0.917,35,3.69,53,-9.62,69,21.73,54,-3.26,2.22,95,-19.72
Hobart & Smith,Liberty League,9-2,0.818,36,3.69,42,-7.13,64,22.44,41,-1.48,2.34,62,-15.98
Stevenson,Mid Atlantic,8-3,0.727,37,3.68,32,-3.62,40,24.69,30,-0.22,2.19,59,-15.51
Brockport St,Empire 8,9-3,0.750,38,3.65,38,-6.14,77,20.54,24,1.41,2.24,66,-16.37
Augustana IL,Ill & Wisc,6-4,0.600,39,3.63,35,-4.52,39,24.76,39,-1.20,2.26,28,-9.13
Central IA,American Rivers,10-2,0.833,40,3.59,56,-9.91,18,29.46,128,-11.28,2.26,60,-15.77
Gust Adolphus,Minnesota IAC,7-3,0.700,41,3.54,39,-6.60,17,30.14,96,-8.65,2.28,47,-13.23
Frank & Marsh,Centennial,7-4,0.636,42,3.54,37,-6.11,63,22.44,33,-0.47,2.29,44,-13.02
Ithaca,Liberty League,8-3,0.727,43,3.53,36,-4.98,43,24.18,37,-1.08,2.26,82,-18.16
TX Lutheran,American SW,8-2,0.800,44,3.51,46,-8.85,61,22.66,56,-3.42,2.25,84,-18.25
Berry,SAA,9-2,0.818,45,3.45,43,-7.53,66,22.31,42,-1.75,2.29,126,-22.17
Wash & Jeff,Presidents' AC,8-3,0.727,46,3.45,40,-6.77,54,23.19,43,-1.87,2.30,96,-19.85
Concordia Mhd,Minnesota IAC,5-5,0.500,47,3.43,45,-8.27,88,18.99,27,0.82,2.24,29,-9.77
Trinity TX,SAA,8-2,0.800,48,3.43,60,-11.04,100,17.69,35,-0.65,2.21,107,-20.88
WI Stout,Wisconsin IAC,4-6,0.400,49,3.41,41,-7.12,47,23.69,50,-2.73,2.24,14,-5.21
Emory & Henry,Old Dominion AC,7-3,0.700,50,3.39,49,-9.13,22,28.31,105,-9.35,2.22,54,-14.72
Case Western,Presidents' AC,9-2,0.818,51,3.39,55,-9.90,71,21.68,57,-3.50,2.23,130,-22.54
Cortland St,Empire 8,8-3,0.727,52,3.39,48,-9.11,34,25.41,76,-6.43,2.31,85,-18.41
Huntingdon,USA South,8-4,0.667,53,3.34,65,-11.51,37,25.07,92,-8.49,2.35,58,-15.17
Dubuque,American Rivers,7-3,0.700,54,3.32,61,-11.17,78,20.47,59,-3.56,2.22,73,-17.09
