Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Ohio St,Big 10,14-1,0.933,1,9.38,2,74.01,1,70.10,14,31.61,2.54,29,53.41
Oregon,Pac 12,13-2,0.867,2,9.25,1,75.40,3,69.73,9,33.37,2.61,10,55.37
Alabama,Southeastern,12-2,0.857,3,9.11,3,72.40,6,63.95,2,36.15,2.63,5,55.86
TCU,Big 12,12-1,0.923,4,9.08,4,71.61,4,65.59,8,33.72,2.75,36,52.37
Baylor,Big 12,11-2,0.846,5,8.82,5,69.91,2,70.01,36,27.60,2.75,43,51.57
Michigan St,Big 10,11-2,0.846,6,8.80,7,68.89,7,63.82,11,32.77,2.67,49,50.77
Georgia,Southeastern,10-3,0.769,7,8.58,6,68.92,5,65.24,16,31.38,2.64,33,53.13
Florida St,Atlantic Coast,13-1,0.929,8,8.42,22,61.54,16,60.61,30,28.63,2.61,32,53.28
UCLA,Pac 12,10-3,0.769,9,8.37,15,63.42,11,62.12,29,29.00,2.52,1,58.87
Auburn,Southeastern,8-5,0.615,10,8.33,10,64.95,9,63.05,26,29.60,2.73,2,58.11
Clemson,Atlantic Coast,10-3,0.769,11,8.33,9,65.19,29,57.79,4,35.10,2.64,58,49.83
Kansas St,Big 12,9-4,0.692,12,8.27,11,64.30,18,60.42,15,31.58,2.76,25,53.97
Missouri,Southeastern,11-3,0.786,13,8.27,19,62.37,35,57.17,10,32.89,2.45,12,55.33
Mississippi St,Southeastern,10-3,0.769,14,8.27,17,62.71,20,60.11,22,30.30,2.75,40,52.02
Mississippi,Southeastern,9-4,0.692,15,8.26,16,62.94,42,55.69,5,34.95,2.77,11,55.34
Stanford,Pac 12,8-5,0.615,16,8.23,8,65.68,39,55.99,1,37.38,2.57,22,54.34
USC,Pac 12,9-4,0.692,17,8.18,12,63.90,15,60.75,18,30.85,2.68,6,55.70
LSU,Southeastern,8-5,0.615,18,8.18,13,63.74,38,56.19,3,35.25,2.73,20,54.70
Georgia Tech,Atlantic Coast,11-3,0.786,19,8.14,20,62.00,10,62.21,38,27.49,2.53,39,52.21
Arizona St,Pac 12,10-3,0.769,20,8.12,23,61.21,12,61.87,44,27.04,2.60,31,53.31
Arkansas,Southeastern,7-6,0.538,21,8.10,14,63.66,34,57.22,6,34.14,2.76,21,54.70
Utah,Pac 12,9-4,0.692,22,8.05,24,61.17,31,57.70,17,31.17,2.46,19,54.75
Texas A&M,Southeastern,8-5,0.615,23,8.05,21,61.61,8,63.21,50,26.10,2.50,24,54.26
Oklahoma,Big 12,8-5,0.615,24,8.02,18,62.69,13,61.26,27,29.12,2.58,8,55.56
Wisconsin,Big 10,11-3,0.786,25,8.00,26,60.75,30,57.78,20,30.67,2.75,53,50.33
Arizona,Pac 12,10-4,0.714,26,7.89,33,58.01,27,58.15,37,27.55,2.62,13,55.17
Florida,Southeastern,7-5,0.583,27,7.89,25,60.77,51,54.55,7,33.92,2.55,34,52.68
West Virginia,Big 12,7-6,0.538,28,7.73,31,58.31,22,59.15,46,26.86,2.71,7,55.63
Nebraska,Big 10,9-4,0.692,29,7.71,27,59.01,14,60.93,51,25.78,2.60,59,49.58
South Carolina,Southeastern,7-6,0.538,30,7.68,28,58.79,26,58.26,32,28.23,2.52,27,53.49
Notre Dame,FBS Indep,8-5,0.615,31,7.68,30,58.39,23,58.81,41,27.27,2.62,26,53.64
Tennessee,Southeastern,7-6,0.538,32,7.68,29,58.40,36,57.02,28,29.08,2.70,9,55.52
Louisville,Atlantic Coast,9-4,0.692,33,7.63,35,56.95,49,54.59,24,30.06,2.58,57,50.10
Washington,Pac 12,8-6,0.571,34,7.59,32,58.25,44,55.26,19,30.69,2.57,42,51.94
Marshall,Conference USA,13-1,0.929,35,7.56,34,58.00,19,60.11,52,25.59,2.57,122,36.99
Boise St,Mountain West,12-2,0.857,36,7.55,38,56.18,21,59.22,57,24.66,2.67,73,44.80
Oklahoma St,Big 12,7-6,0.538,37,7.53,36,56.43,32,57.63,48,26.50,2.47,17,54.93
Texas,Big 12,6-7,0.462,38,7.49,37,56.30,64,51.76,13,32.24,2.48,4,56.45
Minnesota,Big 10,8-5,0.615,39,7.34,42,53.61,61,52.70,31,28.61,2.68,37,52.32
Duke,Atlantic Coast,9-4,0.692,40,7.32,40,54.65,41,55.71,47,26.64,2.59,70,45.62
Virginia Tech,Atlantic Coast,7-6,0.538,41,7.23,39,55.13,74,50.48,12,32.35,2.43,55,50.26
Miami FL,Atlantic Coast,6-7,0.462,42,7.17,41,53.85,55,53.40,33,28.15,2.62,50,50.56
Memphis,American Athletic,10-3,0.769,43,7.16,47,52.10,52,54.34,53,25.46,2.61,94,41.55
California,Pac 12,5-7,0.417,44,7.16,45,52.53,17,60.43,98,19.80,2.51,18,54.83
Maryland,Big 10,7-6,0.538,45,7.11,56,50.83,47,54.80,65,23.74,2.59,30,53.32
Boston College,Atlantic Coast,7-6,0.538,46,7.08,46,52.27,60,52.81,43,27.15,2.56,61,49.28
Iowa,Big 10,7-6,0.538,47,7.06,43,52.91,58,53.14,39,27.47,2.66,60,49.41
Oregon St,Pac 12,5-7,0.417,48,7.02,49,51.72,53,54.14,54,25.27,2.50,28,53.43
BYU,FBS Indep,8-5,0.615,49,7.01,50,51.70,37,56.84,71,22.56,2.50,81,43.29
Michigan,Big 10,5-7,0.417,50,6.99,44,52.63,76,50.05,23,30.28,2.57,38,52.23
Penn St,Big 10,7-6,0.538,51,6.99,51,51.64,86,48.77,21,30.57,2.59,62,49.24
NC State,Atlantic Coast,8-5,0.615,52,6.96,60,49.97,56,53.35,61,24.32,2.50,67,46.71
UCF,American Athletic,9-4,0.692,53,6.96,55,50.98,66,51.53,42,27.16,2.72,89,42.44
Virginia,Atlantic Coast,5-7,0.417,54,6.96,53,51.22,72,50.96,34,27.96,2.70,45,51.36
Rutgers,Big 10,8-5,0.615,55,6.94,66,47.64,73,50.88,59,24.46,2.56,51,50.49
Kentucky,Southeastern,5-7,0.417,56,6.93,58,50.14,48,54.73,67,23.11,2.67,35,52.58
Cincinnati,American Athletic,9-4,0.692,57,6.90,63,49.30,50,54.58,72,22.42,2.55,68,45.81
East Carolina,American Athletic,8-5,0.615,58,6.90,54,51.05,40,55.92,69,22.84,2.61,85,42.89
Washington St,Pac 12,3-9,0.250,59,6.88,48,51.84,24,58.59,85,20.94,2.51,14,55.13
Pittsburgh,Atlantic Coast,6-7,0.462,60,6.86,52,51.41,46,54.87,63,24.24,2.57,66,47.13
Texas Tech,Big 12,4-8,0.333,61,6.85,57,50.20,28,58.01,96,19.90,2.48,15,55.06
North Carolina,Atlantic Coast,6-7,0.462,62,6.85,65,48.38,33,57.34,105,18.74,2.52,41,52.00
Colorado St,Mountain West,10-3,0.769,63,6.84,67,47.41,59,52.87,75,22.24,2.75,87,42.83
Utah St,Mountain West,10-4,0.714,64,6.84,62,49.47,94,47.28,25,29.89,2.61,91,42.28
Louisiana Tech,Conference USA,9-5,0.643,65,6.81,59,50.00,62,52.61,55,25.09,2.73,77,44.01
Northwestern,Big 10,5-7,0.417,66,6.79,61,49.71,77,50.04,40,27.37,2.46,52,50.34
