Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
WI Whitewater,Wisconsin IAC,15-0,1.000,1,4.16,1,18.53,4,32.05,1,12.77,2.98,19,-3.04
Amherst,NESCAC,8-0,1.000,2,3.52,6,11.25,8,29.79,5,7.75,2.92,12,-0.63
Trinity CT,NESCAC,7-1,0.875,3,3.39,2,13.21,13,28.81,2,10.69,3.04,15,-1.21
St Thomas MN,Minnesota IAC,13-1,0.929,4,3.36,4,12.18,9,29.55,4,8.93,3.10,40,-10.68
Mt Union,Ohio AC,14-1,0.933,5,3.35,5,11.90,15,28.37,3,9.82,2.97,47,-11.63
M Hardin-Baylor,American SW,12-1,0.923,6,3.31,3,13.20,1,34.69,8,4.80,3.00,24,-8.04
Linfield,Northwest,10-1,0.909,7,3.24,8,10.96,2,33.30,11,3.95,3.08,22,-7.69
Wesley DE,NCAA III Ind,12-2,0.857,8,3.06,9,8.70,6,31.85,14,3.15,2.89,36,-10.43
N Central IL,Ill & Wisc,10-2,0.833,9,2.83,7,11.18,5,32.01,6,5.47,3.20,52,-12.33
Cal Lutheran,Southern Cal IAC,8-2,0.800,10,2.83,10,8.12,3,32.41,17,2.00,2.97,31,-9.84
WI Oshkosh,Wisconsin IAC,7-3,0.700,11,2.79,11,7.08,10,29.25,9,4.13,2.94,10,0.01
Williams,NESCAC,5-3,0.625,12,2.51,12,4.54,17,27.78,15,3.05,2.81,8,0.13
WI Platteville,Wisconsin IAC,7-3,0.700,13,2.38,14,2.45,22,25.79,16,2.96,2.98,17,-2.09
McMurry,American SW,9-3,0.750,14,2.35,18,0.36,11,29.15,40,-2.50,2.97,18,-2.14
Bethel MN,Minnesota IAC,8-2,0.800,15,2.33,13,3.42,24,25.77,12,3.95,2.84,58,-13.39
Wheaton IL,Ill & Wisc,8-2,0.800,16,2.25,15,1.50,18,26.84,22,0.96,2.98,46,-11.57
Salisbury,Empire 8,11-2,0.846,17,2.13,20,0.06,7,31.25,55,-4.89,3.01,83,-16.90
Redlands,Southern Cal IAC,8-2,0.800,18,2.05,25,-2.43,29,25.05,32,-1.19,3.03,26,-8.67
Middlebury,NESCAC,4-4,0.500,19,2.03,22,-0.61,14,28.65,45,-2.97,2.88,5,0.46
WI Eau Claire,Wisconsin IAC,5-5,0.500,20,2.02,19,0.21,21,25.86,24,0.64,2.89,13,-1.09
Hardin-Simmons,American SW,6-4,0.600,21,1.98,16,0.84,12,28.81,34,-1.67,2.99,29,-9.06
WI LaCrosse,Wisconsin IAC,3-7,0.300,22,1.91,17,0.51,40,23.14,13,3.66,2.81,2,1.58
WI Stevens Pt,Wisconsin IAC,4-6,0.400,23,1.87,23,-1.26,38,23.71,20,1.32,2.81,7,0.26
Bowdoin,NESCAC,4-4,0.500,24,1.86,26,-2.92,74,19.27,10,4.11,2.98,6,0.43
Wesleyan CT,NESCAC,3-5,0.375,25,1.83,24,-1.58,70,19.52,7,5.19,2.92,4,1.28
St Olaf,Minnesota IAC,8-2,0.800,26,1.76,33,-5.22,35,23.77,42,-2.70,2.95,43,-11.08
Delaware Val,Mid Atlantic,11-1,0.917,27,1.74,29,-4.13,39,23.37,33,-1.21,2.96,113,-22.00
Wabash,North Coast AC,12-1,0.923,28,1.70,37,-5.95,58,20.82,30,-0.48,3.01,99,-20.66
Louisiana Chr,American SW,7-3,0.700,29,1.69,27,-3.46,16,28.18,61,-5.34,2.99,49,-12.12
Willamette,Northwest,4-6,0.400,30,1.67,21,-0.31,31,24.69,21,1.29,2.88,20,-5.66
IL Wesleyan,Ill & Wisc,9-2,0.818,31,1.64,38,-6.01,79,18.63,19,1.65,2.91,65,-14.09
Bates,NESCAC,3-5,0.375,32,1.63,28,-4.10,49,22.19,27,0.01,3.00,14,-1.19
Colby,NESCAC,3-5,0.375,33,1.62,32,-5.00,61,20.38,23,0.91,2.93,9,0.06
St John Fisher,Empire 8,10-3,0.769,34,1.62,34,-5.44,43,22.55,35,-1.70,2.83,59,-13.51
St John's MN,Minnesota IAC,6-4,0.600,35,1.59,30,-4.18,33,24.43,38,-2.32,2.79,44,-11.21
Baldwin-Wallace,Ohio AC,8-2,0.800,36,1.56,31,-4.92,51,22.01,31,-0.63,2.91,75,-15.18
WI Stout,Wisconsin IAC,5-5,0.500,37,1.50,42,-7.73,84,18.16,26,0.41,2.82,16,-1.75
Hamilton,NESCAC,3-5,0.375,38,1.48,39,-6.31,82,18.20,18,1.79,2.95,11,-0.63
Central IA,American Rivers,7-3,0.700,39,1.43,35,-5.51,23,25.77,59,-4.99,2.89,78,-15.54
Concordia Mhd,Minnesota IAC,6-4,0.600,40,1.43,36,-5.74,32,24.57,50,-4.01,2.89,42,-10.76
Heidelberg,Ohio AC,8-2,0.800,41,1.42,44,-8.20,28,25.19,80,-7.10,2.95,74,-15.14
Pac Lutheran,Northwest,6-3,0.667,42,1.39,43,-8.02,81,18.43,29,-0.16,2.85,37,-10.56
Johns Hopkins,Centennial,10-1,0.909,43,1.37,40,-6.60,47,22.34,41,-2.65,2.95,148,-24.63
Franklin,Heartland CAC,10-2,0.833,44,1.33,46,-8.32,20,26.07,94,-8.09,2.81,105,-21.23
Dubuque,American Rivers,9-2,0.818,45,1.30,54,-9.89,26,25.21,96,-8.80,3.11,81,-16.63
E Texas Bap,American SW,5-5,0.500,46,1.29,41,-7.23,36,23.77,54,-4.70,2.89,30,-9.50
Wartburg,American Rivers,8-2,0.800,47,1.25,52,-9.48,67,20.00,46,-3.18,2.89,82,-16.78
Centre,Southern CAC,9-2,0.818,48,1.19,55,-10.36,52,21.83,66,-5.89,2.95,84,-16.94
Monmouth IL,Midwest,10-2,0.833,49,1.19,53,-9.87,25,25.28,97,-8.86,2.94,131,-23.08
Trinity TX,Southern CAC,10-1,0.909,50,1.18,60,-11.58,120,14.23,25,0.48,3.04,92,-19.39
Lycoming,Mid Atlantic,8-2,0.800,51,1.15,49,-9.06,75,19.20,36,-1.96,3.01,119,-22.31
Widener,Mid Atlantic,9-2,0.818,52,1.13,51,-9.18,19,26.56,103,-9.45,3.15,150,-24.72
Ohio Northern,Ohio AC,6-4,0.600,53,1.12,47,-8.33,50,22.18,51,-4.21,2.88,76,-15.36
Kean,New Jersey A.C.,10-2,0.833,54,1.10,61,-11.79,78,18.74,52,-4.24,2.98,93,-19.44
Coe,American Rivers,6-4,0.600,55,1.09,45,-8.28,30,24.71,73,-6.70,3.00,80,-16.31
Elmhurst,Ill & Wisc,6-4,0.600,56,0.98,57,-10.46,37,23.72,92,-7.89,3.08,72,-14.79
Cortland St,New Jersey A.C.,9-2,0.818,57,0.96,58,-10.81,60,20.45,57,-4.97,2.93,133,-23.26
Thomas More,Presidents' AC,9-2,0.818,58,0.95,56,-10.46,66,20.14,53,-4.30,3.00,138,-23.64
Hobart & Smith,Liberty League,7-2,0.778,59,0.91,63,-12.04,68,19.81,62,-5.56,2.86,102,-20.94
Whitworth,Northwest,4-6,0.400,60,0.91,50,-9.12,59,20.56,49,-3.39,2.93,51,-12.26
Tufts,NESCAC,0-8,0.000,61,0.84,48,-8.47,86,17.87,28,-0.05,2.83,3,1.31
Lewis & Clark,Northwest,7-2,0.778,62,0.84,82,-15.50,34,24.02,145,-13.22,2.94,71,-14.76
WI River Falls,Wisconsin IAC,1-9,0.100,63,0.84,59,-11.03,54,21.28,67,-6.02,2.89,1,1.74
Augsburg,Minnesota IAC,6-4,0.600,64,0.83,72,-14.28,72,19.32,83,-7.31,2.91,56,-12.54
Huntingdon,NCAA III Ind,7-3,0.700,65,0.81,67,-13.24,41,22.77,111,-9.71,3.03,86,-18.09
Carthage,Ill & Wisc,5-5,0.500,66,0.81,64,-12.40,100,16.26,39,-2.36,2.89,63,-13.92
Birmingham So,Southern CAC,7-2,0.778,67,0.79,66,-12.98,63,20.25,75,-6.94,2.96,118,-22.27
Wittenberg,North Coast AC,8-2,0.800,68,0.71,71,-14.28,71,19.50,87,-7.49,2.98,140,-23.71
Washington & Lee,Old Dominion AC,8-2,0.800,69,0.70,78,-14.96,46,22.40,125,-11.06,3.06,139,-23.65
Alfred,Empire 8,8-3,0.727,70,0.67,70,-14.08,69,19.58,85,-7.37,2.86,112,-21.86
Adrian,Michigan IAA,8-2,0.800,71,0.67,76,-14.63,97,16.58,56,-4.92,2.85,168,-26.19
Lebanon Val,Mid Atlantic,8-3,0.727,72,0.66,79,-14.96,62,20.29,100,-8.96,3.04,121,-22.36
Hampden-Sydney,Old Dominion AC,8-3,0.727,73,0.65,69,-14.02,27,25.21,141,-12.93,3.01,134,-23.41
Muhlenberg,Centennial,7-3,0.700,74,0.62,73,-14.48,122,14.05,37,-2.24,2.93,110,-21.81
John Carroll,Ohio AC,5-5,0.500,75,0.62,68,-13.74,42,22.75,115,-10.20,2.90,61,-13.76
La Verne,Southern Cal IAC,4-5,0.444,76,0.61,81,-15.03,76,18.84,88,-7.58,2.85,21,-7.66
Chapman,Southern Cal IAC,4-5,0.444,77,0.60,77,-14.69,91,17.17,63,-5.56,2.94,39,-10.66
Albion,Michigan IAA,6-5,0.545,78,0.59,84,-15.81,92,17.08,71,-6.59,3.02,50,-12.16
Case Western,University AA,9-1,0.900,79,0.55,99,-18.33,130,13.05,60,-5.09,2.86,157,-25.42
Capital,Ohio AC,5-5,0.500,80,0.54,88,-16.89,101,16.21,74,-6.81,2.87,55,-12.42
Occidental,Southern Cal IAC,5-4,0.556,81,0.52,86,-16.44,64,20.22,116,-10.37,2.79,68,-14.41
Randolph-Macon,Old Dominion AC,8-2,0.800,82,0.52,80,-15.00,53,21.40,113,-10.11,2.90,170,-26.53
Millikin,Ill & Wisc,4-6,0.400,83,0.52,74,-14.54,45,22.41,120,-10.65,2.76,57,-12.56
Gust Adolphus,Minnesota IAC,2-8,0.200,84,0.52,62,-12.02,88,17.48,47,-3.20,2.73,38,-10.58
