Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Michigan,Big 10,15-0,1.000,1,9.46,2,82.24,7,66.63,1,43.03,2.15,35,59.65
Georgia,Southeastern,13-1,0.929,2,9.16,1,83.71,2,69.62,3,41.50,2.09,12,61.28
Alabama,Southeastern,12-2,0.857,3,9.05,3,80.60,6,67.60,4,40.41,2.17,1,65.49
Washington,Pac 12,14-1,0.933,4,8.89,12,72.02,8,65.66,23,33.78,2.14,2,64.60
Ohio St,Big 10,11-2,0.846,5,8.83,4,79.80,12,64.31,2,42.91,2.26,20,60.65
Texas,Big 12,12-2,0.857,6,8.78,7,75.81,9,65.50,8,37.72,2.16,3,63.32
Oregon,Pac 12,12-2,0.857,7,8.73,5,77.83,4,67.66,9,37.59,2.20,29,60.00
Mississippi,Southeastern,11-2,0.846,8,8.59,14,69.69,14,63.52,24,33.59,2.17,6,62.23
Missouri,Southeastern,11-2,0.846,9,8.59,15,68.56,21,60.68,12,35.30,2.28,5,62.87
Florida St,Atlantic Coast,13-1,0.929,10,8.55,16,68.17,23,60.35,14,35.24,2.17,51,57.98
Penn St,Big 10,10-3,0.769,11,8.54,6,76.06,13,64.29,6,39.20,2.16,36,59.51
LSU,Southeastern,10-3,0.769,12,8.52,10,72.72,1,71.08,57,29.05,2.20,4,63.30
Notre Dame,FBS Indep,10-3,0.769,13,8.50,8,75.09,10,65.43,10,37.08,2.14,44,58.34
Oklahoma,Big 12,10-3,0.769,14,8.42,9,73.51,5,67.65,28,33.28,2.28,10,61.42
Kansas St,Big 12,9-4,0.692,15,8.36,11,72.47,11,64.80,15,35.09,2.19,13,61.16
Tennessee,Southeastern,9-4,0.692,16,8.33,13,71.36,15,63.49,13,35.28,2.15,18,60.85
Arizona,Pac 12,10-3,0.769,17,8.21,24,64.73,24,60.33,32,31.82,2.20,39,59.13
Oklahoma St,Big 12,10-4,0.714,18,8.13,26,63.89,18,61.32,45,29.98,2.23,19,60.75
Clemson,Atlantic Coast,9-4,0.692,19,8.13,17,67.92,22,60.55,17,34.79,2.11,57,57.32
West Virginia,Big 12,9-4,0.692,20,8.07,25,63.92,29,59.68,33,31.66,2.33,32,59.70
USC,Pac 12,8-5,0.615,21,8.06,20,66.60,3,69.58,91,24.44,2.22,8,61.80
Utah,Pac 12,8-5,0.615,22,8.05,18,67.36,48,56.69,7,38.09,2.29,33,59.70
Oregon St,Pac 12,8-5,0.615,23,8.04,21,66.28,28,59.78,22,33.91,2.17,25,60.25
Iowa,Big 10,10-4,0.714,24,8.03,36,61.47,101,49.01,5,39.87,2.14,42,58.59
Louisville,Atlantic Coast,10-4,0.714,25,7.97,33,62.93,39,57.05,27,33.30,2.27,56,57.39
Kansas,Big 12,9-4,0.692,26,7.97,35,62.03,17,61.85,66,27.60,2.18,38,59.37
Texas A&M,Southeastern,7-6,0.538,27,7.94,19,67.01,25,60.04,20,34.39,2.26,30,59.94
NC State,Atlantic Coast,9-4,0.692,28,7.91,39,61.04,58,55.12,26,33.34,2.29,61,56.60
Maryland,Big 10,8-5,0.615,29,7.90,31,63.19,31,59.00,34,31.60,2.17,48,58.12
Texas Tech,Big 12,7-6,0.538,30,7.90,27,63.46,33,58.38,30,32.50,2.23,16,60.94
Iowa St,Big 12,7-6,0.538,31,7.90,23,65.39,37,57.48,11,35.33,2.22,21,60.52
