Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
WI Whitewater,Wisconsin IAC,15-0,1.000,1,4.27,2,19.38,7,31.96,1,14.98,2.89,18,-3.77
N Central IL,Ill & Wisc,13-1,0.929,2,3.89,1,19.54,1,40.17,6,6.92,3.18,19,-6.35
M Hardin-Baylor,American SW,13-1,0.929,3,3.61,3,17.05,3,38.76,8,5.85,3.11,40,-11.75
Mt Union,Ohio AC,14-1,0.933,4,3.41,5,12.56,2,39.51,30,0.61,3.01,34,-10.94
Linfield,Northwest,11-1,0.917,5,3.28,4,12.58,4,35.46,11,4.68,3.04,37,-11.17
WI Oshkosh,Wisconsin IAC,8-2,0.800,6,3.06,6,11.59,8,31.94,4,7.21,2.95,17,-3.43
Wesleyan CT,NESCAC,7-1,0.875,7,3.02,8,8.57,17,28.85,3,7.28,3.05,15,-2.14
Trinity CT,NESCAC,6-2,0.750,8,3.01,7,11.15,10,31.78,5,6.93,3.00,11,-1.34
WI Platteville,Wisconsin IAC,10-2,0.833,9,2.95,10,7.47,5,34.03,26,0.99,2.96,16,-2.75
Middlebury,NESCAC,7-1,0.875,10,2.94,9,7.92,13,29.97,9,5.50,2.97,14,-2.11
Amherst,NESCAC,7-1,0.875,11,2.92,12,6.79,35,24.44,2,9.90,2.95,10,-0.45
Bethel MN,Minnesota IAC,12-1,0.923,12,2.88,11,7.08,6,32.55,20,2.09,2.91,26,-8.91
St Thomas MN,Minnesota IAC,8-2,0.800,13,2.49,13,6.25,22,27.89,7,5.92,3.01,30,-9.86
Wheaton IL,Ill & Wisc,8-2,0.800,14,2.31,14,4.40,14,29.22,15,2.74,2.97,56,-13.39
John Carroll,Ohio AC,9-2,0.818,15,2.23,15,2.83,21,27.93,17,2.45,2.98,78,-15.79
Wesley DE,NCAA III Ind,10-3,0.769,16,2.21,16,1.01,20,27.96,31,0.61,2.82,25,-8.70
WI Stevens Pt,Wisconsin IAC,5-5,0.500,17,2.04,17,0.17,33,24.84,14,2.89,2.94,13,-1.70
St John Fisher,Empire 8,10-3,0.769,18,2.02,19,-0.32,26,26.24,25,1.00,2.85,27,-9.16
Wartburg,American Rivers,9-3,0.750,19,1.94,22,-1.55,30,25.20,28,0.80,2.82,43,-12.18
Heidelberg,Ohio AC,8-2,0.800,20,1.91,21,-0.91,9,31.89,70,-5.24,3.09,88,-18.51
Colby,NESCAC,4-4,0.500,21,1.90,20,-0.82,43,22.87,13,3.87,3.08,12,-1.37
Pac Lutheran,Northwest,8-2,0.800,22,1.87,33,-4.66,39,23.43,35,-0.54,2.88,22,-7.97
Wittenberg,North Coast AC,10-2,0.833,23,1.85,23,-2.51,12,30.08,67,-5.04,3.20,116,-20.84
Concordia Mhd,Minnesota IAC,8-2,0.800,24,1.83,30,-3.61,23,26.79,49,-2.85,2.88,35,-11.04
Bates,NESCAC,4-4,0.500,25,1.79,28,-3.44,56,21.70,18,2.42,2.88,9,-0.38
Williams,NESCAC,2-6,0.250,26,1.75,18,0.03,49,22.23,10,5.36,2.87,6,0.79
Johns Hopkins,Centennial,10-1,0.909,27,1.71,29,-3.47,24,26.45,45,-2.36,2.89,99,-19.94
IL Wesleyan,Ill & Wisc,9-2,0.818,28,1.63,40,-5.83,45,22.84,38,-1.12,2.80,46,-12.48
Central IA,American Rivers,6-4,0.600,29,1.62,25,-3.06,74,20.53,12,3.96,2.96,32,-10.32
Dubuque,American Rivers,5-5,0.500,30,1.60,24,-3.03,17,28.85,57,-4.32,2.97,23,-8.10
WI LaCrosse,Wisconsin IAC,3-7,0.300,31,1.59,27,-3.43,54,21.77,19,2.35,2.77,3,2.62
Coe,American Rivers,7-3,0.700,32,1.57,31,-3.89,48,22.72,27,0.94,2.87,50,-12.71
St John's MN,Minnesota IAC,7-3,0.700,33,1.55,44,-6.69,86,19.60,23,1.26,2.80,24,-8.46
Wabash,North Coast AC,9-1,0.900,34,1.55,26,-3.30,29,25.67,39,-1.42,3.07,190,-28.69
Redlands,Southern Cal IAC,7-3,0.700,35,1.53,38,-5.81,72,20.58,24,1.16,3.03,53,-13.01
Bowdoin,NESCAC,3-5,0.375,36,1.52,37,-5.72,77,20.43,22,1.41,2.87,7,0.73
Willamette,Northwest,7-2,0.778,37,1.52,34,-4.92,16,29.00,79,-6.37,2.84,73,-15.37
WI Stout,Wisconsin IAC,4-6,0.400,38,1.44,36,-5.45,42,23.04,37,-0.93,2.92,8,-0.36
Salisbury,Empire 8,7-4,0.636,39,1.44,32,-4.07,46,22.81,29,0.68,2.97,55,-13.30
Thomas More,Presidents' AC,9-1,0.900,40,1.42,35,-5.13,37,23.90,40,-1.48,3.12,164,-24.43
Gust Adolphus,Minnesota IAC,6-4,0.600,41,1.37,41,-6.33,47,22.80,41,-1.58,2.94,31,-10.13
Pacific OR,Northwest,7-3,0.700,42,1.34,46,-7.24,38,23.67,52,-3.35,3.06,70,-15.07
Louisiana Chr,American SW,7-3,0.700,43,1.30,43,-6.54,27,25.99,66,-4.97,2.98,63,-14.14
TX Lutheran,Southern CAC,8-1,0.889,44,1.30,51,-8.85,15,29.05,120,-10.35,3.09,101,-20.00
WI Eau Claire,Wisconsin IAC,2-8,0.200,45,1.28,39,-5.83,52,22.00,34,-0.27,2.84,4,2.04
Franklin,Heartland CAC,8-4,0.667,46,1.26,42,-6.42,28,25.92,62,-4.79,3.03,130,-22.49
Ithaca,Empire 8,9-3,0.750,47,1.22,55,-9.84,112,16.29,21,1.42,2.87,64,-14.17
Hobart & Smith,Liberty League,10-1,0.909,48,1.21,49,-8.70,65,21.15,44,-2.29,2.93,160,-24.29
Simpson IA,American Rivers,7-3,0.700,49,1.20,59,-10.78,36,23.95,85,-7.18,2.93,57,-13.43
Chapman,Southern Cal IAC,8-1,0.889,50,1.18,50,-8.78,31,25.13,78,-6.35,2.98,156,-23.94
Augsburg,Minnesota IAC,5-5,0.500,51,1.17,45,-7.13,25,26.34,75,-5.91,2.95,49,-12.66
Wash & Jeff,Presidents' AC,8-3,0.727,52,1.13,48,-8.65,44,22.87,56,-3.97,3.00,83,-17.55
Hampden-Sydney,Old Dominion AC,9-3,0.750,53,1.11,47,-7.89,34,24.50,63,-4.83,2.84,97,-19.86
Alfred,Empire 8,8-3,0.727,54,1.09,57,-10.32,55,21.75,60,-4.51,3.00,71,-15.28
Buena Vista,American Rivers,4-6,0.400,55,1.03,58,-10.75,76,20.44,53,-3.63,2.88,20,-6.59
