Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
New Hampshire,Atlantic 10,11-2,0.846,1,5.98,2,39.66,1,49.68,18,14.84,3.32,38,23.96
Appalachian St,Southern,12-3,0.800,2,5.77,6,36.49,10,43.48,8,17.87,3.22,12,29.36
Cal Poly,Great West,9-4,0.692,3,5.76,4,38.36,14,42.00,2,21.21,3.31,7,30.47
Massachusetts,Atlantic 10,7-4,0.636,4,5.69,5,37.80,26,40.24,1,22.42,3.18,8,30.27
James Madison,Atlantic 10,7-4,0.636,5,5.67,1,39.69,7,44.33,5,20.21,3.31,44,23.21
Northern Iowa,Gateway,11-4,0.733,6,5.63,13,35.33,13,42.86,10,17.33,3.25,14,29.11
E Washington,Big Sky,7-5,0.583,7,5.57,3,38.49,2,48.64,19,14.70,3.22,15,28.87
Richmond,Atlantic 10,9-4,0.692,8,5.56,11,35.88,19,40.93,6,19.81,3.20,11,29.58
Texas St,Southland,11-3,0.786,9,5.56,12,35.61,5,45.04,17,15.42,3.34,40,23.83
Montana,Big Sky,8-4,0.667,10,5.55,10,35.96,15,41.82,7,19.00,3.11,9,30.04
Hofstra,Atlantic 10,7-4,0.636,11,5.54,9,36.00,9,43.76,11,17.10,3.24,21,27.61
Furman,Southern,11-3,0.786,12,5.44,17,33.39,8,43.91,23,14.34,3.17,33,24.44
N Dakota St,Great West,7-4,0.636,13,5.41,7,36.39,22,40.65,4,20.59,3.35,28,25.37
Portland St,Big Sky,6-5,0.545,14,5.39,14,34.37,12,42.93,14,16.30,3.33,1,33.09
Ga Southern,Southern,8-4,0.667,15,5.37,8,36.37,3,48.00,33,13.22,3.31,46,22.62
S Illinois,Gateway,9-4,0.692,16,5.37,15,33.76,11,43.12,16,15.50,3.17,37,24.13
Montana St,Big Sky,7-4,0.636,17,5.26,21,30.99,30,39.73,15,16.12,3.26,5,31.18
UC Davis,Great West,6-5,0.545,18,5.26,19,32.78,42,36.99,3,20.64,3.17,2,31.73
Illinois St,Gateway,7-4,0.636,19,5.21,18,33.37,6,44.79,31,13.43,3.22,32,24.57
Delaware,Atlantic 10,6-5,0.545,20,5.13,20,31.94,24,40.27,12,16.53,3.08,17,28.56
William & Mary,Atlantic 10,5-6,0.455,21,5.12,16,33.70,4,45.61,36,12.95,3.36,23,27.26
Youngstown St,Gateway,8-3,0.727,22,5.12,22,30.44,41,37.46,9,17.84,3.31,36,24.21
Brown,Ivy League,9-1,0.900,23,5.07,28,28.31,16,41.62,47,11.55,3.19,59,18.81
Nicholls St,Southland,6-4,0.600,24,4.96,24,28.95,32,39.34,20,14.46,3.27,29,24.91
Harvard,Ivy League,7-3,0.700,25,4.87,23,30.10,17,41.13,28,13.83,3.14,49,21.92
S Dakota St,Great West,6-5,0.545,26,4.83,25,28.65,23,40.28,34,13.22,3.33,53,20.84
WKU,Gateway,6-5,0.545,27,4.83,26,28.44,18,41.05,43,12.24,3.12,30,24.69
Maine,Atlantic 10,5-6,0.455,28,4.79,32,27.22,39,37.78,24,14.30,3.13,16,28.83
Weber St,Big Sky,6-5,0.545,29,4.77,34,26.74,37,38.22,32,13.37,3.25,18,28.01
Princeton,Ivy League,7-3,0.700,30,4.76,31,27.55,47,36.01,13,16.40,3.09,51,21.37
