Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
North Greenville,Gulf South,4-6,0.400,57,4.67,60,8.78,81,29.94,47,7.28,2.25,22,13.62
New Haven,Northeast-10,9-3,0.750,58,4.66,73,5.17,83,29.64,75,3.97,2.27,98,1.01
Winona St,Northern Sun,8-3,0.727,59,4.65,64,8.12,64,32.28,73,4.28,2.26,117,-0.63
Shippensburg,Penn St AC,6-5,0.545,60,4.63,53,10.57,39,35.14,76,3.87,2.30,66,5.59
Bowie St,Central IAA,10-3,0.769,61,4.60,82,3.58,78,30.44,87,1.58,2.36,119,-0.67
CO Mesa,Rocky Mtn AC,7-4,0.636,62,4.59,65,7.98,31,36.53,103,-0.11,2.26,75,4.29
Henderson St,Great American,5-6,0.455,63,4.54,56,9.72,56,33.08,66,5.07,2.33,52,7.83
Chadron St,Rocky Mtn AC,7-3,0.700,64,4.54,75,4.88,52,33.22,100,0.10,2.29,92,2.33
Assumption,Northeast-10,6-4,0.600,65,4.54,40,13.41,34,35.91,58,5.94,2.28,128,-1.92
Truman St,Great Lakes Val,6-5,0.545,66,4.52,69,6.53,87,28.75,53,6.22,2.19,74,4.33
Ark Monticello,Great American,6-6,0.500,67,4.51,72,5.53,50,33.34,93,0.63,2.35,44,8.60
Newberry,South Atlantic,5-6,0.455,68,4.50,59,8.90,109,25.55,16,11.80,2.36,73,4.53
Bemidji St,Northern Sun,7-4,0.636,69,4.48,62,8.46,55,33.08,77,3.82,2.18,126,-1.71
W Oregon,Great Northwest,5-6,0.455,70,4.48,68,6.81,100,26.89,35,8.36,2.28,63,5.99
Utah Tech,Rocky Mtn AC,7-4,0.636,71,4.46,85,2.80,84,29.50,85,1.74,2.30,79,3.92
Edinboro,Penn St AC,6-5,0.545,72,4.44,70,6.52,75,30.77,74,4.19,2.31,87,2.96
Delta St,Gulf South,2-8,0.200,73,4.44,54,10.24,69,31.66,50,7.03,2.38,19,14.08
Tusculum,South Atlantic,5-5,0.500,74,4.43,77,4.36,105,26.09,51,6.71,2.37,68,5.43
Virginia Union,Central IAA,8-2,0.800,75,4.41,74,4.91,57,32.80,94,0.55,2.29,155,-7.91
Northwood MI,Great Lakes IAC,3-7,0.300,76,4.41,76,4.53,77,30.49,81,2.48,2.37,15,14.70
Augustana SD,Northern Sun,7-4,0.636,77,4.39,78,4.32,58,32.67,101,0.09,2.31,114,-0.33
Wayne St MI,Great Lakes IAC,2-9,0.182,78,4.34,55,9.93,49,33.70,68,4.67,2.38,24,13.12
Charleston WV,Mountain East,6-5,0.545,79,4.33,80,4.00,113,24.98,44,7.46,2.35,106,0.38
Albany GA,Southern IAC,7-4,0.636,80,4.32,83,3.27,99,27.05,70,4.66,2.36,130,-2.00
Bloomsburg,Penn St AC,6-5,0.545,81,4.31,88,2.32,114,24.87,59,5.89,2.31,97,1.19
Mercyhurst,Penn St AC,5-6,0.455,82,4.31,84,3.09,123,24.24,46,7.29,2.34,78,4.04
Arkansas Tech,Great American,3-8,0.273,83,4.27,67,7.19,94,27.71,42,7.92,2.36,47,8.23
NW Oklahoma St,Great American,4-7,0.364,84,4.27,79,4.12,80,29.97,80,2.59,2.35,50,8.05
N Michigan,Great Lakes IAC,3-8,0.273,85,4.27,71,6.12,66,32.12,82,2.44,2.47,36,9.69
McKendree,Great Lakes Val,6-5,0.545,86,4.18,86,2.68,43,34.49,126,-3.38,2.36,116,-0.48
Catawba,South Atlantic,4-7,0.364,87,4.17,81,3.94,70,31.53,90,0.85,2.30,71,4.87
TX A&M K'ville,Lone Star,4-7,0.364,88,4.15,87,2.36,79,30.28,95,0.52,2.32,65,5.68
St Cloud,Northern Sun,7-4,0.636,89,4.11,100,-2.81,128,23.60,83,2.03,2.25,141,-3.59
Moorhead St,Northern Sun,8-4,0.667,90,4.06,119,-5.56,102,26.34,128,-3.46,2.35,138,-3.05
OK Baptist,Great American,5-6,0.455,91,4.05,110,-4.41,63,32.30,145,-8.27,2.29,67,5.46
WV State,Mountain East,6-5,0.545,92,4.04,95,-1.02,73,31.35,132,-3.93,2.27,124,-1.70
Mississippi Col,Gulf South,3-7,0.300,93,4.01,94,-0.65,96,27.41,98,0.38,2.29,58,7.17
SW Oklahoma,Great American,3-8,0.273,94,4.00,91,0.20,85,29.33,105,-0.69,2.37,57,7.51
Walsh,Great Midwest,4-6,0.400,95,4.00,105,-3.26,139,21.88,79,3.30,2.44,84,3.27
Mars Hill,South Atlantic,4-6,0.400,96,3.97,98,-2.05,72,31.35,138,-4.96,2.39,82,3.60
S Dakota Tech,Rocky Mtn AC,5-6,0.455,97,3.97,93,-0.06,24,37.56,152,-9.19,2.35,110,-0.00
East Central OK,Great American,3-8,0.273,98,3.97,99,-2.81,119,24.48,89,1.15,2.40,45,8.47
Tuskegee,Southern IAC,5-5,0.500,99,3.95,89,0.65,129,23.59,60,5.51,2.29,150,-6.80
Clarion,Penn St AC,4-7,0.364,100,3.94,103,-2.89,146,20.39,63,5.16,2.35,99,0.99
UVA-Wise,Mountain East,4-6,0.400,101,3.92,106,-3.52,147,20.33,71,4.59,2.31,102,0.61
Southern Nazarene,Great American,3-8,0.273,102,3.91,112,-4.75,131,23.35,99,0.34,2.31,41,8.94
Chowan,Central IAA,6-4,0.600,103,3.91,109,-4.27,62,32.55,147,-8.38,2.38,144,-4.73
Pace,Northeast-10,7-3,0.700,104,3.90,138,-10.49,145,20.43,119,-2.49,2.35,143,-4.53
Glenville St,Mountain East,5-6,0.455,105,3.89,115,-4.94,118,24.54,108,-1.03,2.33,118,-0.65
Permian Basin,Lone Star,2-9,0.182,106,3.88,97,-1.93,107,25.74,91,0.78,2.28,34,9.90
Virginia St,Central IAA,4-5,0.444,107,3.87,92,-0.02,92,27.78,92,0.64,2.28,149,-6.15
Morehouse,Southern IAC,7-3,0.700,108,3.86,131,-9.07,136,22.28,123,-2.91,2.36,156,-7.95
Miles,Southern IAC,5-6,0.455,109,3.83,104,-3.01,103,26.24,106,-0.80,2.32,142,-3.67
Merrimack,Northeast-10,5-5,0.500,110,3.83,121,-6.09,122,24.32,115,-1.98,2.28,137,-2.95
Ald-Broaddus,Great Midwest,4-7,0.364,111,3.81,101,-2.84,45,34.28,149,-8.68,2.29,101,0.71
W Salem St,Central IAA,5-4,0.556,112,3.80,107,-3.73,132,23.31,88,1.40,2.23,161,-9.57
Concordia SP,Northern Sun,5-6,0.455,113,3.80,124,-6.83,141,21.14,96,0.48,2.27,129,-1.97
Humboldt St,Great Northwest,2-8,0.200,114,3.78,96,-1.22,89,28.41,110,-1.19,2.42,69,5.22
S Connecticut,Northeast-10,4-6,0.400,115,3.78,102,-2.85,112,25.16,97,0.43,2.30,140,-3.53
Urbana,Mountain East,5-6,0.455,116,3.77,126,-7.74,140,21.73,107,-1.02,2.33,132,-2.20
Fayetteville St,Central IAA,6-3,0.667,117,3.76,125,-6.91,116,24.63,125,-3.11,2.31,163,-11.41
Gannon,Penn St AC,2-9,0.182,118,3.76,90,0.27,71,31.44,120,-2.74,2.30,81,3.79
Bentley,Northeast-10,4-6,0.400,119,3.72,120,-5.78,124,24.12,113,-1.45,2.37,131,-2.09
Benedict,Southern IAC,6-3,0.667,120,3.72,134,-10.05,158,16.68,86,1.71,2.17,162,-10.99
SW Minnesota,Northern Sun,4-7,0.364,121,3.72,108,-4.27,111,25.38,111,-1.21,2.30,134,-2.38
Wayne St NE,Northern Sun,3-8,0.273,122,3.67,118,-5.54,133,22.85,102,0.05,2.29,100,0.79
Upper Iowa,Northern Sun,3-8,0.273,123,3.65,114,-4.85,110,25.44,114,-1.85,2.37,109,0.11
NM Highlands,Rocky Mtn AC,4-7,0.364,124,3.64,132,-9.23,101,26.55,142,-7.34,2.40,105,0.39
Western St CO,Rocky Mtn AC,2-9,0.182,125,3.63,111,-4.72,138,21.94,84,1.79,2.34,80,3.79
Adams St,Rocky Mtn AC,4-7,0.364,126,3.60,129,-8.36,38,35.50,165,-15.42,2.43,112,-0.25
Quincy,Great Lakes Val,4-7,0.364,127,3.60,143,-11.14,153,18.71,112,-1.41,2.39,111,-0.11
West Liberty,Mountain East,3-8,0.273,128,3.60,123,-6.55,108,25.66,130,-3.78,2.38,113,-0.30
E Stroudsburg,Penn St AC,2-9,0.182,129,3.56,116,-4.97,91,27.78,135,-4.31,2.33,88,2.86
Northern St SD,Northern Sun,4-7,0.364,130,3.53,128,-8.33,137,22.28,117,-2.17,2.35,147,-5.53
Black Hills St,Rocky Mtn AC,3-8,0.273,131,3.53,130,-9.00,126,23.73,134,-4.29,2.44,108,0.19
Lincoln MO,Great Lakes Val,3-8,0.273,132,3.49,145,-11.74,152,18.81,116,-2.11,2.41,91,2.56
Shaw NC,Central IAA,5-5,0.500,133,3.48,148,-13.37,151,18.98,131,-3.91,2.34,153,-7.29
MO Southern,Mid America IAA,1-10,0.091,134,3.46,140,-10.78,135,22.62,139,-4.96,2.52,13,15.38
NC Pembroke,South Atlantic,2-8,0.200,135,3.46,122,-6.30,120,24.38,118,-2.25,2.40,123,-1.34
W New Mexico,Lone Star,0-10,0.000,136,3.45,113,-4.77,97,27.15,129,-3.48,2.34,21,13.98
Ft Lewis,Rocky Mtn AC,1-9,0.100,137,3.41,117,-5.25,130,23.47,104,-0.27,2.36,96,1.24
Central St OH,Southern IAC,5-5,0.500,138,3.38,152,-14.59,142,20.66,141,-6.81,2.35,160,-9.56
Fort Valley St,Southern IAC,2-8,0.200,139,3.36,136,-10.23,150,19.40,109,-1.19,2.33,120,-0.77
Clark Atlanta,Southern IAC,3-7,0.300,140,3.34,141,-10.78,144,20.46,121,-2.80,2.28,148,-6.09
Stonehill,Northeast-10,2-8,0.200,141,3.29,135,-10.09,117,24.60,140,-6.25,2.37,136,-2.59
Wm Jewell,Great Lakes Val,1-9,0.100,142,3.28,133,-9.90,134,22.68,133,-4.15,2.23,76,4.20
Lock Haven,Penn St AC,2-9,0.182,143,3.26,149,-13.83,121,24.36,155,-9.75,2.35,89,2.66
Millersville,Penn St AC,2-9,0.182,144,3.21,153,-15.36,154,17.94,136,-4.86,2.33,95,1.58
Malone,Great Midwest,2-8,0.200,145,3.20,142,-11.03,88,28.51,161,-11.09,2.39,139,-3.37
