Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NC State,Atlantic Coast,5-7,0.417,60,6.84,60,46.30,40,52.11,82,19.56,2.72,64,45.57
Kansas St,Big 12,6-6,0.500,61,6.82,63,46.01,77,47.38,55,24.00,2.79,57,46.42
Purdue,Big 10,5-7,0.417,62,6.81,56,47.12,49,50.45,68,22.04,2.71,43,47.68
Iowa St,Big 12,7-6,0.538,63,6.78,72,44.82,89,45.58,52,24.62,2.65,60,45.79
Baylor,Big 12,4-8,0.333,64,6.74,70,45.02,80,47.08,60,23.31,2.64,21,50.10
Virginia,Atlantic Coast,3-9,0.250,65,6.73,59,46.67,83,46.65,44,25.40,2.58,3,51.88
Michigan,Big 10,5-7,0.417,66,6.72,62,46.10,48,50.53,77,20.94,2.74,73,43.77
Duke,Atlantic Coast,5-7,0.417,67,6.70,71,44.92,65,48.24,67,22.05,2.57,61,45.77
UCF,Conference USA,8-5,0.615,68,6.69,74,44.56,87,46.28,57,23.65,2.74,85,41.83
MTSU,Sun Belt,10-3,0.769,69,6.67,78,43.40,67,48.12,78,20.65,2.82,110,37.96
Nevada,Western Athletic,8-5,0.615,70,6.63,68,45.17,25,53.44,99,17.10,2.92,91,40.79
Southern Miss,Conference USA,7-6,0.538,71,6.61,67,45.23,44,50.89,81,19.71,2.84,103,39.05
Troy,Sun Belt,9-4,0.692,72,6.58,76,43.64,42,51.96,101,17.05,2.89,97,40.08
Temple,Mid-American,9-4,0.692,73,6.57,77,43.58,75,47.53,75,21.42,2.75,107,38.54
Fresno St,Western Athletic,8-5,0.615,74,6.54,79,42.88,45,50.89,97,17.37,2.77,88,41.23
Colorado,Big 12,3-9,0.250,75,6.49,66,45.26,72,47.87,62,22.76,2.68,35,48.98
Illinois,Big 10,3-9,0.250,76,6.47,69,45.09,63,48.74,73,21.71,2.74,45,47.66
Vanderbilt,Southeastern,2-10,0.167,77,6.44,64,45.58,98,43.78,31,27.17,2.60,34,48.99
SMU,Conference USA,8-5,0.615,78,6.42,82,41.12,68,48.04,88,18.45,2.62,90,40.87
Wyoming,Mountain West,7-6,0.538,79,6.41,88,40.21,101,43.20,63,22.38,2.58,55,46.79
Maryland,Atlantic Coast,2-10,0.167,80,6.41,73,44.77,71,47.89,65,22.24,2.62,24,49.82
Tulsa,Conference USA,5-7,0.417,81,6.31,75,43.67,52,49.97,84,19.07,2.64,92,40.68
Syracuse,Big East,4-8,0.333,82,6.30,81,41.34,90,45.49,76,21.21,2.72,53,46.90
Marshall,Conference USA,7-6,0.538,83,6.30,83,40.91,100,43.45,61,22.83,2.73,83,42.29
Louisville,Big East,4-8,0.333,84,6.28,86,40.60,95,44.22,72,21.75,2.58,58,46.19
Indiana,Big 10,4-8,0.333,85,6.21,84,40.78,76,47.49,86,18.66,2.68,62,45.59
Ohio,Mid-American,9-5,0.643,86,6.21,91,38.99,107,42.28,66,22.08,2.78,106,38.68
Bowling Green,Mid-American,7-6,0.538,87,6.19,85,40.65,73,47.86,90,18.17,2.70,100,39.60
Louisiana Tech,Western Athletic,4-8,0.333,88,6.15,80,41.91,82,46.89,79,20.39,2.86,89,41.11
UNLV,Mountain West,5-7,0.417,89,6.15,89,39.51,78,47.18,93,17.71,2.73,70,44.86
N Illinois,Mid-American,7-6,0.538,90,6.09,87,40.42,97,43.90,70,21.89,2.85,119,36.47
UAB,Conference USA,5-7,0.417,91,6.01,94,38.08,81,47.00,104,16.45,2.83,81,42.58
Idaho,Western Athletic,8-5,0.615,92,5.97,98,35.16,57,49.57,117,10.96,2.81,94,40.24
Buffalo,Mid-American,5-7,0.417,93,5.92,90,39.29,93,44.54,80,20.13,2.69,111,37.90
Utah St,Western Athletic,4-8,0.333,94,5.88,93,38.58,74,47.55,105,16.41,2.71,82,42.32
Colorado St,Mountain West,3-9,0.250,95,5.87,92,38.81,91,45.16,85,19.02,2.68,65,45.34
San Diego St,Mountain West,4-8,0.333,96,5.79,96,36.91,92,44.80,95,17.48,2.69,75,43.66
Hawaii,Western Athletic,6-7,0.462,97,5.75,97,35.21,103,42.89,94,17.70,2.58,101,39.41
UTEP,Conference USA,4-8,0.333,98,5.69,95,37.29,66,48.17,112,14.50,2.82,95,40.19
ULM,Sun Belt,6-6,0.500,99,5.64,101,34.51,105,42.79,100,17.10,2.72,115,37.62
FL Atlantic,Sun Belt,5-7,0.417,100,5.59,100,34.71,88,45.73,113,14.35,2.72,102,39.21
W Michigan,Mid-American,5-7,0.417,101,5.57,99,34.85,104,42.85,96,17.37,2.72,117,37.34
Toledo,Mid-American,5-7,0.417,102,5.54,108,32.67,85,46.55,115,11.49,2.71,96,40.09
Army,FBS Indep,5-7,0.417,103,5.47,106,32.99,119,36.69,74,21.67,2.66,109,38.14
