Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Missouri,Southeastern,6-7,0.462,+1,57,7.58,51,59.75,66,54.76,34,32.21,2.36,41,60.27
Boise St,Mountain West,10-4,0.714,-1,58,7.55,56,58.76,60,55.50,45,30.48,2.19,81,50.05
UT San Antonio,Conference USA,11-3,0.786,,59,7.52,70,55.02,50,56.87,89,25.37,2.20,85,49.33
James Madison,Sun Belt,8-3,0.727,+2,60,7.47,62,57.36,53,56.20,65,28.37,2.21,96,48.36
Memphis,American Athletic,7-6,0.538,-1,61,7.46,52,59.64,44,58.13,59,28.73,2.32,71,53.80
SMU,American Athletic,7-6,0.538,+2,62,7.46,58,58.54,23,62.05,96,23.70,2.34,62,56.47
Kansas,Big 12,6-7,0.462,-2,63,7.46,63,57.07,21,62.28,109,22.00,2.19,30,61.18
East Carolina,American Athletic,8-5,0.615,-1,64,7.43,67,56.01,45,57.91,90,25.32,2.23,73,53.38
WKU,Conference USA,9-5,0.643,,65,7.40,61,57.42,42,58.39,80,26.25,2.15,82,49.60
Nebraska,Big 10,4-8,0.333,,66,7.36,55,58.85,55,55.83,46,30.23,2.18,39,60.32
Marshall,Sun Belt,9-4,0.692,,67,7.35,75,53.50,113,48.34,31,32.37,2.11,103,47.49
Indiana,Big 10,4-8,0.333,,68,7.29,69,55.05,61,55.15,72,27.12,2.24,25,61.93
South Alabama,Sun Belt,10-3,0.769,,69,7.27,85,50.47,87,51.84,83,25.84,2.28,110,46.70
Georgia Tech,Atlantic Coast,5-7,0.417,,70,7.24,84,50.80,102,49.57,64,28.45,2.25,47,59.71
Miami FL,Atlantic Coast,5-7,0.417,,71,7.23,68,55.43,74,53.58,58,29.06,2.23,69,55.15
California,Pac 12,4-8,0.333,,72,7.22,64,56.28,80,52.62,42,30.87,2.24,55,57.65
Arizona,Pac 12,5-7,0.417,,73,7.20,79,52.48,49,56.99,102,22.70,2.31,52,58.30
Ohio,Mid-American,10-4,0.714,+1,74,7.18,93,49.05,78,53.15,99,23.12,2.18,100,47.75
Navy,American Athletic,4-8,0.333,+1,75,7.14,73,54.34,96,50.93,43,30.62,2.20,63,56.19
Vanderbilt,Southeastern,5-7,0.417,+3,76,7.14,90,49.99,75,53.48,95,23.73,2.16,49,58.94
Appalachian St,Sun Belt,6-6,0.500,+1,77,7.13,66,56.05,40,58.77,92,24.49,2.22,87,49.19
Toledo,Mid-American,9-5,0.643,-4,78,7.13,86,50.43,93,51.33,78,26.31,2.28,123,45.34
Coastal Car,Sun Belt,9-4,0.692,+4,79,7.13,94,48.63,63,54.86,114,20.99,2.13,92,48.72
UAB,Conference USA,7-6,0.538,-3,80,7.11,77,53.02,85,51.93,67,28.30,2.26,97,47.97
Rutgers,Big 10,4-8,0.333,-1,81,7.11,88,50.22,107,49.13,66,28.31,2.24,44,59.96
Arizona St,Pac 12,3-9,0.250,-1,82,7.08,65,56.12,65,54.84,61,28.49,2.23,58,57.38
Tulsa,American Athletic,5-7,0.417,-1,83,7.07,78,52.69,57,55.78,94,24.12,2.15,74,53.33
Stanford,Pac 12,3-9,0.250,+1,84,7.05,81,52.11,86,51.86,71,27.46,2.28,45,59.91
San Diego St,Mountain West,7-6,0.538,+3,85,7.05,83,51.09,111,48.59,52,29.72,2.13,94,48.46
Virginia,Atlantic Coast,3-7,0.300,+1,86,7.04,76,53.32,94,51.17,56,29.37,2.26,65,55.81
Liberty,FBS Indep,8-5,0.615,+4,87,7.03,87,50.41,84,52.08,87,25.54,2.10,114,46.40
Army,FBS Indep,6-6,0.500,-4,88,7.03,74,53.60,79,52.67,70,28.14,2.12,108,46.93
Louisiana,Sun Belt,6-7,0.462,+1,89,7.03,72,54.41,90,51.64,48,29.98,2.21,95,48.40
MTSU,Conference USA,8-5,0.615,-4,90,7.01,97,47.42,92,51.58,100,23.06,2.29,112,46.46
E Michigan,Mid-American,9-4,0.692,-2,91,7.00,103,46.02,82,52.20,112,21.03,2.11,129,44.71
Wyoming,Mountain West,7-6,0.538,,92,6.97,95,47.86,109,48.80,79,26.27,2.21,86,49.20
Southern Miss,Sun Belt,7-6,0.538,,93,6.93,101,46.46,117,47.33,77,26.34,2.20,104,47.45
San Jose St,Mountain West,7-5,0.583,+4,94,6.88,99,47.13,100,50.17,93,24.18,2.21,113,46.42
Boston College,Atlantic Coast,3-9,0.250,-1,95,6.87,89,50.01,95,51.04,81,26.19,2.28,61,56.60
Virginia Tech,Atlantic Coast,3-8,0.273,-1,96,6.86,82,51.44,99,50.18,63,28.47,2.32,75,53.28
Northwestern,Big 10,1-11,0.083,,97,6.84,80,52.42,105,49.41,47,30.23,2.22,16,63.40
North Texas,Conference USA,7-7,0.500,+2,98,6.84,96,47.66,67,54.59,118,20.28,2.29,99,47.80
Utah St,Mountain West,6-7,0.462,,99,6.82,100,46.68,89,51.65,107,22.25,2.20,83,49.47
Ga Southern,Sun Belt,6-7,0.462,+2,100,6.82,98,47.15,76,53.23,111,21.14,2.30,93,48.70
Buffalo,Mid-American,7-6,0.538,-5,101,6.82,102,46.40,97,50.37,98,23.24,2.24,127,44.93
FL Atlantic,Conference USA,5-7,0.417,-1,102,6.81,91,49.99,88,51.66,86,25.54,2.32,101,47.62
Georgia St,Sun Belt,4-8,0.333,,103,6.76,92,49.48,71,54.06,103,22.64,2.12,79,50.32
Miami OH,Mid-American,6-7,0.462,,104,6.75,104,45.88,119,46.62,75,26.47,2.22,111,46.65
W Michigan,Mid-American,5-7,0.417,,105,6.70,105,45.79,121,46.51,74,26.50,2.24,105,47.15
Kent,Mid-American,5-7,0.417,,106,6.67,106,45.75,81,52.51,116,20.45,2.26,98,47.95
UNLV,Mountain West,5-7,0.417,,107,6.61,109,43.56,101,49.79,115,20.99,2.20,102,47.56
Ball St,Mid-American,5-7,0.417,,108,6.57,110,43.30,118,47.23,97,23.28,2.21,124,45.31
Old Dominion,Sun Belt,3-9,0.250,,109,6.55,111,43.06,126,45.19,91,25.08,2.20,77,51.78
Connecticut,FBS Indep,6-7,0.462,,110,6.53,124,38.99,125,45.22,113,20.99,2.24,106,47.08
UTEP,Conference USA,5-7,0.417,+1,111,6.49,117,41.84,120,46.53,104,22.53,2.18,128,44.84
C Michigan,Mid-American,4-8,0.333,-1,112,6.49,107,45.10,103,49.56,101,22.75,2.18,121,45.53
ULM,Sun Belt,4-8,0.333,,113,6.45,121,40.44,108,49.00,123,18.66,2.33,89,49.10
Bowling Green,Mid-American,6-7,0.462,+5,114,6.44,127,36.99,122,45.77,124,18.44,2.21,116,46.23
Rice,Conference USA,5-8,0.385,+3,115,6.43,122,39.76,114,48.10,121,18.88,2.22,109,46.88
Colorado St,Mountain West,3-9,0.250,,116,6.43,119,41.41,128,43.04,85,25.59,2.24,78,50.37
Colorado,Pac 12,1-11,0.083,-2,117,6.43,114,42.67,104,49.45,117,20.43,2.38,34,60.89
Temple,American Athletic,3-9,0.250,-1,118,6.42,115,42.59,116,47.55,106,22.26,2.29,90,49.08
New Mexico St,FBS Indep,7-6,0.538,-5,119,6.41,125,38.35,124,45.43,119,20.13,2.27,131,39.82
Texas St,Sun Belt,4-8,0.333,,120,6.40,120,40.46,123,45.55,108,22.12,2.27,118,46.11
Arkansas St,Sun Belt,3-9,0.250,,121,6.29,116,42.17,98,50.29,120,19.09,2.29,115,46.24
N Illinois,Mid-American,3-9,0.250,,122,6.28,113,42.68,91,51.63,125,18.26,2.16,125,45.29
Nevada,Mountain West,2-10,0.167,,123,6.27,112,42.94,110,48.66,110,21.50,2.30,91,48.89
South Florida,American Athletic,1-11,0.083,,124,6.24,108,44.21,68,54.46,127,16.97,2.24,76,52.64
Louisiana Tech,Conference USA,3-9,0.250,,125,6.24,118,41.45,83,52.14,128,16.53,2.23,119,45.88
Hawaii,Mountain West,3-10,0.231,,126,6.19,123,39.28,115,47.66,122,18.83,2.26,117,46.18
Charlotte,Conference USA,3-9,0.250,,127,6.11,126,37.11,112,48.40,130,15.92,2.25,120,45.67
New Mexico,Mountain West,2-10,0.167,,128,6.08,128,35.62,130,40.31,105,22.52,2.24,84,49.38
Florida Intl,Conference USA,4-8,0.333,,129,5.93,130,29.95,129,42.17,131,15.00,2.34,130,41.47
Akron,Mid-American,2-10,0.167,,130,5.92,129,34.98,127,44.93,126,17.26,2.23,122,45.52
Massachusetts,FBS Indep,1-11,0.083,,131,5.50,131,27.88,131,38.58,129,16.51,2.35,126,45.21
