Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,15-0,1.000,1,6.76,1,49.80,1,50.94,1,26.53,2.65,10,22.01
Ferris St,Great Lakes IAC,12-3,0.800,2,5.02,2,33.41,2,46.80,4,14.27,2.55,14,20.14
Grand Valley St,Great Lakes IAC,12-1,0.923,3,5.01,4,31.75,4,46.01,9,13.40,2.54,23,15.42
Emporia St,Mid America IAA,11-2,0.846,4,4.98,6,30.41,9,43.91,5,14.15,2.49,1,23.69
North Alabama,Gulf South,11-2,0.846,5,4.96,3,32.10,15,41.28,2,18.48,2.62,22,15.53
C Missouri,Mid America IAA,9-3,0.750,6,4.67,7,29.31,5,45.14,12,11.83,2.44,11,21.78
Ashland,Great Lakes IAC,9-2,0.818,7,4.65,5,30.62,6,44.72,8,13.56,2.63,35,11.57
Sioux Falls,Northern Sun,12-1,0.923,8,4.57,10,26.87,13,42.13,10,12.40,2.50,31,13.10
Harding,Great American,13-1,0.929,9,4.47,11,25.26,20,39.09,7,13.83,2.58,62,8.47
Fort Hays St,Mid America IAA,8-4,0.667,10,4.40,9,27.20,25,38.80,3,16.06,2.48,12,21.06
California PA,Penn St AC,11-1,0.917,11,4.37,8,27.28,7,44.20,19,10.74,2.63,97,3.45
Pittsburg St,Mid America IAA,7-4,0.636,12,4.25,12,25.19,3,46.65,47,6.20,2.39,9,22.31
Shepherd,Mountain East,13-1,0.929,13,4.08,18,22.03,21,39.03,20,10.66,2.41,89,4.46
TX A&M Commerce,Lone Star,10-2,0.833,14,4.00,14,23.07,16,41.16,26,9.57,2.46,46,10.31
Indiana PA,Penn St AC,10-2,0.833,15,3.96,17,22.63,14,41.29,28,8.99,2.46,87,5.04
Bemidji St,Northern Sun,9-3,0.750,16,3.94,15,23.04,11,42.88,32,7.82,2.42,58,8.67
MN Mankato,Northern Sun,8-3,0.727,17,3.91,16,22.87,22,39.02,16,11.50,2.35,32,12.25
Wayne St MI,Great Lakes IAC,7-4,0.636,18,3.90,21,21.26,27,38.42,21,10.50,2.60,17,16.81
Washburn,Mid America IAA,7-5,0.583,19,3.86,26,20.10,37,36.99,18,10.78,2.41,8,22.38
OH Dominican,Great Lakes IAC,7-4,0.636,20,3.85,22,21.08,36,37.07,13,11.67,2.41,18,16.61
MO Western,Mid America IAA,4-7,0.364,21,3.80,13,23.62,17,39.62,14,11.66,2.46,7,22.42
Winona St,Northern Sun,8-3,0.727,22,3.79,20,21.42,33,37.75,17,11.33,2.54,57,8.84
Colorado Mines,Rocky Mtn AC,10-3,0.769,23,3.78,19,21.63,8,44.07,59,5.22,2.53,60,8.57
Findlay,Great Lakes IAC,6-5,0.545,24,3.77,23,21.02,18,39.48,27,9.21,2.42,15,18.58
Augustana SD,Northern Sun,8-3,0.727,25,3.76,24,20.91,12,42.38,48,6.19,2.40,51,9.40
