Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,15-0,1.000,1,6.57,1,44.30,1,51.77,1,20.09,3.11,2,19.10
Pittsburg St,Mid America IAA,10-2,0.833,2,5.28,2,32.79,3,45.29,2,15.06,2.94,22,11.95
MN Mankato,Northern Sun,11-1,0.917,3,4.93,6,28.92,8,43.67,5,12.81,2.94,38,9.64
MN Duluth,Northern Sun,11-2,0.846,4,4.92,3,29.66,7,43.76,4,13.46,3.23,27,10.66
MO Western,Mid America IAA,8-3,0.727,5,4.91,5,29.23,5,44.67,8,12.12,2.89,6,17.30
Grand Valley St,Great Lakes IAC,12-3,0.800,6,4.77,7,27.39,13,42.36,6,12.59,3.18,8,16.60
C Missouri,Mid America IAA,6-4,0.600,7,4.66,4,29.33,9,43.14,3,13.74,2.89,9,15.96
St Cloud,Northern Sun,12-2,0.857,8,4.63,13,23.98,11,42.96,26,8.58,3.03,19,12.23
W Texas A&M,Lone Star,11-3,0.786,9,4.60,8,27.00,4,44.84,18,9.72,2.94,25,10.96
North Alabama,Gulf South,10-3,0.769,10,4.56,9,26.18,12,42.37,10,11.36,2.78,17,12.89
Henderson St,Great American,11-1,0.917,11,4.51,10,24.86,2,46.53,44,5.88,3.07,101,2.88
OH Dominican,Great Lakes IAC,10-1,0.909,12,4.50,15,23.17,26,38.56,7,12.17,3.08,26,10.67
Emporia St,Mid America IAA,9-2,0.818,13,4.39,17,21.45,14,42.01,35,7.00,2.94,15,13.86
West Alabama,Gulf South,8-3,0.727,14,4.36,12,24.36,6,44.26,31,7.65,3.10,92,3.81
Ferris St,Great Lakes IAC,8-3,0.727,15,4.35,14,23.41,10,42.99,30,7.98,2.93,5,17.31
Washburn,Mid America IAA,8-3,0.727,16,4.35,11,24.55,15,41.74,14,10.37,2.99,34,9.97
Saginaw Val,Great Lakes IAC,9-3,0.750,17,4.27,21,20.14,16,41.51,42,6.18,3.02,7,17.24
CSU-Pueblo,Rocky Mtn AC,11-1,0.917,18,4.26,18,21.16,19,40.18,27,8.53,2.98,82,4.69
Lenoir-Rhyne,South Atlantic,13-2,0.867,19,4.16,19,20.96,30,37.28,11,11.24,3.14,71,5.86
Midwest TX St,Lone Star,7-3,0.700,20,4.10,16,22.68,18,40.68,20,9.55,3.13,41,9.41
Tarleton St,Lone Star,7-3,0.700,21,4.00,22,18.41,24,38.86,32,7.10,2.83,11,15.38
Harding,Great American,9-2,0.818,22,3.99,20,20.82,21,39.78,25,8.60,2.95,100,2.93
MO Southern,Mid America IAA,7-3,0.700,23,3.93,23,18.17,37,35.72,15,10.01,3.02,37,9.77
West Chester,Penn St AC,13-2,0.867,24,3.76,29,16.02,32,36.99,39,6.59,3.03,95,3.24
Michigan Tech,Great Lakes IAC,6-4,0.600,25,3.68,27,16.62,36,35.89,28,8.28,2.91,16,13.29
Indiana PA,Penn St AC,9-2,0.818,26,3.66,26,17.21,48,33.85,12,10.92,2.99,120,-0.95
Valdosta St,Gulf South,6-4,0.600,27,3.65,25,17.80,20,39.79,50,5.57,2.89,43,9.23
Indianapolis,Great Lakes Val,10-2,0.833,28,3.64,33,15.36,71,30.98,9,11.94,2.95,111,-0.04
NC Pembroke,NCAA II Ind,9-2,0.818,29,3.61,36,14.12,45,34.57,34,7.10,2.99,74,5.52
Hillsdale,Great Lakes IAC,5-6,0.455,30,3.61,24,17.90,38,35.47,17,9.98,2.89,13,14.55
Slippery Rock,Penn St AC,9-3,0.750,31,3.59,28,16.34,22,39.76,61,4.14,3.08,68,6.53
W Salem St,Central IAA,10-2,0.833,32,3.57,30,15.91,58,32.79,13,10.68,2.93,121,-0.97
Findlay,Great Lakes IAC,8-3,0.727,33,3.56,32,15.49,29,38.04,54,5.00,3.05,60,7.56
Delta St,Gulf South,7-3,0.700,34,3.56,35,14.40,23,39.30,76,2.65,3.02,63,6.90
Carson-Newman,South Atlantic,10-3,0.769,35,3.53,34,14.64,28,38.24,62,3.96,2.97,66,6.55
Shepherd,Mountain East,11-1,0.917,36,3.46,45,12.30,76,30.39,21,9.46,2.98,122,-0.97
Bloomsburg,Penn St AC,10-2,0.833,37,3.42,44,12.44,31,37.01,71,2.98,2.94,107,0.77
Ashland,Great Lakes IAC,5-5,0.500,38,3.40,31,15.81,44,34.64,24,8.73,2.82,33,10.00
Azusa Pacific,Great Northwest,10-2,0.833,39,3.33,55,10.54,68,31.17,36,6.93,2.92,90,4.05
Chadron St,Rocky Mtn AC,8-3,0.727,40,3.33,38,13.55,46,34.46,38,6.64,2.87,93,3.51
Ouachita,Great American,7-3,0.700,41,3.30,43,12.54,39,35.30,55,4.80,2.98,97,3.22
Fort Hays St,Mid America IAA,6-5,0.545,42,3.29,42,12.74,33,36.76,67,3.53,2.98,29,10.34
E New Mexico,Lone Star,7-3,0.700,43,3.28,57,10.30,47,33.92,63,3.93,2.90,51,8.61
California PA,Penn St AC,7-4,0.636,44,3.25,41,12.88,69,31.15,22,9.29,3.02,87,4.22
Winona St,Northern Sun,6-5,0.545,45,3.25,37,14.10,25,38.84,75,2.82,2.91,49,8.67
Sioux Falls,Northern Sun,6-5,0.545,46,3.24,39,13.17,43,34.90,46,5.82,2.92,32,10.02
Colorado Mines,Rocky Mtn AC,8-3,0.727,47,3.20,40,12.92,52,33.38,33,7.10,3.01,106,0.88
West Georgia,Gulf South,6-5,0.545,48,3.17,49,11.29,53,33.25,49,5.59,3.01,46,8.91
SW Minnesota,Northern Sun,7-5,0.583,49,3.17,51,10.72,17,41.45,126,-3.18,2.86,24,10.96
N Michigan,Great Lakes IAC,3-7,0.300,50,3.14,47,11.37,56,33.07,45,5.86,3.02,4,17.63
W Oregon,Great Northwest,7-4,0.636,51,3.11,48,11.31,50,33.55,52,5.32,2.93,53,8.44
Newberry,South Atlantic,9-3,0.750,52,3.08,60,8.86,63,31.81,57,4.60,3.00,80,5.01
S Arkansas,Great American,6-4,0.600,53,3.07,46,12.22,42,35.02,56,4.75,3.00,96,3.24
Angelo St,Lone Star,5-6,0.455,54,3.05,53,10.60,49,33.81,59,4.35,2.89,23,11.01
Shippensburg,Penn St AC,7-4,0.636,55,3.05,54,10.59,34,36.69,89,1.45,2.93,105,1.36
C Washington,Great Northwest,7-4,0.636,56,2.98,52,10.67,89,28.63,19,9.60,2.74,78,5.09
Tuskegee,Southern IAC,8-3,0.727,57,2.97,56,10.38,80,29.75,29,8.18,2.91,123,-1.02
TX A&M Commerce,Lone Star,7-5,0.583,58,2.95,62,7.98,54,33.11,80,2.43,2.95,59,7.64
Mercyhurst,Penn St AC,7-4,0.636,59,2.92,59,9.92,60,32.14,51,5.33,2.92,116,-0.35
Wayne St MI,Great Lakes IAC,3-8,0.273,60,2.91,58,10.07,72,30.78,37,6.85,2.98,14,14.25
Mary ND,Northern Sun,6-5,0.545,61,2.89,61,8.34,78,30.19,47,5.71,2.98,55,8.14
Augustana SD,Northern Sun,4-7,0.364,62,2.79,50,10.86,94,28.42,16,10.00,2.95,48,8.68
Upper Iowa,Northern Sun,6-5,0.545,63,2.76,71,5.09,64,31.70,95,0.95,2.91,31,10.20
SW Oklahoma,Great American,6-5,0.545,64,2.74,66,6.72,75,30.44,64,3.83,2.89,76,5.44
Concord,Mountain East,8-3,0.727,65,2.72,65,6.92,116,25.61,23,8.87,2.96,135,-3.04
Truman St,Great Lakes Val,7-4,0.636,66,2.64,64,7.35,91,28.61,41,6.30,2.79,124,-1.13
E Stroudsburg,Penn St AC,7-4,0.636,67,2.60,68,6.30,41,35.03,111,-1.17,2.94,128,-2.14
New Haven,Northeast-10,8-3,0.727,68,2.60,63,7.55,51,33.39,88,1.71,2.99,154,-5.55
East Central OK,Great American,5-5,0.500,69,2.59,69,6.01,74,30.62,72,2.94,2.96,91,3.92
Concordia SP,Northern Sun,5-6,0.455,70,2.59,78,3.75,111,26.20,53,5.10,2.84,36,9.88
Gannon,Penn St AC,6-5,0.545,71,2.54,81,3.49,62,31.83,104,-0.79,2.98,75,5.46
Urbana,Mountain East,7-4,0.636,72,2.53,72,5.01,81,29.71,74,2.85,3.01,108,0.74
TX A&M K'ville,Lone Star,2-8,0.200,73,2.53,70,5.92,70,31.00,79,2.47,2.74,12,14.71
Northwood MI,Great Lakes IAC,2-9,0.182,74,2.45,67,6.60,82,29.56,58,4.60,2.89,20,12.21
C Oklahoma,Mid America IAA,2-8,0.200,75,2.43,74,4.50,35,36.29,133,-4.23,2.81,1,19.86
Lake Erie,Great Lakes IAC,4-7,0.364,76,2.41,73,4.94,27,38.50,147,-6.01,2.96,45,9.04
Arkansas Tech,Great American,5-6,0.455,77,2.38,82,3.45,90,28.61,81,2.39,2.87,77,5.18
NE Kearney,Mid America IAA,3-8,0.273,78,2.36,75,4.06,101,27.36,60,4.26,2.81,10,15.58
American Intl,Northeast-10,9-3,0.750,79,2.34,93,1.30,104,26.84,85,2.01,2.94,136,-3.29
Utah Tech,Great Northwest,4-7,0.364,80,2.32,87,2.43,72,30.78,105,-0.79,2.84,56,7.93
Catawba,South Atlantic,6-5,0.545,81,2.31,91,1.94,109,26.49,69,3.01,2.81,98,3.14
NE Oklahoma,Mid America IAA,2-9,0.182,82,2.30,76,3.86,86,29.08,82,2.33,2.89,3,18.73
Wingate,South Atlantic,4-6,0.400,83,2.29,80,3.49,61,32.07,108,-1.03,2.88,73,5.63
Lindenwood,Mid America IAA,3-6,0.333,84,2.29,86,2.54,85,29.10,94,0.99,2.84,18,12.64
