Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
James Madison,Coastal,14-1,0.933,1,7.04,1,51.54,1,58.21,7,20.99,2.82,24,30.88
N Dakota St,Missouri Valley,12-2,0.857,2,6.90,2,51.47,4,49.14,1,29.98,2.52,3,38.65
E Washington,Big Sky,12-2,0.857,3,6.44,3,45.85,2,54.98,17,18.53,2.58,8,35.32
Youngstown St,Missouri Valley,12-4,0.750,4,6.26,5,43.97,10,47.89,4,23.73,2.43,5,37.55
S Dakota St,Missouri Valley,9-4,0.692,5,5.99,6,41.18,8,48.02,8,20.82,2.47,4,38.08
Northern Iowa,Missouri Valley,5-6,0.455,6,5.96,4,45.47,5,48.21,2,24.92,2.43,1,39.51
Jacksonville St,OH Valley,10-2,0.833,7,5.81,8,40.34,16,46.70,6,21.30,2.42,23,30.95
Chattanooga,Southern,9-4,0.692,8,5.59,7,40.71,11,47.88,11,20.48,2.59,47,28.20
Citadel,Southern,10-2,0.833,9,5.55,14,35.97,30,42.95,9,20.68,2.39,26,30.56
Sam Houston St,Southland,12-1,0.923,10,5.53,13,35.98,3,53.34,72,10.31,2.61,83,19.94
Wofford,Southern,10-4,0.714,11,5.50,12,36.65,35,41.77,5,22.53,2.40,31,30.03
Illinois St,Missouri Valley,6-6,0.500,12,5.42,9,38.05,22,45.23,10,20.49,2.46,9,34.62
Villanova,Coastal,9-4,0.692,13,5.42,10,37.15,51,40.33,3,24.48,2.43,27,30.50
Richmond,Coastal,10-4,0.714,14,5.40,16,35.93,23,45.04,16,18.55,2.60,25,30.59
W Illinois,Missouri Valley,6-5,0.545,15,5.37,19,35.54,13,46.88,26,16.32,2.43,6,37.02
Cent Arkansas,Southland,10-3,0.769,16,5.31,22,34.58,28,43.48,14,18.75,2.44,50,27.58
Coastal Car,Big South,10-2,0.833,17,5.26,15,35.94,19,46.20,20,17.40,2.46,78,20.83
Charleston So,Big South,7-4,0.636,18,5.26,17,35.91,24,44.68,13,18.89,2.43,46,28.22
South Dakota,Missouri Valley,4-7,0.364,19,5.23,18,35.69,12,47.04,27,16.30,2.50,2,38.82
Samford,Southern,7-5,0.583,20,5.23,20,35.29,7,48.08,37,14.87,2.53,28,30.47
North Dakota,Big Sky,9-3,0.750,21,5.16,25,33.06,32,41.97,15,18.74,2.47,39,29.03
Montana,Big Sky,6-5,0.545,22,5.14,11,36.67,6,48.14,28,16.18,2.55,54,26.19
Southern Utah,Big Sky,6-5,0.545,23,5.06,24,33.94,21,45.66,29,15.94,2.46,10,33.99
New Hampshire,Coastal,8-5,0.615,24,5.06,23,33.98,26,44.20,19,17.44,2.63,21,31.06
S Illinois,Missouri Valley,4-7,0.364,25,4.97,21,34.95,9,47.92,38,14.69,2.48,11,33.78
Cal Poly,Big Sky,7-5,0.583,26,4.90,27,30.89,14,46.81,60,11.74,2.30,20,31.26
Northern Arizona,Big Sky,5-6,0.455,27,4.83,26,31.71,20,45.72,49,13.65,2.51,38,29.05
Indiana St,Missouri Valley,4-7,0.364,28,4.81,29,30.77,25,44.52,45,13.91,2.27,7,36.22
TN Martin,OH Valley,7-5,0.583,29,4.73,32,30.12,27,43.54,43,14.24,2.54,68,23.60
Maine,Coastal,6-5,0.545,30,4.70,42,27.95,63,38.85,23,16.76,2.41,13,32.79
Lehigh,Patriot League,9-3,0.750,31,4.69,39,28.54,18,46.68,77,9.52,2.51,64,23.77
SUNY Albany,Coastal,7-4,0.636,32,4.66,37,28.84,66,38.68,18,17.81,2.40,53,26.30
Weber St,Big Sky,7-5,0.583,33,4.66,46,26.44,53,40.20,46,13.90,2.45,19,31.40
Princeton,Ivy League,8-2,0.800,34,4.62,33,29.66,36,41.61,31,15.71,2.45,85,19.23
Liberty,Big South,6-5,0.545,35,4.61,34,28.96,39,41.48,34,15.14,2.44,45,28.23
William & Mary,Coastal,5-6,0.455,36,4.61,31,30.40,46,40.91,21,17.15,2.41,35,29.79
E Illinois,OH Valley,6-5,0.545,37,4.58,40,28.00,40,41.48,44,14.18,2.29,41,28.68
Fordham,Patriot League,8-3,0.727,38,4.51,41,28.00,15,46.76,85,8.90,2.55,84,19.93
Furman,Southern,3-8,0.273,39,4.50,28,30.85,38,41.59,22,16.93,2.40,18,31.64
Mercer,Southern,6-5,0.545,40,4.47,48,25.94,44,40.98,55,12.62,2.51,29,30.46
San Diego,Pioneer,11-2,0.846,41,4.47,45,26.45,47,40.67,50,13.44,2.54,108,12.21
Montana St,Big Sky,4-7,0.364,42,4.43,35,28.92,37,41.60,35,14.98,2.44,43,28.50
Penn,Ivy League,7-3,0.700,43,4.42,43,27.05,59,39.41,32,15.30,2.43,77,21.15
N Colorado,Big Sky,6-5,0.545,44,4.42,53,25.03,29,43.41,79,9.27,2.46,42,28.56
Portland St,Big Sky,3-8,0.273,45,4.41,30,30.47,17,46.68,65,11.45,2.40,17,31.89
