Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Auburn,Southeastern,14-0,1.000,1,9.18,8,65.09,3,62.73,24,29.37,2.58,5,55.53
Stanford,Pac 10,12-1,0.923,2,9.10,3,68.71,2,62.86,8,32.86,2.49,3,56.32
TCU,Mountain West,13-0,1.000,3,9.07,6,66.89,9,58.90,3,35.00,2.66,65,45.86
Oregon,Pac 10,12-1,0.923,4,9.05,1,71.47,1,65.66,9,32.81,2.66,2,56.65
Boise St,Western Athletic,12-1,0.923,5,8.89,4,68.58,6,61.69,4,33.90,2.56,56,47.39
Ohio St,Big 10,12-1,0.923,6,8.87,7,66.25,13,58.18,2,35.08,2.58,44,48.41
Oklahoma,Big 12,12-2,0.857,7,8.86,5,67.16,4,62.54,12,31.62,2.71,8,54.37
Alabama,Southeastern,10-3,0.769,8,8.75,2,69.03,10,58.77,1,37.27,2.46,15,53.01
LSU,Southeastern,11-2,0.846,9,8.68,10,62.40,19,56.11,7,33.31,2.57,17,52.79
Oklahoma St,Big 12,11-2,0.846,10,8.59,11,62.30,5,61.93,40,27.38,2.64,19,52.43
Virginia Tech,Atlantic Coast,11-3,0.786,11,8.48,12,62.16,12,58.40,16,30.77,2.54,23,51.75
Arkansas,Southeastern,10-3,0.769,12,8.44,13,61.11,7,59.47,34,28.66,2.59,11,53.94
Wisconsin,Big 10,11-2,0.846,13,8.39,15,60.34,11,58.41,29,28.94,2.64,35,49.29
Florida,Southeastern,8-5,0.615,14,8.33,9,63.91,8,59.06,10,31.86,2.62,14,53.14
Nevada,Western Athletic,13-1,0.929,15,8.30,34,54.46,16,57.39,56,24.08,2.71,72,45.02
Florida St,Atlantic Coast,10-4,0.714,16,8.30,16,59.37,18,57.16,25,29.22,2.51,16,52.93
USC,Pac 10,8-5,0.615,17,8.23,14,60.97,14,58.18,22,29.80,2.59,7,54.72
Missouri,Big 12,10-3,0.769,18,8.19,18,57.67,37,53.49,14,31.20,2.65,33,49.41
Mississippi St,Southeastern,9-4,0.692,19,8.17,31,55.25,52,51.77,19,30.49,2.56,22,51.86
Nebraska,Big 12,10-4,0.714,20,8.13,17,58.80,46,52.44,6,33.38,2.56,38,49.09
Utah,Mountain West,10-3,0.769,21,8.12,29,55.79,34,53.66,27,29.13,2.58,45,48.40
NC State,Atlantic Coast,9-4,0.692,22,8.11,32,54.93,27,54.76,42,27.18,2.61,28,50.61
South Carolina,Southeastern,9-5,0.643,23,8.08,30,55.53,41,52.86,23,29.68,2.68,9,54.18
Michigan St,Big 10,11-2,0.846,24,8.07,46,51.57,40,52.88,49,25.70,2.63,51,48.05
Texas A&M,Big 12,9-4,0.692,25,8.06,33,54.64,24,54.80,46,26.85,2.77,21,52.13
Notre Dame,FBS Indep,8-5,0.615,26,8.05,24,56.54,39,53.23,20,30.31,2.60,30,50.50
Iowa,Big 10,8-5,0.615,27,8.03,22,56.78,48,52.30,13,31.48,2.57,46,48.35
Arizona St,Pac 10,6-6,0.500,28,7.99,20,57.35,20,55.87,35,28.48,2.72,10,54.06
Washington,Pac 10,7-6,0.538,29,7.99,45,51.84,50,51.94,45,26.90,2.63,4,55.80
Pittsburgh,Big East,8-5,0.615,30,7.99,27,56.21,43,52.52,17,30.70,2.54,40,48.82
West Virginia,Big East,9-4,0.692,31,7.97,26,56.21,67,49.60,5,33.62,2.62,59,46.66
Arizona,Pac 10,7-6,0.538,32,7.96,28,55.91,33,53.70,26,29.22,2.67,13,53.32
Oregon St,Pac 10,5-7,0.417,33,7.95,25,56.24,23,54.92,37,28.33,2.68,1,57.48
North Carolina,Atlantic Coast,8-5,0.615,34,7.95,43,52.31,63,50.59,31,28.74,2.64,26,50.82
Maryland,Atlantic Coast,9-4,0.692,35,7.93,41,52.53,38,53.27,48,26.26,2.58,53,47.90
Air Force,Mountain West,9-4,0.692,36,7.90,42,52.51,59,50.86,33,28.67,2.59,66,45.60
Miami FL,Atlantic Coast,7-6,0.538,37,7.87,36,53.97,51,51.87,28,29.10,2.64,20,52.26
Texas Tech,Big 12,8-5,0.615,38,7.86,37,53.37,17,57.27,62,23.11,2.77,37,49.10
California,Pac 10,5-7,0.417,39,7.85,23,56.73,42,52.55,15,31.19,2.73,12,53.36
South Florida,Big East,8-5,0.615,40,7.84,47,51.56,62,50.60,38,27.96,2.66,57,47.37
Tulsa,Conference USA,10-3,0.769,41,7.78,51,49.83,15,57.88,85,18.96,2.58,77,43.02
Georgia,Southeastern,6-7,0.462,42,7.77,19,57.49,22,55.78,32,28.73,2.56,27,50.63
UCF,Conference USA,11-3,0.786,43,7.77,59,48.45,84,46.71,30,28.75,2.65,94,38.88
Penn St,Big 10,7-6,0.538,44,7.75,39,53.12,53,51.75,36,28.37,2.65,34,49.30
Illinois,Big 10,7-6,0.538,45,7.71,44,52.29,32,53.72,50,25.58,2.60,50,48.06
Texas,Big 12,5-7,0.417,46,7.70,21,56.89,36,53.59,21,30.31,2.57,36,49.14
Clemson,Atlantic Coast,6-7,0.462,47,7.70,35,54.35,60,50.68,18,30.69,2.68,32,49.67
BYU,Mountain West,7-6,0.538,48,7.69,38,53.13,45,52.49,39,27.65,2.66,60,46.65
Connecticut,Big East,8-5,0.615,49,7.67,49,50.09,54,51.68,52,25.41,2.73,61,46.38
Tennessee,Southeastern,6-7,0.462,50,7.67,40,52.75,44,52.50,41,27.25,2.68,25,50.94
Boston College,Atlantic Coast,7-6,0.538,51,7.66,50,50.01,92,45.22,11,31.81,2.72,47,48.19
San Diego St,Mountain West,9-4,0.692,52,7.61,61,47.44,49,52.11,65,22.34,2.70,78,42.96
Navy,FBS Indep,9-4,0.692,53,7.60,58,48.73,65,50.19,51,25.54,2.44,76,43.74
Louisville,Big East,7-6,0.538,54,7.59,56,48.99,71,48.90,43,27.10,2.76,64,45.89
UCLA,Pac 10,4-8,0.333,55,7.58,54,49.26,70,49.24,44,27.03,2.78,6,55.50
N Illinois,Mid-American,11-3,0.786,56,7.56,57,48.82,55,51.59,55,24.24,2.60,102,38.06
Syracuse,Big East,8-5,0.615,57,7.54,71,44.20,86,46.35,54,24.86,2.57,67,45.50
Georgia Tech,Atlantic Coast,6-7,0.462,58,7.53,48,50.54,58,50.88,47,26.67,2.59,49,48.16
Hawaii,Western Athletic,10-4,0.714,59,7.50,62,47.31,30,54.06,78,20.26,2.70,82,42.17
Kentucky,Southeastern,6-7,0.462,60,7.49,55,49.02,47,52.35,57,23.68,2.62,52,48.04
Michigan,Big 10,7-6,0.538,61,7.47,63,46.66,21,55.82,92,17.84,2.67,39,48.94
Kansas St,Big 12,7-6,0.538,62,7.45,60,48.22,25,54.78,76,20.45,2.78,58,47.20
Baylor,Big 12,7-6,0.538,63,7.41,64,45.57,56,51.49,72,21.10,2.68,55,47.58
Iowa St,Big 12,5-7,0.417,64,7.40,68,44.81,83,46.92,53,24.90,2.71,24,50.94
Colorado,Big 12,5-7,0.417,65,7.35,66,45.37,61,50.64,69,21.74,2.78,31,49.75
Northwestern,Big 10,7-6,0.538,66,7.33,69,44.40,68,49.48,68,21.93,2.57,70,45.36
Cincinnati,Big East,4-8,0.333,67,7.32,52,49.76,35,53.60,61,23.17,2.67,48,48.19
Mississippi,Southeastern,4-8,0.333,68,7.31,53,49.27,29,54.08,67,22.20,2.60,42,48.59
Fresno St,Western Athletic,8-5,0.615,69,7.29,75,43.12,64,50.33,81,19.80,2.68,79,42.70
Southern Miss,Conference USA,8-5,0.615,70,7.28,67,45.29,31,53.89,88,18.41,2.64,88,40.81
Miami OH,Mid-American,10-4,0.714,71,7.21,93,36.53,105,42.21,71,21.33,2.60,101,38.08
Temple,Mid-American,8-4,0.667,72,7.19,81,40.78,93,45.16,64,22.63,2.62,99,38.25
Troy,Sun Belt,8-5,0.615,73,7.12,77,41.78,57,51.23,95,17.55,2.63,106,37.41
Virginia,Atlantic Coast,4-8,0.333,74,7.11,72,44.12,72,48.84,66,22.29,2.69,62,46.18
Houston,Conference USA,5-7,0.417,75,7.07,65,45.41,28,54.53,91,17.89,2.72,83,41.81
Rutgers,Big East,4-8,0.333,76,7.06,70,44.20,74,48.38,63,22.83,2.57,73,44.52
East Carolina,Conference USA,6-7,0.462,77,7.06,78,41.49,26,54.77,110,13.73,2.66,75,43.75
SMU,Conference USA,7-7,0.500,78,7.05,80,40.89,95,44.62,60,23.28,2.67,81,42.21
Wake Forest,Atlantic Coast,3-9,0.250,79,7.03,73,43.22,69,49.45,74,20.79,2.63,41,48.79
Minnesota,Big 10,3-9,0.250,80,7.03,74,43.13,73,48.72,70,21.43,2.66,43,48.57
Purdue,Big 10,4-8,0.333,81,7.03,76,42.56,88,46.00,59,23.57,2.69,68,45.48
Army,FBS Indep,7-6,0.538,82,6.99,91,37.02,103,43.01,73,21.02,2.56,98,38.35
Toledo,Mid-American,8-5,0.615,83,6.95,89,37.33,79,47.54,101,16.80,2.72,92,39.21
Indiana,Big 10,5-7,0.417,84,6.91,88,39.01,75,48.38,94,17.65,2.72,80,42.56
Duke,Atlantic Coast,3-9,0.250,85,6.90,79,40.97,66,49.75,89,18.24,2.55,54,47.78
Washington St,Pac 10,2-10,0.167,86,6.90,83,40.23,77,47.63,83,19.61,2.74,18,52.63
Florida Intl,Sun Belt,7-6,0.538,87,6.90,96,36.07,89,45.85,97,17.22,2.62,100,38.09
Louisiana Tech,Western Athletic,5-7,0.417,88,6.89,85,39.87,76,47.96,86,18.92,2.77,87,40.88
W Michigan,Mid-American,6-6,0.500,89,6.88,82,40.46,78,47.56,80,19.91,2.62,112,36.55
Vanderbilt,Southeastern,2-10,0.167,90,6.85,86,39.71,102,43.14,58,23.57,2.61,29,50.50
Kansas,Big 12,3-9,0.250,91,6.83,84,39.88,81,47.21,82,19.68,2.74,63,45.89
Ohio,Mid-American,8-5,0.615,92,6.82,94,36.31,96,44.53,87,18.78,2.67,118,34.59
