Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,13-2,0.867,1,7.22,1,54.39,2,51.59,1,30.53,2.82,7,35.14
Northern Iowa,Missouri Valley,9-5,0.643,2,6.59,2,47.01,9,48.44,2,26.30,2.73,3,38.06
Illinois St,Missouri Valley,10-3,0.769,3,6.49,3,44.26,5,50.73,5,21.26,2.69,8,34.97
Jacksonville St,OH Valley,13-2,0.867,4,6.46,4,42.80,3,51.59,14,18.95,2.93,35,28.22
S Dakota St,Missouri Valley,8-4,0.667,5,6.19,5,41.72,18,46.01,3,23.45,2.69,9,34.73
Chattanooga,Southern,9-4,0.692,6,5.86,6,38.97,15,46.50,7,20.20,2.81,24,29.72
Richmond,Coastal,10-4,0.714,7,5.83,8,37.49,11,46.99,16,18.24,2.85,21,30.19
Youngstown St,Missouri Valley,5-6,0.455,8,5.77,7,38.80,16,46.49,8,20.05,2.68,10,34.37
Portland St,Big Sky,9-3,0.750,9,5.75,15,35.37,22,44.96,17,18.14,2.69,18,31.16
W Illinois,Missouri Valley,7-6,0.538,10,5.74,17,34.72,24,44.47,18,17.98,2.80,2,39.22
Citadel,Southern,9-4,0.692,11,5.71,13,35.59,25,44.45,15,18.87,2.66,25,29.64
Southern Utah,Big Sky,8-4,0.667,12,5.67,12,35.87,14,46.53,23,17.07,2.76,31,28.55
Harvard,Ivy League,9-1,0.900,13,5.61,10,36.31,26,44.13,9,19.91,2.71,86,19.55
Sam Houston St,Southland,11-4,0.733,14,5.61,11,35.95,6,50.57,48,13.11,2.88,57,24.23
Montana,Big Sky,8-5,0.615,15,5.58,16,35.16,27,43.91,12,18.98,2.88,12,33.39
McNeese St,Southland,10-1,0.909,16,5.54,21,32.99,46,40.15,6,20.58,2.72,78,20.30
Dartmouth,Ivy League,9-1,0.900,17,5.51,19,33.61,52,39.59,4,21.75,2.70,79,20.28
S Illinois,Missouri Valley,3-8,0.273,18,5.48,9,37.40,4,51.28,44,13.85,2.72,4,37.23
Charleston So,Big South,10-3,0.769,19,5.47,27,31.76,34,42.13,21,17.37,2.80,37,28.02
Indiana St,Missouri Valley,5-6,0.455,20,5.45,20,33.58,21,45.25,27,16.07,2.67,6,35.50
James Madison,Coastal,9-3,0.750,21,5.45,18,34.33,1,51.88,73,10.18,2.64,59,24.15
Coastal Car,Big South,9-3,0.750,22,5.42,14,35.46,10,47.50,30,15.69,2.76,73,21.28
South Dakota,Missouri Valley,5-6,0.455,23,5.42,22,32.77,37,41.53,13,18.97,2.72,5,36.82
William & Mary,Coastal,9-4,0.692,24,5.37,23,32.47,23,44.53,31,15.68,2.76,39,27.87
W Carolina,Southern,7-4,0.636,25,5.26,29,30.84,28,43.11,35,15.47,2.73,15,31.51
E Washington,Big Sky,6-5,0.545,26,5.25,25,32.04,7,49.95,76,9.82,2.55,13,33.22
E Illinois,OH Valley,7-5,0.583,27,5.20,33,30.21,31,42.45,34,15.49,2.73,17,31.32
Northern Arizona,Big Sky,7-4,0.636,28,5.18,32,30.27,13,46.89,63,11.11,2.78,42,27.56
TN Martin,OH Valley,7-4,0.636,29,5.16,31,30.41,19,45.85,52,12.29,2.67,30,28.68
Villanova,Coastal,6-5,0.545,30,5.13,26,31.80,48,40.06,10,19.48,2.54,34,28.26
Samford,Southern,6-5,0.545,31,5.11,24,32.09,20,45.39,41,14.44,2.58,54,24.34
North Dakota,Big Sky,7-4,0.636,32,5.10,37,28.26,40,40.89,37,15.11,2.63,26,29.41
Weber St,Big Sky,6-5,0.545,33,5.09,35,29.56,50,39.62,20,17.67,2.63,16,31.48
E Kentucky,OH Valley,6-5,0.545,34,5.04,34,30.16,30,42.54,36,15.36,2.70,45,26.75
Cal Poly,Big Sky,4-7,0.364,35,5.03,30,30.80,12,46.91,59,11.62,2.64,11,33.49
Montana St,Big Sky,5-6,0.455,36,4.96,28,31.31,8,49.83,80,9.21,2.73,55,24.27
Towson,Coastal,7-4,0.636,37,4.93,39,27.53,59,38.81,24,16.45,2.69,44,26.93
Fordham,Patriot League,9-3,0.750,38,4.90,43,26.35,17,46.33,91,7.75,2.71,63,23.17
Penn,Ivy League,7-3,0.700,39,4.89,42,26.83,35,42.11,51,12.46,2.60,56,24.25
Cent Arkansas,Southland,7-4,0.636,40,4.86,40,27.48,36,41.61,46,13.60,2.61,52,24.75
Liberty,Big South,6-5,0.545,41,4.86,41,27.34,43,40.57,40,14.51,2.67,40,27.83
