Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Harding,Great American,15-0,1.000,1,7.50,1,51.28,2,52.57,1,26.13,2.05,13,25.72
C Missouri,Mid America IAA,11-2,0.846,2,6.90,2,45.42,1,57.46,14,15.37,2.28,1,34.81
Pittsburg St,Mid America IAA,11-2,0.846,3,6.87,4,44.77,9,47.07,2,25.13,2.16,6,31.45
Grand Valley St,Great Lakes IAC,11-2,0.846,4,6.73,5,42.25,7,48.03,4,21.63,2.07,12,25.88
Colorado Mines,Rocky Mtn AC,14-1,0.933,5,6.67,6,40.78,4,49.52,6,18.67,2.14,20,20.42
Emporia St,Mid America IAA,9-3,0.750,6,6.53,7,39.81,3,51.54,12,15.69,2.21,3,31.89
NW Missouri,Mid America IAA,7-4,0.636,7,6.51,3,44.79,5,48.34,3,23.88,2.25,9,31.12
MO Western,Mid America IAA,8-4,0.667,8,6.29,9,37.17,8,47.96,11,16.63,2.20,5,31.62
Fort Hays St,Mid America IAA,7-4,0.636,9,6.26,10,36.40,13,44.92,5,18.90,2.23,7,31.38
Ferris St,Great Lakes IAC,8-3,0.727,10,6.22,8,37.73,10,46.55,7,18.60,2.13,15,22.09
Ouachita,Great American,9-2,0.818,11,6.18,11,36.16,6,48.19,13,15.39,2.16,19,20.70
S Arkansas,Great American,10-2,0.833,12,6.07,15,29.80,11,45.93,32,11.29,2.16,16,21.91
Henderson St,Great American,9-3,0.750,13,5.93,13,30.35,15,43.70,19,14.07,2.21,14,22.19
C Oklahoma,Mid America IAA,5-6,0.455,14,5.89,12,31.25,20,41.25,9,17.42,2.30,4,31.75
Lenoir-Rhyne,South Atlantic,13-2,0.867,15,5.85,19,28.68,19,41.72,17,14.37,2.22,55,10.54
Delta St,Gulf South,10-2,0.833,16,5.80,16,29.61,12,45.90,33,11.12,2.16,37,14.40
MO Southern,Mid America IAA,5-6,0.455,17,5.78,18,28.71,17,42.27,22,13.86,2.15,8,31.34
Valdosta St,Gulf South,12-2,0.857,18,5.74,23,24.59,16,43.41,44,8.60,2.26,34,14.67
Angelo St,Lone Star,7-3,0.700,19,5.64,14,29.96,24,40.51,10,16.86,2.20,40,14.14
Augustana SD,Northern Sun,11-2,0.846,20,5.63,25,23.19,31,38.20,25,12.41,2.17,44,13.07
NE Kearney,Mid America IAA,3-8,0.273,21,5.62,17,29.34,29,38.54,8,18.23,2.18,2,32.33
C Washington,Lone Star,9-4,0.692,22,5.57,31,21.19,46,33.87,16,14.74,2.23,22,19.15
Bemidji St,Northern Sun,9-3,0.750,23,5.54,24,24.24,36,36.32,15,15.34,2.19,48,12.73
CSU-Pueblo,Rocky Mtn AC,8-3,0.727,24,5.53,22,26.01,14,43.78,38,9.64,2.16,35,14.64
Permian Basin,Lone Star,10-2,0.833,25,5.52,29,22.14,30,38.44,34,11.12,2.22,46,12.84
West Florida,Gulf South,8-4,0.667,26,5.50,20,26.90,26,40.33,20,13.99,2.10,39,14.15
Western St CO,Rocky Mtn AC,10-2,0.833,27,5.46,30,21.68,34,36.83,28,12.27,2.22,54,10.75
Indianapolis,Great Lakes Val,9-2,0.818,28,5.43,26,23.08,33,37.23,24,13.27,2.19,68,7.93
MN Mankato,Northern Sun,9-3,0.750,29,5.38,28,22.20,22,40.94,43,8.68,2.20,45,13.05
MN Duluth,Northern Sun,9-2,0.818,30,5.38,27,22.58,28,39.54,36,10.46,2.16,74,7.27
Slippery Rock,Penn St AC,12-2,0.857,31,5.32,32,20.34,21,40.98,59,6.78,2.11,81,5.49
Washburn,Mid America IAA,2-9,0.182,32,5.30,21,26.10,18,41.84,30,11.68,2.18,10,30.89
Kutztown,Penn St AC,12-3,0.800,33,5.27,42,15.96,81,29.51,21,13.86,2.19,75,6.89
Tiffin,Great Midwest,11-1,0.917,34,5.25,33,20.30,27,39.97,48,7.74,2.10,108,0.39
TX A&M K'ville,Lone Star,7-3,0.700,35,5.19,45,15.07,54,32.49,37,9.99,2.09,33,15.10
Wayne St NE,Northern Sun,8-3,0.727,36,5.16,38,16.64,37,35.85,46,8.20,2.20,53,11.08
Southern Nazarene,Great American,6-6,0.500,37,5.14,34,18.28,25,40.38,70,5.32,2.18,21,20.23
Truman St,Great Lakes Val,9-2,0.818,38,5.10,43,15.92,68,31.30,29,12.04,2.10,86,4.23
