Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,15-1,0.938,1,7.26,1,52.94,3,51.30,1,29.33,2.64,7,35.65
Illinois St,Missouri Valley,13-2,0.867,2,6.79,2,47.69,2,53.65,3,21.75,2.83,9,33.93
Northern Iowa,Missouri Valley,9-5,0.643,3,6.39,3,46.05,6,49.21,2,24.54,2.83,5,37.03
S Dakota St,Missouri Valley,9-5,0.643,4,6.30,4,43.96,4,50.89,5,20.77,2.62,4,38.29
New Hampshire,Coastal,12-2,0.857,5,6.02,6,40.50,8,48.55,9,19.65,2.79,26,27.77
Chattanooga,Southern,10-4,0.714,6,5.87,5,40.96,11,47.94,7,20.72,2.67,23,28.88
E Washington,Big Sky,11-3,0.786,7,5.87,7,39.64,1,54.78,51,12.56,2.67,22,28.90
Indiana St,Missouri Valley,8-6,0.571,8,5.79,15,36.90,27,43.87,6,20.73,2.63,3,38.88
Jacksonville St,OH Valley,10-2,0.833,9,5.79,13,37.45,18,46.57,14,18.58,2.65,24,28.76
Sam Houston St,Southland,11-5,0.688,10,5.69,12,37.69,10,47.96,20,17.43,2.55,18,30.33
Coastal Car,Big South,12-2,0.857,11,5.68,10,38.33,5,49.96,24,16.07,2.69,53,23.96
S Illinois,Missouri Valley,6-6,0.500,12,5.66,11,37.93,16,47.02,13,18.61,2.56,8,34.12
Villanova,Coastal,11-3,0.786,13,5.59,14,37.39,9,48.38,23,16.71,2.62,42,26.32
Youngstown St,Missouri Valley,7-5,0.583,14,5.59,17,36.31,23,44.95,11,19.06,2.51,11,33.09
Missouri St,Missouri Valley,4-8,0.333,15,5.55,9,38.60,22,44.98,4,21.32,2.50,2,39.27
SE Louisiana,Southland,9-4,0.692,16,5.51,8,39.55,17,46.81,8,20.45,2.73,60,21.88
W Illinois,Missouri Valley,5-7,0.417,17,5.40,19,34.21,29,43.63,15,18.28,2.64,6,36.85
Montana,Big Sky,9-5,0.643,18,5.31,18,34.57,31,43.33,12,18.94,2.73,30,27.53
E Illinois,OH Valley,5-7,0.417,19,5.24,16,36.87,14,47.67,22,16.90,2.53,19,30.10
Samford,Southern,7-4,0.636,20,5.20,20,33.33,33,43.22,16,17.81,2.54,50,24.87
Harvard,Ivy League,10-0,1.000,21,5.20,30,30.03,45,40.25,19,17.48,2.61,94,15.24
Fordham,Patriot League,11-3,0.786,22,5.06,23,31.61,12,47.72,61,11.59,2.92,72,19.84
James Madison,Coastal,9-4,0.692,23,5.05,24,31.33,20,45.75,41,13.27,2.63,40,26.71
Montana St,Big Sky,8-5,0.615,24,5.05,26,30.71,15,47.24,65,11.17,2.66,29,27.61
Cal Poly,Big Sky,7-5,0.583,25,5.03,21,33.04,24,44.87,25,15.88,2.63,35,27.17
Idaho St,Big Sky,8-4,0.667,26,5.02,29,30.11,13,47.71,72,10.10,2.70,25,27.92
Richmond,Coastal,9-5,0.643,27,5.02,27,30.31,30,43.37,34,14.64,2.63,46,25.83
Liberty,Big South,9-5,0.643,28,4.99,32,29.80,35,42.38,29,15.12,2.57,41,26.55
Cent Arkansas,Southland,6-6,0.500,29,4.98,22,31.94,7,48.74,66,10.90,2.69,39,26.72
Northwestern LA,Southland,6-6,0.500,30,4.91,31,29.83,25,44.66,46,12.86,2.62,13,31.32
William & Mary,Coastal,7-5,0.583,31,4.89,28,30.27,44,40.29,17,17.68,2.53,33,27.32
McNeese St,Southland,6-5,0.545,32,4.86,25,31.17,32,43.24,26,15.63,2.57,55,23.50
E Kentucky,OH Valley,9-4,0.692,33,4.76,39,26.56,41,41.01,42,13.25,2.55,52,24.64
TN Martin,OH Valley,6-6,0.500,34,4.72,33,28.64,38,41.36,30,14.98,2.51,32,27.33
SF Austin,Southland,8-5,0.615,35,4.71,40,26.55,26,44.59,75,9.67,2.69,37,26.92
Wofford,Southern,6-5,0.545,36,4.62,34,28.21,49,38.92,21,16.98,2.63,59,22.52
Northern Arizona,Big Sky,7-5,0.583,37,4.60,42,26.30,53,38.64,27,15.36,2.61,47,25.50
W Carolina,Southern,7-5,0.583,38,4.60,38,26.57,39,41.29,45,12.98,2.51,44,26.11
CS Sacramento,Big Sky,7-5,0.583,39,4.54,43,25.67,19,46.26,90,7.11,2.60,54,23.65
Dartmouth,Ivy League,8-2,0.800,40,4.53,45,24.91,52,38.68,39,13.93,2.57,79,17.93
South Dakota,Missouri Valley,2-10,0.167,41,4.52,36,26.99,47,40.10,35,14.59,2.51,1,39.28
Maine,Coastal,5-6,0.455,42,4.49,37,26.82,61,36.90,18,17.61,2.52,31,27.34
Charleston So,Big South,8-4,0.667,43,4.48,46,24.61,57,38.17,38,14.14,2.58,64,21.29
Citadel,Southern,5-7,0.417,44,4.47,35,27.27,43,40.76,37,14.21,2.55,27,27.73
Yale,Ivy League,8-2,0.800,45,4.43,49,23.56,28,43.82,86,7.44,2.65,82,17.59
Stony Brook,Coastal,5-7,0.417,46,4.32,41,26.47,77,34.84,10,19.33,2.57,56,23.39
SUNY Albany,Coastal,7-5,0.583,47,4.31,52,23.33,54,38.61,54,12.42,2.62,58,22.57
Lamar,Southland,8-4,0.667,48,4.31,58,22.54,34,42.60,84,7.63,2.56,99,13.69
Southern Utah,Big Sky,3-9,0.250,49,4.30,48,23.60,48,39.37,57,11.93,2.58,10,33.75
Abilene Chr,Southland,6-6,0.500,50,4.29,50,23.48,42,40.89,69,10.30,2.49,70,20.46
SE Missouri St,OH Valley,5-7,0.417,51,4.24,54,22.90,36,41.52,79,9.08,2.63,57,23.22
S Carolina St,Mid-Eastern AC,8-4,0.667,52,4.23,51,23.41,67,36.42,33,14.68,2.62,75,18.71
Delaware,Coastal,6-6,0.500,53,4.23,55,22.83,55,38.50,56,12.04,2.55,48,25.46
Portland St,Big Sky,3-9,0.250,54,4.21,44,24.95,40,41.07,63,11.58,2.52,16,30.81
