Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
M Hardin-Baylor,American SW,15-0,1.000,1,3.75,1,17.87,3,36.69,5,8.84,2.65,19,-8.64
Trinity CT,NESCAC,8-0,1.000,2,3.45,5,15.17,5,33.68,4,9.15,2.53,9,-0.97
WI Oshkosh,Wisconsin IAC,13-2,0.867,3,3.37,3,16.49,6,32.72,1,11.43,2.56,15,-4.45
St Thomas MN,Minnesota IAC,12-1,0.923,4,3.22,4,15.66,1,38.12,9,5.20,2.62,40,-13.85
Mt Union,Ohio AC,12-2,0.857,5,3.17,2,16.72,2,37.37,7,7.01,2.47,22,-10.65
WI Whitewater,Wisconsin IAC,12-1,0.923,6,2.96,7,9.88,12,30.91,8,6.63,2.32,17,-6.06
John Carroll,Ohio AC,12-2,0.857,7,2.74,9,8.19,31,26.34,2,9.50,2.49,18,-7.91
Tufts,NESCAC,7-1,0.875,8,2.70,13,6.73,14,30.85,13,3.54,2.48,4,0.39
WI Platteville,Wisconsin IAC,8-3,0.727,9,2.66,6,11.17,4,35.59,14,3.24,2.52,14,-3.39
Wesleyan CT,NESCAC,6-2,0.750,10,2.56,8,9.03,19,28.96,6,7.73,2.47,11,-1.93
St John's MN,Minnesota IAC,10-2,0.833,11,2.56,11,7.85,10,31.00,11,4.50,2.52,27,-11.75
Linfield,Northwest,9-2,0.818,12,2.45,12,7.01,16,29.62,10,5.04,2.49,25,-11.37
Middlebury,NESCAC,6-2,0.750,13,2.34,14,6.10,9,31.45,16,2.30,2.46,10,-1.92
N Central IL,Ill & Wisc,11-1,0.917,14,2.26,16,4.46,11,30.94,18,1.17,2.47,33,-13.37
Amherst,NESCAC,4-4,0.500,15,2.25,10,7.98,33,26.16,3,9.48,2.50,6,-0.27
Wheaton IL,Ill & Wisc,11-2,0.846,16,2.22,17,4.33,22,27.83,12,4.15,2.51,32,-13.27
Wesley DE,New Jersey A.C.,9-3,0.750,17,1.97,15,5.30,7,32.63,21,0.33,2.50,38,-13.64
Johns Hopkins,Centennial,11-1,0.917,18,1.94,18,1.50,13,30.89,33,-1.73,2.49,93,-17.39
Hardin-Simmons,American SW,9-2,0.818,19,1.79,19,1.04,17,29.55,29,-0.85,2.50,56,-14.90
WI Stevens Pt,Wisconsin IAC,6-4,0.600,20,1.61,20,-0.95,28,26.54,22,0.17,2.44,16,-5.58
Coe,American Rivers,11-1,0.917,21,1.51,25,-4.76,43,24.88,34,-1.98,2.56,52,-14.80
WI LaCrosse,Wisconsin IAC,5-5,0.500,22,1.41,22,-1.10,20,28.21,32,-1.65,2.40,21,-8.92
