Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,14-1,0.933,,1,8.09,1,62.94,5,55.59,1,34.82,2.08,15,41.91
James Madison,Coastal,12-2,0.857,,2,7.62,3,57.82,4,55.61,5,29.68,2.20,20,39.94
S Dakota St,Missouri Valley,11-4,0.733,+1,3,7.53,2,57.89,3,56.63,6,28.73,2.16,5,45.54
Montana St,Big Sky,12-3,0.800,-1,4,7.45,7,51.82,16,49.15,3,30.14,2.18,14,42.23
Montana,Big Sky,10-3,0.769,+1,5,7.39,4,53.52,11,51.07,4,29.92,2.22,13,42.84
E Washington,Big Sky,10-3,0.769,-1,6,7.35,5,53.31,1,61.29,32,19.49,2.29,6,45.08
Sam Houston St,Western Athletic,11-1,0.917,+1,7,7.26,8,49.45,6,54.78,18,22.14,2.20,34,36.30
Northern Iowa,Missouri Valley,6-6,0.500,-1,8,7.14,6,52.35,24,47.58,2,32.24,2.15,2,48.38
S Illinois,Missouri Valley,8-5,0.615,+2,9,7.08,11,47.93,9,52.53,16,22.87,2.15,3,46.15
CS Sacramento,Big Sky,9-3,0.750,,10,7.04,12,47.76,12,50.02,12,25.21,2.17,19,40.60
Missouri St,Missouri Valley,8-4,0.667,-2,11,6.96,14,45.58,10,52.39,28,20.66,2.14,7,45.07
Villanova,Coastal,10-3,0.769,+3,12,6.94,15,45.25,19,48.65,14,24.07,2.06,28,37.51
South Dakota,Missouri Valley,7-5,0.583,-1,13,6.92,13,47.04,22,48.04,8,26.47,2.26,9,44.34
North Dakota,Missouri Valley,5-6,0.455,,14,6.87,10,48.47,18,48.95,7,26.99,2.26,8,45.03
Weber St,Big Sky,6-5,0.545,-2,15,6.85,9,48.49,14,49.88,10,26.09,2.10,16,41.35
Princeton,Ivy League,9-1,0.900,+3,16,6.78,19,41.74,27,47.10,19,22.12,2.11,69,28.81
Dartmouth,Ivy League,9-1,0.900,+1,17,6.78,17,42.70,37,45.51,13,24.67,2.15,79,26.78
ETSU,Southern,11-2,0.846,+3,18,6.77,29,38.30,39,45.41,30,20.35,2.13,47,34.21
UC Davis,Big Sky,8-4,0.667,-2,19,6.75,16,42.73,21,48.13,20,22.07,2.16,25,38.83
Incarnate Word,Southland,10-3,0.769,-4,20,6.74,22,41.40,7,53.94,67,14.93,2.21,35,36.21
SE Louisiana,Southland,9-4,0.692,-1,21,6.66,18,42.46,2,57.89,85,12.04,2.08,33,36.39
TN Martin,OH Valley,10-3,0.769,+1,22,6.61,34,36.77,43,44.94,34,19.30,2.19,50,33.80
Harvard,Ivy League,8-2,0.800,-1,23,6.60,21,41.54,36,45.53,15,23.48,2.13,73,28.27
Kennesaw,Big South,11-2,0.846,+8,24,6.59,28,38.99,34,45.60,27,20.86,2.05,71,28.46
Youngstown St,Missouri Valley,3-7,0.300,-1,25,6.50,20,41.60,20,48.51,29,20.56,2.15,1,48.46
Mercer,Southern,7-3,0.700,+4,26,6.49,31,37.03,35,45.56,38,18.94,2.15,45,34.56
Nicholls St,Southland,6-5,0.545,-2,27,6.48,24,40.85,13,50.00,40,18.33,2.24,27,37.74
Illinois St,Missouri Valley,4-7,0.364,-1,28,6.48,25,40.71,53,42.39,11,25.79,2.14,12,43.03
SF Austin,Western Athletic,8-4,0.667,-3,29,6.47,26,39.69,31,45.90,25,21.26,2.13,57,32.24
Chattanooga,Southern,6-5,0.545,-1,30,6.44,23,41.21,55,42.33,9,26.36,2.06,40,35.26
Richmond,Coastal,6-5,0.545,,31,6.39,27,39.12,46,44.13,17,22.46,2.17,42,35.06
E Kentucky,Atlantic Sun,7-4,0.636,+3,32,6.38,42,35.51,44,44.25,39,18.74,2.08,41,35.11
Indiana St,Missouri Valley,5-6,0.455,+3,33,6.32,51,32.85,63,41.06,35,19.26,2.08,10,44.19
William & Mary,Coastal,6-5,0.545,-1,34,6.32,36,36.14,56,42.27,24,21.34,2.19,37,35.95
Holy Cross,Patriot League,10-3,0.769,-1,35,6.30,45,35.04,51,42.62,31,19.89,2.07,88,25.11
Portland St,Big Sky,5-6,0.455,-8,36,6.29,32,37.00,23,47.80,50,16.68,2.17,23,39.64
Monmouth NJ,Big South,7-4,0.636,+3,37,6.28,33,36.87,25,47.55,48,16.79,2.17,58,31.73
Furman,Southern,6-5,0.545,+9,38,6.27,35,36.50,58,42.18,22,21.80,2.16,48,34.09
Jacksonville St,Atlantic Sun,5-6,0.455,+7,39,6.25,43,35.46,48,43.51,33,19.42,2.20,26,38.12
Elon,Coastal,6-5,0.545,-1,40,6.25,48,33.85,49,43.47,42,17.85,2.11,30,36.85
Northern Arizona,Big Sky,5-6,0.455,-4,41,6.23,46,34.94,30,46.00,54,16.41,2.28,24,39.09
Delaware,Coastal,5-6,0.455,+1,42,6.21,41,35.66,60,41.56,23,21.58,2.15,36,36.17
Idaho,Big Sky,4-7,0.364,-5,43,6.21,38,36.01,41,45.19,41,18.30,2.31,18,40.61
Maine,Coastal,6-5,0.545,+1,44,6.13,50,33.53,45,44.19,47,16.80,2.18,51,33.43
Cent Arkansas,Atlantic Sun,5-6,0.455,-1,45,6.13,30,38.15,15,49.26,56,16.36,2.10,54,32.81
Austin Peay,OH Valley,6-5,0.545,-5,46,6.12,39,35.89,26,47.25,60,16.12,2.10,62,30.85
Rhode Island,Coastal,7-4,0.636,+2,47,6.10,55,30.93,57,42.20,58,16.21,2.22,63,30.82
Stony Brook,Coastal,5-6,0.455,+3,48,6.06,49,33.76,66,40.36,26,20.88,2.23,49,33.92
W Illinois,Missouri Valley,2-9,0.182,-7,49,6.06,40,35.74,17,49.08,69,14.13,2.23,4,45.66
VMI,Southern,6-5,0.545,+2,50,6.06,53,31.85,38,45.44,72,13.88,2.18,56,32.59
McNeese St,Southland,4-7,0.364,-1,51,6.04,44,35.34,65,40.77,21,22.04,2.17,44,34.65
Yale,Ivy League,5-5,0.500,-4,52,5.99,47,34.89,28,46.39,61,15.97,2.13,66,30.53
Samford,Southern,4-7,0.364,,53,5.98,37,36.04,8,53.64,94,9.88,2.19,39,35.50
Columbia,Ivy League,7-3,0.700,+1,54,5.95,70,27.32,80,38.62,59,16.18,2.12,80,26.74
Towson,Coastal,4-7,0.364,+1,55,5.91,54,31.51,54,42.39,51,16.59,2.13,31,36.79
Jackson St,Southwestern AC,11-2,0.846,+7,56,5.90,74,24.68,97,35.44,49,16.71,2.12,102,19.42
SE Missouri St,OH Valley,4-7,0.364,-3,57,5.86,52,32.48,42,44.95,66,15.00,2.22,52,33.42
Florida A&M,Southwestern AC,9-3,0.750,+6,58,5.84,65,27.71,91,36.20,37,18.99,2.17,106,18.93
Abilene Chr,Western Athletic,5-6,0.455,-1,59,5.84,56,30.83,52,42.59,62,15.71,2.13,68,29.53
Murray St,OH Valley,6-5,0.545,-3,60,5.83,64,27.75,72,39.57,63,15.66,2.16,72,28.38
Tarleton St,Western Athletic,6-5,0.545,+8,61,5.83,62,28.52,73,39.55,53,16.45,2.13,83,26.49
Citadel,Southern,4-7,0.364,+4,62,5.77,63,28.33,59,41.83,71,13.97,2.14,53,33.39
N Colorado,Big Sky,3-8,0.273,-4,63,5.76,66,27.62,85,37.80,45,17.30,2.24,22,39.74
W Carolina,Southern,4-7,0.364,-4,64,5.72,69,27.40,29,46.32,99,8.55,2.19,46,34.24
