Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alabama,Southeastern,14-1,0.933,1,9.72,1,80.34,3,66.35,1,41.65,2.45,1,58.79
Clemson,Atlantic Coast,14-1,0.933,2,9.40,2,75.42,2,67.33,8,35.75,2.40,9,56.28
Ohio St,Big 10,11-2,0.846,3,8.97,3,72.40,14,62.57,3,37.49,2.64,7,56.69
Washington,Pac 12,12-2,0.857,4,8.84,4,71.87,9,62.86,4,36.67,2.48,37,53.56
Oklahoma,Big 12,11-2,0.846,5,8.72,6,70.99,1,68.38,26,30.27,2.52,10,55.66
Michigan,Big 10,10-3,0.769,6,8.62,5,71.70,10,62.78,5,36.58,2.65,43,53.19
Florida St,Atlantic Coast,10-3,0.769,7,8.49,8,67.40,12,62.73,12,32.32,2.54,4,57.67
LSU,Southeastern,8-4,0.667,8,8.42,7,69.04,29,58.19,2,38.51,2.40,3,57.76
USC,Pac 12,10-3,0.769,9,8.40,9,66.53,15,62.37,16,31.81,2.55,2,58.11
Wisconsin,Big 10,11-3,0.786,10,8.20,12,63.73,47,55.37,6,36.02,2.48,22,54.66
Stanford,Pac 12,10-3,0.769,11,8.17,13,63.73,46,55.75,9,35.63,2.35,8,56.56
Penn St,Big 10,11-3,0.786,12,8.11,17,62.61,16,62.36,43,27.91,2.55,20,54.85
Auburn,Southeastern,8-5,0.615,13,8.07,11,64.09,39,56.63,10,35.12,2.51,28,54.34
Oklahoma St,Big 12,10-3,0.769,14,8.06,16,63.20,18,62.25,37,28.61,2.39,51,52.73
Miami FL,Atlantic Coast,9-4,0.692,15,8.05,10,64.59,28,58.29,11,33.95,2.46,57,52.09
Virginia Tech,Atlantic Coast,10-4,0.714,16,8.04,14,63.59,22,60.59,22,30.66,2.58,29,54.19
Florida,Southeastern,9-4,0.692,17,8.00,18,62.58,57,54.23,7,36.01,2.50,15,55.34
Louisville,Atlantic Coast,9-4,0.692,18,7.92,15,63.27,19,61.71,32,29.22,2.64,53,52.64
West Virginia,Big 12,10-3,0.769,19,7.92,25,60.04,38,57.20,23,30.50,2.45,11,55.63
Kansas St,Big 12,9-4,0.692,20,7.91,20,61.15,36,57.65,18,31.16,2.41,36,53.63
Tennessee,Southeastern,9-4,0.692,21,7.86,19,62.06,8,63.13,48,26.59,2.47,47,53.13
North Carolina,Atlantic Coast,8-5,0.615,22,7.74,21,61.10,23,59.66,35,29.10,2.43,16,55.33
Texas A&M,Southeastern,8-5,0.615,23,7.74,23,60.59,27,58.68,29,29.57,2.41,48,52.96
Colorado,Pac 12,10-4,0.714,24,7.72,34,57.47,50,54.69,24,30.43,2.68,12,55.58
Washington St,Pac 12,8-5,0.615,25,7.65,22,61.00,24,59.48,34,29.18,2.60,35,53.77
Georgia Tech,Atlantic Coast,9-4,0.692,26,7.65,31,58.29,43,56.10,27,29.85,2.38,45,53.15
Pittsburgh,Atlantic Coast,8-5,0.615,27,7.62,30,58.38,6,63.36,76,22.67,2.50,17,55.33
Utah,Pac 12,9-4,0.692,28,7.60,32,58.19,52,54.68,17,31.16,2.43,46,53.14
W Michigan,Mid-American,13-1,0.929,29,7.50,45,55.78,30,58.19,55,25.24,2.49,107,41.63
WKU,Conference USA,11-3,0.786,30,7.49,26,59.47,5,63.55,68,23.59,2.47,104,41.93
Georgia,Southeastern,8-5,0.615,31,7.46,38,56.99,62,53.72,19,30.92,2.32,52,52.66
Arkansas,Southeastern,7-6,0.538,32,7.46,40,56.35,33,57.92,51,26.10,2.47,27,54.43
NC State,Atlantic Coast,7-6,0.538,33,7.45,29,58.49,45,55.87,25,30.28,2.40,34,53.80
Mississippi,Southeastern,5-7,0.417,34,7.43,27,58.89,21,60.66,52,25.89,2.40,5,57.31
Baylor,Big 12,7-6,0.538,35,7.42,28,58.63,26,59.27,46,27.02,2.40,60,50.99
South Florida,American Athletic,11-2,0.846,36,7.41,48,55.20,13,62.60,91,20.26,2.48,75,46.41
Minnesota,Big 10,9-4,0.692,37,7.41,39,56.46,67,53.24,20,30.87,2.39,61,50.34
Nebraska,Big 10,9-4,0.692,38,7.40,49,55.15,66,53.34,30,29.46,2.58,50,52.83
BYU,FBS Indep,9-4,0.692,39,7.39,35,57.37,68,53.17,14,31.85,2.51,65,49.18
Iowa,Big 10,8-5,0.615,40,7.37,42,56.22,75,52.06,15,31.82,2.57,44,53.18
Boise St,Mountain West,10-3,0.769,41,7.32,43,55.85,48,55.19,41,28.32,2.41,71,47.48
Northwestern,Big 10,7-6,0.538,42,7.32,36,57.24,70,52.78,13,32.12,2.33,38,53.47
TCU,Big 12,6-7,0.462,43,7.31,33,57.86,37,57.55,42,27.97,2.34,24,54.55
Notre Dame,FBS Indep,4-8,0.333,44,7.28,24,60.20,25,59.48,40,28.38,2.38,25,54.53
San Diego St,Mountain West,11-3,0.786,45,7.22,37,57.21,59,54.02,21,30.85,2.48,90,43.20
Houston,American Athletic,9-4,0.692,46,7.21,50,54.92,41,56.31,50,26.26,2.58,79,45.84
Tulsa,American Athletic,10-3,0.769,47,7.20,52,54.57,17,62.36,95,19.88,2.45,84,44.84
Temple,American Athletic,10-4,0.714,48,7.19,41,56.23,58,54.13,28,29.76,2.54,86,44.41
Texas,Big 12,5-7,0.417,49,7.16,47,55.25,42,56.24,47,26.67,2.42,19,55.24
Mississippi St,Southeastern,6-7,0.462,50,7.16,44,55.84,34,57.87,53,25.62,2.33,39,53.43
California,Pac 12,5-7,0.417,51,7.15,53,54.46,7,63.22,103,18.90,2.44,6,56.87
Texas Tech,Big 12,5-7,0.417,52,7.08,55,54.36,4,65.58,117,16.44,2.45,40,53.28
UCLA,Pac 12,4-8,0.333,53,7.07,46,55.42,60,53.99,36,29.09,2.42,13,55.44
Oregon,Pac 12,4-8,0.333,54,7.03,51,54.69,11,62.77,97,19.58,2.34,18,55.30
Navy,American Athletic,9-5,0.643,55,6.99,57,52.78,32,57.98,77,22.46,2.34,70,47.74
Memphis,American Athletic,8-5,0.615,56,6.98,56,53.16,31,58.08,74,22.73,2.50,72,47.36
Vanderbilt,Southeastern,6-7,0.462,57,6.91,66,50.58,92,49.03,33,29.20,2.53,41,53.25
Kentucky,Southeastern,7-6,0.538,58,6.91,68,50.54,61,53.80,60,24.39,2.40,58,51.85
Appalachian St,Sun Belt,10-3,0.769,59,6.90,63,51.24,85,50.32,38,28.58,2.41,95,42.54
Michigan St,Big 10,3-9,0.250,60,6.85,54,54.45,63,53.62,39,28.49,2.43,23,54.56
Arizona St,Pac 12,5-7,0.417,61,6.82,65,50.70,35,57.69,87,20.67,2.48,26,54.44
Indiana,Big 10,6-7,0.462,62,6.82,60,51.88,55,54.36,57,25.17,2.33,56,52.11
Wake Forest,Atlantic Coast,7-6,0.538,63,6.81,70,50.06,95,48.35,31,29.37,2.37,59,51.61
Toledo,Mid-American,9-4,0.692,64,6.80,59,51.91,40,56.52,72,23.05,2.44,96,42.40
Duke,Atlantic Coast,4-8,0.333,65,6.80,62,51.40,72,52.74,49,26.32,2.41,33,53.82
Louisiana Tech,Conference USA,9-5,0.643,66,6.79,61,51.50,20,61.43,109,17.73,2.54,93,43.09
Oregon St,Pac 12,4-8,0.333,67,6.77,64,50.95,65,53.39,56,25.21,2.49,30,54.09
South Carolina,Southeastern,6-7,0.462,68,6.77,71,49.88,87,49.90,45,27.64,2.38,55,52.20
Air Force,Mountain West,10-3,0.769,69,6.77,69,50.20,49,55.13,75,22.72,2.42,111,41.24
Iowa St,Big 12,3-9,0.250,70,6.72,58,52.34,54,54.52,54,25.48,2.53,21,54.73
Boston College,Atlantic Coast,7-6,0.538,71,6.69,73,48.57,96,48.34,44,27.89,2.33,63,49.80
Missouri,Southeastern,4-8,0.333,72,6.60,67,50.57,69,53.11,58,25.12,2.50,66,49.17
Troy,Sun Belt,10-3,0.769,73,6.54,75,47.32,77,51.69,71,23.29,2.44,117,40.21
Maryland,Big 10,6-7,0.462,74,6.54,74,47.96,71,52.75,73,22.86,2.41,67,49.09
Colorado St,Mountain West,7-6,0.538,75,6.52,72,48.74,44,55.98,89,20.42,2.45,81,45.57
Wyoming,Mountain West,8-6,0.571,76,6.52,77,47.13,51,54.68,93,20.11,2.60,74,46.54
Syracuse,Atlantic Coast,4-8,0.333,77,6.50,79,46.78,64,53.52,84,20.92,2.35,14,55.39
Arkansas St,Sun Belt,8-5,0.615,78,6.33,76,47.19,84,50.50,61,24.35,2.38,112,41.15
Arizona,Pac 12,3-9,0.250,79,6.32,80,46.44,53,54.64,98,19.46,2.42,31,53.93
UCF,American Athletic,6-7,0.462,80,6.25,81,45.85,90,49.38,62,24.14,2.40,77,46.37
New Mexico,Mountain West,9-4,0.692,81,6.24,84,43.91,73,52.54,102,19.03,2.56,110,41.42
Virginia,Atlantic Coast,2-10,0.167,82,6.17,78,46.92,80,50.99,67,23.59,2.33,42,53.19
Old Dominion,Conference USA,10-3,0.769,83,6.16,93,42.44,81,50.89,101,19.21,2.60,126,38.68
SMU,American Athletic,5-7,0.417,84,6.15,92,42.73,78,51.56,105,18.83,2.32,64,49.19
Army,FBS Indep,8-5,0.615,85,6.13,87,43.48,98,47.69,69,23.45,2.42,127,38.66
Illinois,Big 10,3-9,0.250,86,6.12,83,44.53,94,48.74,70,23.44,2.33,54,52.40
Idaho,Sun Belt,9-4,0.692,87,6.02,95,40.87,74,52.19,118,16.34,2.56,99,42.14
Ohio,Mid-American,8-6,0.571,88,6.01,89,43.39,108,46.34,59,24.71,2.36,118,40.16
Utah St,Mountain West,3-9,0.250,89,5.98,82,45.07,93,49.00,66,23.73,2.45,69,48.00
Southern Miss,Conference USA,7-6,0.538,90,5.96,88,43.44,76,51.79,99,19.31,2.46,123,39.24
Ga Southern,Sun Belt,5-7,0.417,91,5.95,86,43.74,91,49.11,79,22.29,2.36,105,41.92
Cincinnati,American Athletic,4-8,0.333,92,5.95,91,42.94,103,46.82,65,23.78,2.32,73,47.00
N Illinois,Mid-American,5-7,0.417,93,5.94,85,43.88,82,50.83,86,20.70,2.45,88,43.39
MTSU,Conference USA,8-5,0.615,94,5.91,97,40.51,56,54.33,126,13.84,2.50,125,39.13
East Carolina,American Athletic,3-9,0.250,95,5.89,90,43.05,83,50.66,94,20.05,2.45,68,48.68
Purdue,Big 10,3-9,0.250,96,5.79,96,40.70,79,51.27,111,17.10,2.26,62,49.85
Hawaii,Mountain West,7-7,0.500,97,5.78,104,38.97,89,49.64,112,16.99,2.49,82,45.30
UT San Antonio,Conference USA,6-7,0.462,98,5.78,94,41.10,109,46.33,78,22.43,2.45,119,40.06
C Michigan,Mid-American,6-7,0.462,99,5.73,103,39.20,110,46.28,88,20.57,2.46,92,43.12
Kansas,Big 12,2-10,0.167,100,5.73,99,40.22,97,48.03,96,19.85,2.53,32,53.83
