Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
WI Whitewater,Wisconsin IAC,15-0,1.000,1,4.52,2,22.91,2,37.70,1,10.58,2.68,19,-5.57
Mt Union,Ohio AC,14-1,0.933,2,4.42,1,25.27,1,40.26,2,10.38,3.09,26,-6.47
Linfield,Northwest,12-1,0.923,3,3.05,3,9.06,3,32.49,16,1.95,2.96,23,-6.04
Amherst,NESCAC,8-0,1.000,4,3.05,7,6.90,41,23.17,3,9.10,2.77,5,0.14
Wesley DE,Atlantic Central,13-1,0.929,5,2.77,6,7.42,17,26.18,4,6.61,2.84,44,-11.09
Williams,NESCAC,6-2,0.750,6,2.73,4,8.88,9,28.71,5,5.54,2.81,11,-0.92
St Thomas MN,Minnesota IAC,11-2,0.846,7,2.67,5,7.93,7,29.88,11,3.42,2.92,39,-9.58
Trinity CT,NESCAC,6-2,0.750,8,2.57,9,5.99,12,27.57,10,3.79,2.75,8,-0.21
St John's MN,Minnesota IAC,10-1,0.909,9,2.44,13,3.61,22,24.84,8,4.14,2.67,18,-5.47
Middlebury,NESCAC,5-3,0.625,10,2.42,8,6.78,6,29.90,15,2.25,2.82,9,-0.25
Ohio Northern,Ohio AC,8-2,0.800,11,2.38,12,4.88,13,27.53,13,2.72,2.85,22,-5.79
M Hardin-Baylor,American SW,10-2,0.833,12,2.38,10,5.63,5,29.92,19,1.08,2.86,57,-12.67
Willamette,Northwest,8-2,0.800,13,2.29,11,5.09,8,29.57,21,0.89,2.76,49,-12.17
WI Stout,Wisconsin IAC,8-2,0.800,14,2.18,16,1.01,47,22.32,9,4.06,2.69,31,-7.10
WI Stevens Pt,Wisconsin IAC,7-3,0.700,15,2.12,18,0.60,34,23.49,14,2.48,2.76,3,0.33
N Central IL,Ill & Wisc,8-2,0.800,16,2.11,14,3.10,4,31.97,52,-3.50,2.89,88,-15.72
Bethel MN,Minnesota IAC,7-3,0.700,17,2.01,15,2.35,40,23.18,6,4.54,2.74,34,-8.08
Central IA,American Rivers,10-1,0.909,18,1.97,24,-0.67,15,27.47,46,-2.78,2.82,58,-12.76
WI Eau Claire,Wisconsin IAC,6-4,0.600,19,1.89,20,-0.06,10,28.03,45,-2.72,2.66,12,-0.92
Delaware Val,Mid Atlantic,10-2,0.833,20,1.88,21,-0.08,33,23.55,17,1.75,2.78,43,-10.78
Coe,American Rivers,10-2,0.833,21,1.88,27,-1.98,42,23.14,26,0.25,2.87,37,-9.09
Wittenberg,North Coast AC,12-1,0.923,22,1.87,25,-0.80,39,23.20,18,1.37,2.89,147,-22.02
Capital,Ohio AC,7-3,0.700,23,1.81,19,0.38,11,27.89,37,-2.14,2.70,30,-7.09
WI LaCrosse,Wisconsin IAC,5-5,0.500,24,1.75,17,0.82,14,27.47,33,-1.28,2.73,14,-2.45
