Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alabama,Southeastern,13-0,1.000,,1,9.85,1,88.78,1,76.25,1,40.16,2.04,1,70.54
Ohio St,Big 10,7-1,0.875,,2,9.15,2,81.49,2,72.07,8,37.04,2.17,2,69.43
Oklahoma,Big 12,9-2,0.818,,3,8.91,4,78.31,3,70.31,12,35.63,2.19,6,65.09
Clemson,Atlantic Coast,10-2,0.833,,4,8.84,3,78.94,4,69.05,6,37.51,1.99,31,61.74
Texas A&M,Southeastern,9-1,0.900,,5,8.76,9,70.63,12,62.23,11,36.02,2.13,10,63.68
Georgia,Southeastern,8-2,0.800,,6,8.67,5,73.07,15,61.90,3,38.80,2.10,13,63.31
Notre Dame,Atlantic Coast,10-2,0.833,+2,7,8.55,11,70.53,21,60.88,7,37.28,2.17,39,60.43
Iowa St,Big 12,9-3,0.750,-1,8,8.52,8,70.69,14,61.97,10,36.35,2.21,9,63.70
Iowa,Big 10,6-2,0.750,-1,9,8.45,6,72.25,24,60.62,2,39.26,2.14,38,60.49
Northwestern,Big 10,7-2,0.778,+3,10,8.41,22,65.44,69,54.67,4,38.39,2.11,21,62.86
Texas,Big 12,7-3,0.700,-1,11,8.39,7,70.77,5,68.11,39,30.29,2.11,16,63.14
Florida,Southeastern,8-4,0.667,-1,12,8.37,13,70.06,6,66.82,32,30.86,2.19,5,65.31
Oklahoma St,Big 12,8-3,0.727,+2,13,8.35,16,66.72,16,61.87,24,32.48,2.15,22,62.61
BYU,FBS Indep,11-1,0.917,+9,14,8.31,17,66.28,18,61.67,26,32.24,2.14,86,49.47
Indiana,Big 10,6-2,0.750,+1,15,8.27,24,65.15,42,57.47,13,35.30,2.17,11,63.55
Wisconsin,Big 10,4-3,0.571,-2,16,8.26,10,70.54,26,59.79,5,38.37,2.17,20,62.87
Cincinnati,American Athletic,9-1,0.900,+3,17,8.23,26,63.79,41,57.81,18,33.61,2.20,72,52.74
USC,Pac 12,5-1,0.833,,18,8.21,25,65.02,17,61.83,33,30.81,2.31,37,61.02
Auburn,Southeastern,6-5,0.545,-2,19,8.16,15,67.83,31,59.06,9,36.39,2.22,8,64.63
LSU,Southeastern,5-5,0.500,-8,20,8.14,12,70.08,7,65.89,28,31.82,2.15,7,64.90
TCU,Big 12,6-4,0.600,-2,21,8.08,21,65.58,27,59.79,19,33.42,2.20,34,61.44
