Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,15-0,1.000,1,6.49,1,43.46,1,48.15,1,23.04,2.89,11,18.38
Ferris St,Great Lakes IAC,11-1,0.917,2,5.20,3,30.54,2,46.82,12,11.46,2.67,17,14.52
Grand Valley St,Great Lakes IAC,12-3,0.800,3,5.01,4,29.45,3,44.85,7,12.33,2.60,14,17.24
MN Mankato,Northern Sun,10-2,0.833,4,5.01,2,32.03,4,44.32,3,15.45,2.52,44,10.29
C Missouri,Mid America IAA,8-3,0.727,5,4.90,5,29.06,6,43.14,6,13.65,2.83,10,18.71
Emporia St,Mid America IAA,11-3,0.786,6,4.90,7,26.17,5,43.37,17,10.54,2.79,1,21.49
West Georgia,Gulf South,12-2,0.857,7,4.79,6,27.14,22,39.86,5,15.01,2.82,38,10.91
Ashland,Great Lakes IAC,10-1,0.909,8,4.65,12,23.46,12,41.66,21,9.53,2.72,25,13.19
CSU-Pueblo,Rocky Mtn AC,12-2,0.857,9,4.55,8,25.75,27,37.35,2,16.14,2.61,60,8.08
Midwest TX St,Lone Star,10-2,0.833,10,4.36,23,20.18,32,36.75,13,11.16,2.66,18,14.42
MN Duluth,Northern Sun,9-3,0.750,11,4.35,11,23.52,25,39.02,8,12.23,2.64,51,9.19
Shepherd,Mountain East,13-1,0.929,12,4.34,25,19.78,38,35.94,10,11.57,2.85,78,5.22
C Oklahoma,Mid America IAA,7-5,0.583,13,4.34,10,23.84,9,42.43,24,9.15,2.55,12,18.29
Fort Hays St,Mid America IAA,8-4,0.667,14,4.30,21,20.44,34,36.70,11,11.47,2.70,7,19.45
North Alabama,Gulf South,9-3,0.750,15,4.29,9,24.09,11,41.70,18,10.12,2.79,46,10.11
Sioux Falls,Northern Sun,9-3,0.750,16,4.29,15,22.85,16,40.51,19,10.08,2.58,43,10.42
Pittsburg St,Mid America IAA,6-5,0.545,17,4.29,13,23.22,17,40.37,16,10.59,2.60,8,18.89
MO Western,Mid America IAA,6-5,0.545,18,4.28,14,22.98,43,35.43,4,15.29,2.68,9,18.86
TX A&M Commerce,Lone Star,8-4,0.667,19,4.27,16,22.10,8,42.79,39,7.05,2.60,16,16.41
Augustana SD,Northern Sun,9-3,0.750,20,4.27,18,21.77,10,41.85,32,7.65,2.83,32,11.71
OH Dominican,Great Lakes IAC,8-3,0.727,21,4.25,17,22.00,26,38.77,15,10.97,2.68,33,11.39
Humboldt St,Great Northwest,10-2,0.833,22,4.20,24,20.14,24,39.39,28,8.49,2.91,54,8.72
Valdosta St,Gulf South,9-3,0.750,23,4.18,20,20.65,15,40.72,31,7.67,2.64,42,10.42
Slippery Rock,Penn St AC,12-2,0.857,24,4.11,19,21.21,14,41.34,34,7.60,2.81,82,4.46
Angelo St,Lone Star,7-4,0.636,25,3.97,22,20.41,13,41.45,41,6.69,2.62,62,8.01
