Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Mt Union,Ohio AC,15-0,1.000,1,4.37,1,24.87,1,35.98,1,11.32,3.08,22,-4.13
WI Whitewater,Wisconsin IAC,14-1,0.933,2,3.88,2,21.42,2,34.47,3,9.38,3.21,5,1.93
WI LaCrosse,Wisconsin IAC,9-2,0.818,3,3.28,4,14.65,3,31.26,9,5.82,3.00,1,8.40
Williams,NESCAC,8-0,1.000,4,3.22,5,13.28,5,29.31,8,6.39,3.19,18,-0.98
Trinity CT,NESCAC,7-1,0.875,5,3.06,3,14.88,10,26.97,2,10.33,3.14,17,-0.86
Capital,Ohio AC,11-2,0.846,6,2.92,6,12.46,6,28.40,6,6.49,3.20,24,-4.30
St John's MN,Minnesota IAC,11-2,0.846,7,2.81,7,12.36,12,26.68,4,8.11,2.98,20,-2.84
Amherst,NESCAC,5-3,0.625,8,2.11,8,6.76,23,22.11,5,7.08,3.10,13,0.11
Bethel MN,Minnesota IAC,9-2,0.818,9,2.11,11,5.03,19,23.54,12,3.92,3.04,30,-5.67
St John Fisher,Empire 8,12-2,0.857,10,2.02,10,5.83,8,27.07,23,1.18,3.22,68,-14.33
St Olaf,Minnesota IAC,8-2,0.800,11,1.95,15,4.02,4,29.70,46,-3.26,3.12,33,-7.51
WI Oshkosh,Wisconsin IAC,5-5,0.500,12,1.92,14,4.35,15,24.47,18,2.31,3.05,7,1.18
Middlebury,NESCAC,6-2,0.750,13,1.91,20,2.02,51,18.03,7,6.42,3.10,12,0.66
Linfield,Northwest,6-3,0.667,14,1.91,9,6.10,11,26.84,20,1.68,2.98,38,-9.02
Central IA,American Rivers,10-1,0.909,15,1.87,21,1.98,29,20.79,14,3.62,3.10,40,-9.56
M Hardin-Baylor,American SW,10-3,0.769,16,1.86,12,4.56,14,25.60,21,1.39,3.17,36,-8.60
WI Stevens Pt,Wisconsin IAC,6-4,0.600,17,1.84,18,2.29,17,23.96,25,0.76,3.02,9,1.00
Wesley DE,Atlantic Central,13-1,0.929,18,1.80,22,1.83,7,27.08,44,-2.82,3.38,96,-17.89
Hardin-Simmons,American SW,8-2,0.800,19,1.80,19,2.16,9,27.01,40,-2.43,3.26,39,-9.10
Ohio Northern,Ohio AC,6-4,0.600,20,1.78,13,4.44,20,23.21,13,3.66,3.10,29,-5.54
Wheaton IL,Ill & Wisc,10-2,0.833,21,1.72,17,2.77,13,26.02,32,-0.82,3.16,47,-11.77
WI Platteville,Wisconsin IAC,5-5,0.500,22,1.69,23,1.57,16,24.35,30,-0.35,3.03,3,3.27
Whitworth,Northwest,11-1,0.917,23,1.65,28,-1.88,36,20.09,27,0.46,3.04,45,-10.46
Baldwin-Wallace,Ohio AC,7-3,0.700,24,1.56,25,-0.33,46,18.56,15,3.54,3.11,23,-4.26
WI Eau Claire,Wisconsin IAC,3-7,0.300,25,1.55,16,3.29,31,20.72,11,5.00,2.99,4,2.91
Tufts,NESCAC,4-4,0.500,26,1.43,27,-0.75,62,16.46,10,5.22,3.05,10,0.98
John Carroll,Ohio AC,5-5,0.500,27,1.36,24,1.00,34,20.53,17,2.90,3.11,26,-5.40
WI River Falls,Wisconsin IAC,3-7,0.300,28,1.23,31,-3.48,33,20.58,34,-1.63,3.03,2,7.11
St Thomas MN,Minnesota IAC,6-4,0.600,29,1.22,29,-2.23,38,19.68,26,0.52,2.98,31,-6.43
WI Stout,Wisconsin IAC,3-7,0.300,30,1.19,26,-0.66,26,21.55,29,0.22,3.02,6,1.80
N Central IL,Ill & Wisc,9-3,0.750,31,1.06,30,-3.40,21,23.05,52,-4.03,3.07,69,-14.43
Augustana IL,Ill & Wisc,7-3,0.700,32,1.04,32,-4.37,45,18.78,31,-0.72,3.06,61,-13.44
Wartburg,American Rivers,8-2,0.800,33,1.01,34,-4.96,63,16.43,24,1.03,3.03,59,-13.19
Springfield,Empire 8,10-2,0.833,34,0.93,39,-6.48,22,22.48,79,-6.54,3.18,86,-16.92
Rowan,New Jersey A.C.,9-3,0.750,35,0.90,38,-6.01,67,16.02,28,0.40,3.04,48,-11.89
Occidental,Southern Cal IAC,9-1,0.900,36,0.88,42,-6.96,18,23.78,98,-8.32,3.04,106,-19.92
Wash & Jeff,Presidents' AC,10-2,0.833,37,0.85,35,-5.14,24,21.76,53,-4.47,3.04,113,-20.19
Coe,American Rivers,7-3,0.700,38,0.85,33,-4.67,32,20.61,45,-2.86,3.08,65,-13.99
Wesleyan CT,NESCAC,3-5,0.375,39,0.82,41,-6.96,58,16.75,33,-1.29,2.99,8,1.00
Ithaca,Empire 8,7-3,0.700,40,0.79,36,-5.63,35,20.37,49,-3.57,3.14,84,-16.57
Marietta,Ohio AC,6-4,0.600,41,0.73,48,-8.40,42,19.50,63,-5.48,3.06,28,-5.42
Cortland St,New Jersey A.C.,9-2,0.818,42,0.72,44,-7.60,49,18.27,47,-3.45,2.95,83,-16.50
Gust Adolphus,Minnesota IAC,6-4,0.600,43,0.67,49,-8.66,74,15.62,38,-1.85,2.89,43,-9.77
Colby,NESCAC,2-6,0.250,44,0.65,37,-5.86,86,14.77,19,1.80,2.93,16,-0.85
Bowdoin,NESCAC,2-6,0.250,45,0.64,43,-7.31,97,13.76,22,1.36,2.97,11,0.70
Hamilton,NESCAC,2-6,0.250,46,0.62,45,-7.79,123,11.44,16,3.19,3.10,14,0.08
Concordia Mhd,Minnesota IAC,4-6,0.400,47,0.61,40,-6.51,56,17.61,36,-1.70,2.98,35,-8.28
Hobart & Smith,Liberty League,8-2,0.800,48,0.61,51,-9.23,55,17.82,55,-4.63,2.95,74,-15.16
Union NY,Liberty League,7-3,0.700,49,0.49,53,-9.67,30,20.73,95,-7.98,3.10,64,-13.93
Wilkes,Mid Atlantic,11-1,0.917,50,0.48,54,-9.83,80,15.26,42,-2.66,3.20,135,-22.49
Montclair St,New Jersey A.C.,7-3,0.700,51,0.42,58,-10.61,79,15.27,48,-3.46,3.07,62,-13.76
Wabash,North Coast AC,8-2,0.800,52,0.39,50,-8.85,28,21.14,88,-7.56,3.05,118,-20.86
Trinity TX,Southern CAC,8-2,0.800,53,0.35,52,-9.41,84,14.77,37,-1.76,3.23,111,-20.14
Pac Lutheran,Northwest,4-5,0.444,54,0.33,47,-8.31,39,19.65,65,-5.54,3.05,58,-12.89
Otterbein,Ohio AC,4-6,0.400,55,0.32,55,-9.83,65,16.32,50,-3.73,2.94,25,-5.12
Bates,NESCAC,1-7,0.125,56,0.31,46,-8.26,69,15.85,35,-1.69,3.06,15,-0.83
Puget Sound,Northwest,7-3,0.700,57,0.31,60,-10.96,41,19.56,96,-8.09,3.16,94,-17.25
Alfred,Empire 8,8-3,0.727,58,0.29,65,-11.73,64,16.39,68,-5.69,3.08,91,-17.09
Rensselaer,Liberty League,7-3,0.700,59,0.28,57,-10.10,43,18.82,78,-6.49,3.07,123,-21.37
St Norbert,Midwest,10-1,0.909,60,0.28,66,-11.77,27,21.26,124,-10.60,3.26,187,-29.30
Dubuque,American Rivers,6-4,0.600,61,0.27,72,-12.74,48,18.31,100,-8.62,3.05,49,-12.06
Cal Lutheran,Southern Cal IAC,6-3,0.667,62,0.25,56,-9.95,47,18.37,69,-5.90,3.12,93,-17.15
Wittenberg,North Coast AC,7-4,0.636,63,0.25,62,-11.45,61,16.63,67,-5.66,3.08,76,-15.31
Chris Newport,USA South,8-3,0.727,64,0.23,69,-12.30,59,16.72,80,-6.59,3.20,98,-18.30
Rochester NY,Liberty League,7-4,0.636,65,0.16,68,-12.27,44,18.78,101,-8.63,3.02,78,-15.44
Brockport St,Atlantic Central,4-6,0.400,66,0.15,59,-10.68,96,13.97,39,-2.22,3.02,57,-12.79
Salisbury,Atlantic Central,6-5,0.545,67,0.15,63,-11.53,66,16.25,61,-5.35,3.06,70,-14.87
Carthage,Ill & Wisc,6-4,0.600,68,0.08,71,-12.69,87,14.75,58,-5.01,3.03,81,-16.30
Loras,American Rivers,4-6,0.400,69,0.08,75,-13.13,90,14.52,60,-5.22,3.04,37,-8.61
Mt St Joseph,Heartland CAC,9-2,0.818,70,0.08,76,-13.64,91,14.29,64,-5.50,3.11,129,-21.99
TX Lutheran,American SW,6-4,0.600,71,0.08,73,-12.96,72,15.80,73,-6.33,2.94,67,-14.10
