Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
NW Missouri,Mid America IAA,14-1,0.933,1,6.12,1,40.46,1,47.91,2,17.91,2.90,1,20.21
Grand Valley St,Great Lakes IAC,13-2,0.867,2,5.41,2,33.21,2,42.48,4,16.10,2.73,9,16.99
C Washington,Great Northwest,12-1,0.923,3,5.26,4,30.19,19,37.18,1,18.38,2.90,16,15.17
MN Duluth,Northern Sun,11-2,0.846,4,4.97,3,30.86,9,39.49,3,16.74,2.82,51,7.01
Washburn,Mid America IAA,8-3,0.727,5,4.76,5,27.83,4,40.89,6,12.31,2.89,15,15.36
MO Western,Mid America IAA,9-3,0.750,6,4.49,9,23.99,3,41.17,24,8.18,2.69,11,16.24
Abilene Chr,Lone Star,9-4,0.692,7,4.48,8,24.74,13,38.06,7,12.05,2.66,20,13.96
NE Omaha,Mid America IAA,7-5,0.583,8,4.45,6,26.15,7,39.70,8,11.83,2.75,6,18.01
Hillsdale,Great Lakes IAC,10-3,0.769,9,4.42,11,22.90,10,39.45,18,8.81,2.81,19,14.03
North Alabama,Gulf South,11-2,0.846,10,4.40,7,25.89,8,39.70,9,11.56,2.71,43,8.09
C Missouri,Mid America IAA,8-3,0.727,11,4.38,14,22.31,15,37.72,14,9.96,2.85,10,16.53
MN Mankato,Northern Sun,10-2,0.833,12,4.19,10,23.07,17,37.57,12,10.87,2.68,53,6.89
W Texas A&M,Lone Star,7-5,0.583,13,4.14,15,21.82,5,40.41,29,6.78,2.63,17,14.62
Midwest TX St,Lone Star,9-3,0.750,14,4.12,13,22.48,23,34.95,5,12.91,2.84,46,7.52
Pittsburg St,Mid America IAA,5-6,0.455,15,4.06,12,22.68,12,38.77,16,9.28,2.84,4,18.17
Carson-Newman,South Atlantic,11-3,0.786,16,4.02,17,19.82,6,39.84,39,5.36,2.76,41,8.20
Saginaw Val,Great Lakes IAC,9-3,0.750,17,3.98,18,18.37,28,33.99,15,9.75,2.83,21,13.89
N Michigan,Great Lakes IAC,6-4,0.600,18,3.93,16,20.49,26,34.58,11,11.27,2.86,23,13.14
Tarleton St,Lone Star,10-3,0.769,19,3.91,20,17.71,24,34.81,22,8.27,2.87,32,10.12
NE Kearney,Rocky Mtn AC,11-2,0.846,20,3.81,22,16.85,22,35.15,28,7.06,2.93,65,4.31
Northwood MI,Great Lakes IAC,7-3,0.700,21,3.72,27,15.77,33,32.95,23,8.19,2.80,26,11.90
St Cloud,Northern Sun,7-4,0.636,22,3.69,21,17.71,25,34.65,20,8.43,2.69,49,7.17
Fort Hays St,Mid America IAA,6-5,0.545,23,3.67,28,15.35,18,37.35,54,3.37,2.77,5,18.10
Arkansas Tech,Gulf South,9-3,0.750,24,3.60,24,16.11,11,39.28,64,2.20,2.94,52,6.91
TX A&M K'ville,Lone Star,9-3,0.750,25,3.60,32,14.38,20,37.03,61,2.72,2.79,33,10.01
California PA,Penn St AC,11-4,0.733,26,3.60,19,17.92,16,37.68,35,5.60,2.78,56,6.00
Findlay,Great Lakes IAC,7-4,0.636,27,3.56,30,14.83,55,30.01,13,10.19,2.83,25,11.94
W Oregon,Great Northwest,5-5,0.500,28,3.56,23,16.13,52,30.15,10,11.35,2.69,12,16.22
Augustana SD,Northern Sun,8-4,0.667,29,3.55,29,15.13,37,32.72,25,7.79,2.67,40,8.22
Ashland,Great Lakes IAC,6-5,0.545,30,3.50,26,15.83,21,35.34,32,5.86,2.68,22,13.16
Wayne St NE,Northern Sun,8-3,0.727,31,3.38,36,13.14,38,32.66,33,5.84,2.73,54,6.88
Wayne St MI,Great Lakes IAC,6-5,0.545,32,3.36,33,13.73,29,33.68,37,5.41,2.78,24,13.09
Delta St,Gulf South,5-5,0.500,33,3.35,25,15.99,32,32.98,21,8.39,2.83,34,9.90
Valdosta St,Gulf South,6-4,0.600,34,3.22,31,14.40,40,32.50,26,7.27,2.79,64,4.47
MO Southern,Mid America IAA,3-7,0.300,35,3.21,35,13.24,39,32.54,30,6.07,2.72,2,19.93
Winona St,Northern Sun,7-4,0.636,36,3.19,38,11.67,30,33.18,50,3.87,2.67,47,7.40
Angelo St,Lone Star,6-5,0.545,37,3.12,39,10.82,50,30.37,34,5.82,2.75,29,10.84
West Chester,Penn St AC,7-4,0.636,38,3.08,34,13.60,34,32.94,31,6.03,2.81,82,0.90
Bemidji St,Northern Sun,8-3,0.727,39,3.07,42,10.01,45,30.94,44,4.44,2.76,70,3.69
Colorado Mines,Rocky Mtn AC,8-3,0.727,40,3.01,44,9.73,57,29.73,38,5.38,2.79,76,2.25
Chadron St,Rocky Mtn AC,7-4,0.636,41,2.95,37,12.07,51,30.24,27,7.20,2.72,88,-0.10
Bloomsburg,Penn St AC,8-3,0.727,42,2.95,43,9.81,73,26.22,17,8.96,2.67,80,1.07
West Alabama,Gulf South,8-5,0.615,43,2.95,46,9.65,31,33.06,65,1.97,2.85,50,7.05
Humboldt St,Great Northwest,5-5,0.500,44,2.93,40,10.46,46,30.81,41,5.03,2.83,37,9.38
Utah Tech,Great Northwest,4-7,0.364,45,2.91,49,8.97,58,29.21,40,5.13,2.76,8,17.68
Indianapolis,Great Lakes IAC,4-7,0.364,46,2.85,41,10.05,69,26.65,19,8.76,2.64,30,10.77
Ouachita,Gulf South,6-4,0.600,47,2.82,45,9.71,47,30.62,42,4.46,2.79,78,2.04
Newberry,South Atlantic,6-4,0.600,48,2.81,50,8.91,61,28.69,36,5.59,2.63,61,4.68
Shippensburg,Penn St AC,9-3,0.750,49,2.77,56,6.60,63,28.51,52,3.46,2.85,83,0.75
Emporia St,Mid America IAA,2-9,0.182,50,2.73,52,8.33,53,30.13,51,3.58,2.69,3,18.28
SW Baptist,NCAA II Ind,6-5,0.545,51,2.70,51,8.37,27,34.18,83,-0.44,2.81,60,4.80
Wingate,South Atlantic,7-3,0.700,52,2.66,55,6.62,42,31.83,79,0.15,2.61,79,1.70
Michigan Tech,Great Lakes IAC,2-8,0.200,53,2.65,47,9.29,43,31.70,59,2.96,2.54,18,14.33
Truman St,Mid America IAA,2-9,0.182,54,2.64,53,7.91,59,29.05,45,4.23,2.71,7,17.72
Harding,Gulf South,5-6,0.455,55,2.61,64,3.87,62,28.57,71,0.68,2.70,27,11.66
Ark Monticello,Gulf South,5-6,0.455,56,2.60,57,6.04,64,28.43,58,2.98,2.73,35,9.89
Henderson St,Gulf South,3-7,0.300,57,2.59,48,8.97,35,32.92,66,1.43,2.77,36,9.65
West Liberty,West Virginia IAC,11-2,0.846,58,2.58,60,4.59,14,38.01,131,-8.05,2.84,103,-3.56
Edinboro,Penn St AC,9-4,0.692,59,2.51,58,5.58,49,30.45,75,0.50,2.67,84,0.67
SW Minnesota,Northern Sun,5-6,0.455,60,2.50,54,7.67,36,32.86,78,0.19,2.80,75,2.27
NC Pembroke,NCAA II Ind,9-2,0.818,61,2.49,61,4.57,78,25.78,46,4.16,2.83,109,-5.27
SE Oklahoma,Lone Star,7-4,0.636,62,2.43,62,4.15,56,29.92,82,-0.40,2.70,66,4.01
